"Senior Officials Name
(Firstname and Surname of PermSecs or SCS2/3 Official, exclude titles, honorifics or post nominals e.g. Sir, Captain, MBE, PhD)  ","Start date of trip
(Use the date format: 
YYYY-MM-DD i.e. 2017-11-01)","Duration of Visit (Days)
(Include number of days for the visit,
from departure to arrival)","Destination
(Include trip destination for both domestic and international journeys, e.g. Manchester, UK or Brussels, Belgium)","Purpose of trip
(State a clear purpose, e.g. site visit to locally based staff; Senior Leadership meeting; please avoid abbreviations or acronyms)","Mode of transport
(State if either Rail, Car, Air, Sea, Taxi)
","Class of travel
(i.e. Standard, Economy, Business, First or other)","Accommodation/Meals (£)
(Please include any associated costs relating to accommodation or meals)","Other (including hospitality given)
(State Nil Return if none received)","Total cost, including all visas, accommodation, travel, meals etc. (£)
(This amount should reflect the total cost of the trip, including all visas, additional travel meals etc.)",Total Cost of Use of Official Secure Car (state cost except where officials are accompanying a Minister or Nil Return when not used)
Giles McCallum,14/11/2022,1,"London, UK",External consultants workshop,Rail,Standard,176,Nil Return,176,Nil Return
Giles McCallum,17/11/2022,1,"London, UK",Senior Leadership Team,Rail,Standard,129,Nil Return,246,Nil Return
Giles McCallum,29/11/2022,1,"London, UK",Team meeting - Stratford RC,Rail,Standard,178,Nil Return,178,Nil Return
Giles McCallum,06/12/2022,1,"Newcastle upon Tyne, UK",Senior Leadership Team,"Rail, Car ",Standard,103,Nil Return,197,Nil Return
Giles McCallum,07/12/2022,1,"London, UK",Senior Leadership Team,Rail,Standard,122,Nil Return,129,Nil Return
Giles McCallum,08/12/2022,1,"Derby, UK",Lessons Learned workshop,Rail,Standard,Nil Return,Nil Return,106,Nil Return
Giles McCallum,22/12/2022,1,"Birmingham, UK",Senior Leadership Team,"Rail, Car ",Standard,Nil Return,Nil Return,52.75,Nil Return
Gill Evans,06/10/2022,1,"London, UK",Extended Enterprise Leadership Group and McKinsey & Company meetings,Rail,Standard,107,Nil Return,359,Nil Return
Gill Evans,25/10/2022,1,"London, UK",Leadership within the Enterprise Peer Learning Group,Rail,Standard,Nil Return,Nil Return,385,Nil Return
Gill Evans,27/10/2022,1,"London, UK",Intelligent Client Workshop,Rail,Standard,Nil Return,Nil Return,305,Nil Return
Gill Evans,14/11/2022,1,"London, UK",Senior Oversight Review Session,Rail,Standard,Nil Return,Nil Return,368,Nil Return
Gill Evans,15/11/2022,1,"Birmingham, UK",Senior Leadership Team event,Rail,Standard,65,Nil Return,139,Nil Return
Gill Evans,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,385,Nil Return
Gill Evans,23/11/2022,1,"Birmingham, UK",Directorate Senior Leadership Team Event,Rail,Standard,118,Nil Return,219,Nil Return
Gill Evans,28/11/2022,1,"London, UK",Senior Leadership Workshop,Rail,Standard,100,Nil Return,271,Nil Return
Gill Evans,07/12/2022,1,"Birmingham, UK",Project Delivery Steering Group meeting,Rail,Standard,Nil Return,Nil Return,76,Nil Return
Gill Evans,08/12/2022,1,"London, UK",Border Design Workshop,Rail,Standard,99,Nil Return,404,Nil Return
Hannah Watson,06/10/2022,1,"London, UK",ELG event - lunch with new starter,Rail,Standard,8.25,Nil Return,290.25,Nil Return
Hannah Watson,12/10/2022,1,"Manchester, UK",2 day enterprise learning group,Car,Private ,60,Nil Return,97.5,Nil Return
Hannah Watson,19/10/2022,1,"Nottingham, UK",Senior Leadership Team meeting,Rail,Standard,3.54,Nil Return,27.54,Nil Return
Hannah Watson,01/11/2022,1,"Nottingham, UK",New starter meeting with Senior Leadership Team,Car,Private ,Nil Return,Nil Return,24,Nil Return
Hannah Watson,04/11/2022,1,"London, UK",CPO Senior Leadership Team,"Rail, Taxi",Standard,Nil Return,Nil Return,236.5,Nil Return
Hannah Watson,09/11/2022,1,,,Car,Private ,Nil Return,Nil Return,33,Nil Return
Hannah Watson,22/11/2022,1,"London, UK",Senior Civil Service conference,Rail,Standard,5.29,Nil Return,239.79,Nil Return
Hannah Watson,05/12/2022,1,,,Car,Private ,Nil Return,Nil Return,33,Nil Return
Hitesh Patel,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference ,Rail,Economy,Nil Return,Nil Return,246,Nil Return
Ian Clarke,30/11/2022,1,"Nottingham, UK",Senior Leadership Event,Rail,Standard,Nil Return,Nil Return,64,Nil Return
James Mitton,04/10/2022,1,"Preston, UK",Planning meeting,Car,Private,8.13,Nil Return,72.13,Nil Return
James Mitton,06/10/2022,1,"London, UK",Enterprise Leadership Group meeting,Rail,Standard,4.99,Nil Return,289.99,Nil Return
James Mitton,11/10/2022,1,"Preston, UK",Senior Leadership Team meeting with site visit,Car,Private,5.94,Nil Return,298.12,Nil Return
James Mitton,12/10/2022,1,"York, UK",Customer Service Group 2 Event,Car,Hire,Nil Return,Nil Return,122.26,Nil Return
James Mitton,18/10/2022,1,"Washington, UK",Leadership Event ,Car,Hire,74,Nil Return,263.32,Nil Return
James Mitton,27/10/2022,1,"Preston, UK",Site visibility,Car,Private,2.59,Nil Return,20.84,Nil Return
James Mitton,07/11/2022,1,"Preston, UK",Site visibility,Car,Private,Nil Return,Nil Return,18.25,Nil Return
James Mitton,14/11/2022,2,"Washington, UK",Senior Leadership Team meeting with site visit,Car,Hire,74,Nil Return,317.36,Nil Return
James Mitton,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,3.7,Nil Return,255.7,Nil Return
James Mitton,29/11/2022,1,"Preston, UK",Senior Leadership Team meeting,Car,Private ,Nil Return,Nil Return,18.25,Nil Return
James Mitton,05/12/2022,2,"Manchester, UK",RADA Training,Rail,Standard,81,Nil Return,190,Nil Return
James Mitton,13/12/2022,2,"Manchester, UK",Senior Leadership Team Meeting,Car,Hire,118,Nil Return,298.05,Nil Return
Janet Alexander,04/10/2022,1,"London, Manchester, UK",Customer Compliance Group Awards Ceremony,"Rail, Air","Standard, Economy ",328.5,Nil Return,740.96,Nil Return
Janet Alexander,05/10/2022,1,"Edinburgh, UK ",Compliance Operations Directorate Working Group,Taxi ,,Nil Return,Nil Return,30,Nil Return
Janet Alexander,06/10/2022,1,"London, Manchester, UK",Enterprise Leadership Group,"Rail, Air ","Standard, Economy ",Nil Return,Nil Return,353.03,Nil Return
Janet Alexander,19/10/2022,1,"London, UK",Compliance Operations Directorate Working Group,"Rail, Taxi",Standard ,379.8,Nil Return,596.8,Nil Return
Janet Alexander,24/10/2022,1,"London, UK",Directorate meetings,"Rail, Underground ",Standard ,2.6,Nil Return,191.6,Nil Return
Janet Alexander,09/11/2022,1,"London, UK ",Beacon Event ,Rail,Standard,Nil Return,Nil Return,198,Nil Return
Janet Alexander,16/11/2022,3,"London, UK",Public Accounts Committee - COVID Employment Support Schemes,"Rail, Underground",Standard,355,Nil Return,634.4,Nil Return
Janet Alexander,22/11/2022,1,"London, UK ",HMRC Senior Civil Service Leadership Conference ,Rail,Standard,197,Nil Return,394.8,Nil Return
Janet Alexander,25/11/2022,1,"Birmingham, UK ",Compliance Capability Workshop,Rail,Standard,17.5,Nil Return,67.7,Nil Return
Janet Alexander,30/11/2022,2,"London, UK",IT Workshop and Beacon Event,Rail ,Standard,2.6,Nil Return,523.1,Nil Return
Janet Alexander,07/12/2022,3,"London, UK",Directorate meetings,"Rail, Taxi",Standard,444,Nil Return,627,Nil Return
Jayne-Anne Gadhia ,26/10/2022,2,"Leeds, UK ",HMRC Board Event ,Rail,Standard,Nil Return,Nil Return,291,Nil Return
Jim Harra ,11/10/2022,2,"Manchester, UK ",Executive Committee Event ,Rail,Standard,141.95,Nil Return,334.7,Nil Return
Jim Harra ,19/10/2022,1,"Belfast, UK",Erskine House - UK Government Hub official opening event,Air ,Economy ,Nil Return,Nil Return,183.27,Nil Return
Jim Harra ,27/10/2022,1,"Leeds, UK",HMRC Board Event,Rail ,Standard,Nil Return,Nil Return,89.7,Nil Return
Jim Harra ,08/11/2022,1,"Cardiff, UK ",Executive Committee Regional meeting ,Rail,Standard ,Nil Return,Nil Return,164,Nil Return
Joanna Greenidge ,28/11/2022,1,"Leeds, UK",HMRC Crown Prosecution Services Senior Leadership Team Workshop ,Rail ,Standard ,92,Nil Return,92,Nil Return 
Joanna Greenidge ,28/11/2022,2,"Manchester, UK",Office Site Visit ,Rail ,Standard ,103,Nil Return,174,Nil Return 
Joanna Greenidge ,12/10/2202,2,"York, UK",Director Induction Conference Stage 3   ,"Rail, Taxi ",Standard ,Nil Return,Nil Return,145,Nil Return
Joanna Rowland,06/10/2022,1,"London, UK",Programme Workshop,Rail,Standard,Nil Return,Nil Return,54,Nil Return
Joanna Rowland,11/10/2022,1,"Manchester, UK",Executive Committee Meeting,"Air, Taxi ",Economy,40,Nil Return,251.25,Nil Return
Joanna Rowland,12/10/2022,1,"London, UK",Executive Committee Meeting,Rail,Standard,Nil Return,Nil Return,94,Nil Return
Joanna Rowland,19/10/2022,2,"Belfast, UK",Transformation Senior Leadership Team meeting,Air,Economy,Nil Return,Nil Return,241.15,Nil Return
Joanna Rowland,26/10/2022,1,"Leeds, UK",HMRC Board meeting,Rail,Standard,129,Nil Return,273,Nil Return
Joanna Rowland,28/10/2022,1,"Ely, UK",HMRC Board meeting,Rail,Standard,43,Nil Return,43,Nil Return
Joanna Rowland,10/11/2022,1,"London, UK",Major Projects Event ,Rail,Standard,Nil Return,Nil Return,84,Nil Return
Joanna Rowland,15/11/2022,1,"London, UK",External Supplier Event ,Rail,Standard,Nil Return,Nil Return,84,Nil Return
Joanna Rowland,17/11/2022,1,"London, UK",Transformation Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,84,Nil Return
Joanna Rowland,18/11/2022,1,"London, UK",Transformation Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,84,Nil Return
Joanna Rowland,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,94,Nil Return
Joanna Rowland,23/11/2022,1,"London, UK",Programme Closure Event ,Rail,Standard,Nil Return,Nil Return,84,Nil Return
Joanna Rowland,28/11/2022,1,"Oxford, UK",Major Projects Event ,Rail,Standard,Nil Return,Nil Return,40,Nil Return
Joanna Rowland,30/11/2022,1,"Portsmouth, UK",Major Projects Event ,Rail,Standard,Nil Return,Nil Return,48.15,Nil Return
Joanna Rowland,07/12/2022,1,"London, UK",Director General face to face meeting,Rail,Standard,Nil Return,Nil Return,81,Nil Return
Joanna Rowland,08/12/2022,1,"London, UK",Programme Closure Event ,Rail,Standard,Nil Return,Nil Return,85,Nil Return
Joanna Rowland,19/12/2022,1,"Birmingham, UK",Transformation Senior Leadership meeting,Rail,Standard,116,Nil Return,266,Nil Return
Joanna Rowland,20/12/2022,1,"Southampton, UK",Transformation Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,104,Nil Return
John Evans,24/11/2022,1,"Bristol, UK",Office visit with senior meetings,Rail,Standard,8.25,Nil Return,8.25,Nil Return
Jon Sherman,18/10/2022,2,"Birmingham, UK",Meetings with Senior Leadership and staff; external speaking engagement,Rail ,Standard,112.54,Nil Return,149.09,Nil Return
Jonathan Athow,11/10/2022,1,"Manchester, UK",Opening of 'Three New Bailey' office,Rail,Standard,131.75,Nil Return,323.75,Nil Return
Jonathan Athow,11/10/2022,1,"Manchester, UK",Opening of 'Three New Bailey' office,Rail,Standard,131.75,Nil Return,323.75,Nil Return
Jonathan Athow,27/10/2022,1,"Leeds, UK",Board meeting,Rail,Standard,Nil Return,Nil Return,185,Nil Return
Jonathan Athow,27/10/2022,1,"Leeds, UK",Board meeting,Rail,Standard,Nil Return,Nil Return,185,Nil Return
Julie Etheridge,06/10/2022,1,"London, UK",Extended Enterprise Leadership Group Meeting ,Rail,Standard,Nil Return,Nil Return,97,Nil Return
Julie Etheridge,13/10/2022,1,"London, UK",Customs Declaration update meeting ,Rail,Standard,Nil Return,Nil Return,97,Nil Return
Julie Etheridge,24/10/2022,1,"London, UK",Joint Customs Consultative Committee Group Meeting and Borders and Trade Senior Leadership Team Meeting,Rail,Standard,Nil Return,Nil Return,97,Nil Return
Julie Etheridge,07/12/2022,1,"London, UK",Senior oversight review session for Computerised Transit System ,Rail,Standard,Nil Return,Nil Return,97,Nil Return
Juliette Scott,27/10/2022,2,"Leeds, UK ",HMRC Board Event ,Rail,Standard,Nil Return,Nil Return,238,Nil Return
Justin Holliday,26/10/2022,1,"York, UK",Board Event,Rail,Standard,Nil Return,Nil Return,145.75,Nil Return
Justin Holliday,28/10/2022,1,"London, UK",Board Event,Rail,Standard,Nil Return,Nil Return,145.75,Nil Return
Justin Holliday,31/10/2022,1,"Worthing, UK",Worthing Regional Centre official opening,Rail,Standard,Nil Return,Nil Return,72.25,Nil Return
Justin Holliday,30/11/2022,1,"Nottingham, UK",Chief Finance Office Senior Leadership Team Event,Rail,Standard,Nil Return,Nil Return,201.75,Nil Return
Kate Tilley,27/10/2022,1,"Leeds, UK",HMRC Board Away Day,Rail,Standard,Nil Return,Nil Return,140,Nil Return
Kate Tilley,30/11/2022,1,"Manchester, UK",Heads of Professsions Workshop,"Rail, Car",Standard,Nil Return,Nil Return,117,Nil Return
Kate Tilley,06/12/2022,1,"Manchester, UK",Chief People Office Senior Leadership Team Day,"Rail, car",Standard,Nil Return,Nil Return,105,Nil Return
Kelly Paterson ,04/10/2022,1,"London, UK",Security Operating Model Event ,"Air, Rail","Economy, Standard",7.75,Nil Return,381.53,Nil Return
Kelly Paterson ,26/10/2022,1,"London, UK",HMRC Security All Staff Event ,"Air, Rail","Economy, Standard",9.89,Nil Return,298.38,Nil Return
Kelly Paterson ,30/10/2022,5,"Oxford, UK",Major Projects Leadership Academy Course ,"Air, Rail, Taxi","Economy, Standard",77.55,Nil Return,495.15,Nil Return
Kelly Paterson ,14/11/2022,2,"London, UK",Workshop held externally,"Air, Rail","Economy, Standard",107,Nil Return,436.78,Nil Return
Kelly Paterson ,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Air,Economy,Nil Return,Nil Return,349.48,Nil Return
Kelly Paterson ,07/12/2022,2,"London, UK",Extended Leadership and Senior Leadership meetings,"Air, Rail","Economy, Standard",244.69,Nil Return,705.87,Nil Return
Lucy Pink ,11/10/2022,1,"Manchester, UK",Executive Committee - Senior leadership Meeting  ,Rail,Standard,Nil Return ,Nil Return ,182,Nil Return 
Lucy Pink ,26/10/2022,3,"Leeds, UK",HMRC Board and Senior Leadership Event ,Rail ,Standard ,Nil Return ,Nil Return ,155,Nil Return 
Lucy Pink ,01/11/2022,1,"Manchester, UK",Site visit to meet staff ,Rail ,Standard ,Nil Return ,Nil return ,113,Nil Return 
Marc Gill,04/10/2022,2,"London, UK",Customer Compliance Group Awards,Rail,Standard,380,Nil Return,689,Nil Return
Marc Gill,17/10/2022,1,"Birmingham, UK",Individuals and Small Business Compliance Leadership Event,Rail,Standard,11,Nil Return,181,Nil Return
Marc Gill,01/11/2022,1,"Darlington, UK",Site visit,Rail,Standard,Nil Return,Nil Return,35,Nil Return
Marc Gill,09/11/2022,1,"Leeds, UK",Site Visit,Rail,Standard,3.99,Nil Return,113.15,Nil Return
Marc Gill,24/11/2022,2,"London, UK",Conference,Rail,Standard,117,Nil Return,505,Nil Return
Marc Gill,28/11/2022,1,"Leeds, UK",Customer Compliance Group Event,Rail,Standard,10,Nil Return,108.06,Nil Return
Mark Wilson,11/10/2022,1,"Leeds, UK",Legal Operations Senior Leadership Team Meeting,Rail,Standard,Nil Return,Nil Return,68,Nil Return
Mary Aiston,08/11/2022,1,"Leeds, UK",Human Resources meeting,Rail,Standard,Nil Return,Nil Return,122,Nil Return
Mary Aiston,22/11/2022,1,"Manchester, UK",Human Resources meeting,Rail,Standard,Nil Return,Nil Return,116,Nil Return
Mary Aiston,28/11/2022,1,"Bristol, UK",Beacon Event,Rail,Standard,Nil Return,Nil Return,143,Nil Return
Mary Aiston,05/12/2022,1,"Cardiff, UK",Cardiff Office Visit  ,Rail,Standard,Nil Return,Nil Return,106,Nil Return
Mary Aiston,07/12/2022,1,"Portsmouth, UK",Listening to You Event,Rail,Standard,Nil Return,Nil Return,44,Nil Return
Mary Barber,06/10/2022,1,"Manchester, UK",Team meeting,Rail,Standard,Nil Return,Nil Return,108,Nil Return
Mary Barber,13/10/2022,1,"London, UK",Team Meeting,Rail,Standard,Nil Return,Nil Return,209,Nil Return
Mary Barber,18/10/2022,2,"Newcastle upon Tyne, UK",Channel Optimisation team meeting,Rail,Standard,133,Nil Return,281,Nil Return
Mary Barber,19/10/2022,2,"Belfast, UK",Team meetings and Senior Leadership Team,"Air, Rail","Economy, Standard",16,Nil Return,171.7,Nil Return
Mary Barber,15/11/2022,3,"London, UK",Team Meeting,Rail,Standard,565.96,Nil Return,780.46,Nil Return
Mary Barber,18/11/2022,1,"Manchester, UK",Senior Leadership Team and meetings,Rail,Standard,20,Nil Return,242,Nil Return
Max Hacon,20/10/2022,2,"Belfast, UK",Transformation Group Senior Leadership Team Meeting ,Air,Economy,Nil Return,Nil Return,221.46,Nil Return
Max Hacon,27/10/2022,1,"London, UK",Single Trade Window meeting,Rail,Standard,Nil Return,Nil Return,309,Nil Return
Max Hacon,17/11/2022,1,"London, UK",Transformation Group Senior Leadership Meeting,Rail,Standard,Nil Return,Nil Return,332,Nil Return
Max Hacon,21/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,149.91,Nil Return,414.51,Nil Return
Mike Shipp,30/11/2022,1,"Nottingham, UK",Senior leadership meeting,Rail,Standard,Nil Return,Nil Return,49,Nil Return
Myrtle Lloyd,03/10/2022,1,London,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£311.00,Nil Return
Myrtle Lloyd,04/10/2022,1,North West,"Conferences, meetings, site visits",Car,Hire,Nil Return,Nil Return,£104.26,Nil Return
Myrtle Lloyd,05/10/2022,1,Newport,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£139.00,Nil Return
Myrtle Lloyd,06/10/2022,1,London,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£311.00,Nil Return
Myrtle Lloyd,07/10/2022,1,Manchester,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£21.00,Nil Return
Myrtle Lloyd,07/10/2022,1,Manchester,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£39.00,Nil Return
Myrtle Lloyd,11/10/2022,1,Chester,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£20.00,Nil Return
Myrtle Lloyd,11/10/2022,1,Manchester,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£40.00,Nil Return
Myrtle Lloyd,12/10/2022,1,Manchester,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£20.00,Nil Return
Myrtle Lloyd,17/10/2022,2,London,"Conferences, meetings, site visits",Rail,Standard,130,Nil Return,£199.00,Nil Return
Myrtle Lloyd,18/10/2022,2,Newcastle upon Tyne,"Conferences, meetings, site visits",Rail,Standard,140,Nil Return,£315.00,Nil Return
Myrtle Lloyd,20/10/2022,1,Chester,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£90.00,Nil Return
Myrtle Lloyd,27/10/2022,1,Leeds,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,£82.00,Nil Return
Myrtle Lloyd,30/10/2022,1,Newport,"Conferences, meetings, site visits",Taxi,Hire,6,Nil Return,£96.16,Nil Return
Myrtle Lloyd,12/11/2022,2,London,"Rememberance Day Service, OpDel Excel Residential and SLC","Rail, Taxi",Standard,190,Nil Return,£354.35,Nil Return
Myrtle Lloyd,13/11/2022,1,Exeter,OpDel Excel Residential and SLC,"Rail, Taxi",Standard,Nil return,Nil Return,£153.00,Nil Return
Myrtle Lloyd,17/11/2022,1,Chester,SLC,"Rail, Taxi",Standard,Nil return,Nil Return,£168.70,Nil Return
Myrtle Lloyd,22/11/2022,1,London,SLC,"Rail, Taxi",Standard,Nil return,Nil Return,316.8,Nil Return
Myrtle Lloyd,09/12/2022,2,London,Civil Service Awards,"Rail, Taxi",Standard,128,Nil Return,453,Nil Return
Myrtle Lloyd,12/12/2022,1,Manchester,"Conferences, meetings, site visits",Rail,Standard,Nil Return,Nil Return,21,Nil Return
Nic Bourven,11/10/2022,2,"Newcastle, Manchester, UK",Workshop and senior meeting,Rail,Standard,197.6,Nil return,440.25,Nil Return
Nic Bourven,15/11/2022,2,"Birmingham, UK",Senior Leadership Meeting,Rail,Standard,106,Nil return,233.95,Nil Return
Nic Bourven,23/11/2022,2,"Southend, UK",Site closure and staff relocation visit,Rail,Standard,105.5,Nil return,176.95,Nil Return
Nic Bourven,13/12/2022,3,"Newcastle upon Tyne, UK","Site visit, Senior Leadership meeting",Air,Economy,108,Nil return,564.3,Nil Return
Nic Harrison,11/10/2022,2,"Manchester, UK",CDIO Senior Leadership meeting and Regional Centre visit,Rail,Standard,205,Nil Return,626,Nil Return
Nicole Newbury,04/10/2022,1,"London, UK",Customer Compliance Group Awards ,Rail,Standard,Nil Return,Nil Return,170,Nil Return
Nicole Newbury,06/10/2022,1,"London, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,153,Nil Return
Nicole Newbury,21/10/2022,1,"Cardiff, UK",Tax Conference,Rail,Standard,Nil Return,Nil Return,122,Nil Return
Nicole Newbury,26/10/2022,1,"London, UK",Peer Leadership Group meeting,Rail,Standard,Nil Return,Nil Return,174,Nil Return
Nicole Newbury,11/11/2022,1,"London, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,170,Nil Return
Nicole Newbury,13/11/2022,3,"Newcastle upon Tyne, UK",Senior Leadership meeting,Rail,Standard,215,Nil Return,493,Nil Return
Nicole Newbury,21/11/2022,2,"London, UK",Senior Leadership meeting,Rail,Standard,143,Nil Return,313,Nil Return
Nicole Newbury,01/12/2022,1,"Cardiff, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,122,Nil Return
Nicole Newbury,02/12/2022,1,"Nottingham, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,36,Nil Return
Nicole Newbury,21/12/2022,1,"Nottingham, UK",Internal meetings,Rail,Standard,Nil Return,Nil Return,36,Nil Return
Oliver Fisher,04/10/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,64,Nil Return
Oliver Fisher,06/10/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,62,Nil Return
Oliver Fisher,11/10/2022,1,"London, UK",Senior Leadership team Event,Rail,Standard,Nil return,Nil Return,62,Nil Return
Oliver Fisher,12/10/2022,1,"London, UK",Directorate staff event,Rail,Standard,Nil return,Nil Return,84,Nil Return
Oliver Fisher,13/10/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,110,Nil Return,130,Nil Return
Oliver Fisher,19/10/2022,3,"Belfast, UK",Senior Leadership team and Board meeting,Air,Economy ,229,Nil Return,450,Nil Return
Oliver Fisher,26/10/2022,3,"Leeds, UK",Board Event,Rail,Standard,218,Nil Return,400,Nil Return
Oliver Fisher,31/10/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,85,Nil Return
Oliver Fisher,15/11/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,84,Nil Return
Oliver Fisher,17/11/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,128,Nil Return
Oliver Fisher,18/11/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,19,Nil Return
Oliver Fisher,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil return,Nil Return,85,Nil Return
Oliver Fisher,30/11/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,64,Nil Return
Oliver Fisher,05/12/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,64,Nil Return
Oliver Fisher,09/12/2022,1,"London, UK",Official visit and senior meetings,Rail,Standard,Nil return,Nil Return,62,Nil Return
Oliver Fisher,19/12/2022,1,"Birmingham, UK",Senior Leadership Team meeting,Air,Economy ,116,Nil Return,314,Nil Return
Patricia Gallan,27/10/2022,1,"Leeds, UK",Meeting,Rail,Standard,Nil Return,Nil Return,108,Nil return
Patricia Gallan,28/10/2022,1,"London, UK",Meeting,Rail,Standard,Nil Return,Nil Return,146,Nil return
Patrick Whittome,01/11/2022,1,"Worthing, UK",Attending Grade 7 Event and Group Controller meeting,Car,Private ,Nil Return,Nil Return,24,Nil Return
Patrick Whittome,22/11/2022,1,"London, UK",Senior Leaders Meetings,Rail,Standard,Nil Return,Nil Return,28,Nil Return
Patrick Whittome,30/11/2022,2,"Nottingham, UK",Chief Finance Officer Senior Leadership Event,Rail,Standard,Nil return,Nil Return,95,Nil Return
Paul Morton,27/10/2022,1,"Leeds, UK",HMRC Board Meeting Event,Rail,Standard,Nil return,Nil Return,267,Nil return
Paul Riley,06/10/2022,1,"London, UK",Senior leaders conference,Rail,Standard,Nil Return,Nil Return,225,Nil Return
Paul Riley,25/10/2022,1,"London, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,327,Nil Return
Paul Riley,14/11/2022,2,"Glasgow, UK",Tax Administration all staff conference,Rail,Standard,75,Nil Return,104,Nil Return
Paul Riley,21/11/2022,2,"London, UK",Senior Leaders meeting and HMRC conference,Rail,Standard,141,Nil Return,468,Nil Return
Penny Ciniewicz,26/10/2022,2,"Leeds, UK",Executive Committee Board Event,Rail,Standard,Nil Return,Nil Return,159,Nil Return
Penny Ciniewicz,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,14,Nil Return
Penny Ciniewicz,05/12/2022,1,"Cardiff, UK",Official Opening of the Cardiff Regional Centre,Rail,Standard,Nil Return,Nil Return,172,Nil Return
Rachel Nixon,25/10/2022,1,"London, UK",Site visit to locally based staff,Rail,Standard,Nil Return,Nil Return,6.8,Nil Return
Rachel Nixon,02/11/2022,2,"Manchester, UK",Site visit to locally based staff,Rail,Standard,130,Nil Return,366,Nil Return
Rachel Nixon,06/12/2022,2,"Liverpool, UK",Conference and visit to locally based staff,Rail,Standard,80.15,Nil Return,97.15,Nil Return
Richard Forster,06/10/2022,1,"London, UK",Extended Enterprise Leadership Group Meeting,"Rail, Underground",Standard,88.9,Nil Return,130.05,Nil Return
Richard Forster,12/10/2022,1,"York, UK",Customer Service Group Internal Conference,Car,Private,8.25,Nil Return,218.45,Nil Return
Richard Forster,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,"Rail, Underground",Standard,5.55,Nil Return,101.55,Nil Return
Richard Forster,23/11/2022,1,"Manchester, UK",Continuous Improvement Cross Government conference,Rail ,Standard,109.72,Nil Return,208.72,Nil Return
Richard Forster,29/11/2022,1,"Cardiff, UK",Operational Excellence Senior Leadership Team meeting,Rail,Standard,95,Nil Return,164,Nil Return
Richard Hawthorn,06/10/2022,1,"London, UK",Extended Enterprise Leadership Group Meeting ,Rail,Standard,24.41,Nil Return,270.01,Nil Return
Richard Hawthorn,07/10/2022,1,"Birmingham, UK",Mentee Induction Meeting,Rail,Standard,Nil Return,Nil Return,9,Nil Return
Richard Hawthorn,12/10/2022,2,"York, UK",Customer Service Group Senior Leadership Team Away Day,Car,Private,Nil Return,Nil Return,227.05,Nil Return
Richard Hawthorn,14/11/2022,4,"Glasgow, UK",Operational Excellence Senior Leadership Team Event,Rail,Standard,367.03,Nil Return,517.03,Nil Return
Richard Hawthorn,21/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,126.58,Nil Return,315.58,Nil Return
