Senior Officials Name,Start date of trip,Duration of Visit (Days )Please round this up to the no of days,"Destination - Format must be City, Country","Purpose of trip - Please clearly state the purpose of each trip in detail, ie External meeting must be External meeting with ABC INCORPORATED",Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given) - Any other costs of the trip,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Jessica Matthew,01/12/2022,1,"Hastings,UK",MULTIPLE WORKPLACE TRAVEL COST - Work from Hastings office,Rail,Standard,7,Nil Return,42.5,Nil Return
Jessica Matthew,09/12/2022,1,"Cardiff,UK",CONFERENCE ATTENDANCE - Local Transport Summit 2022,Rail,Standard,Nil Return,Nil Return,118,Nil Return
Jill C Adam,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Jim Richards,09/10/2022,2,"Birmingham,UK",CAP Launch of Request for Business Plan event - Birmingham ,Rail,Standard,95,Nil Return,182.3,Nil Return
Jim Richards,25/10/2022,2,"Leeds,UK",Visting the Leeds Office,Rail,Standard,101,Nil Return,260.3,Nil Return
Jim Richards,25/11/2022,1,"Bletchley,UK",Battery Train and Fast Charge Trial Site Visit at Bletchley Depot,Rail,Standard,Nil Return,Nil Return,45.1,Nil Return
Jim Richards,27/11/2022,2,"Okehampton,UK",Rail Ministers visit to Okehampton,Rail,Standard,174.04,Nil Return,384.94,Nil Return
Jim Richards,11/12/2022,2,"Tisbury,UK",Tisbury Site Visit,Rail,Standard,94,7.2,163.6,Nil Return
John Hall,01/12/2022,1,"Manchester,UK ", MEETING WITH EXTERNAL BODIES,Rail,Standard,Nil Return,Nil Return,273.4,Nil Return
John Parkinson ,13/10/2022,2,"Cambridge,UK ",Conference ,Rail,Standard,Nil Return,Nil Return,42.65,Nil Return
John Parkinson,19/10/2022,1,"London,UK",Dutch inward visit - Dutch Director of Sustainable Mobility,Rail,Standard,Nil Return,Nil Return,5.8,Nil Return
