name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude
Terminal Music Studios,Southwark,, ?200003493931,E09000028,South Bermondsey,E05011116,"Unit 17, Bermondsey Trading Estate",Rotherhithe New Road,,535141.2016,178529.8804,-0.05486124,51.489576
Dalston Rehearsal Studio,Hackney,, ?100023161781,E09000012,Shacklewell,E05009382,73 Stoke Newington Rd,,,533547.1757,185612.8285,-0.075124287,51.553605
Rockbottom Music ,Croydon,, ?100022903809,E09000008,Broad Green,E05011465,68-70 London Road,,,532054.2482,166198.9418,-0.10389232,51.37949
Creation Studios,Camden,, ?5110315,E09000007,Cantelowes,E05000131,Kentish Town Road and Royal College Street,London,,528984.2265,184500.6937,-0.141309,51.544672
Urchin Studios,Tower Hamlets,, ?6736494,E09000030,Bow East,E05009319,"Unit 1, Stonemason's House",Hepscott Road,,537045.0949,184511.7995,-0.025130545,51.542873
Ritz Music Studio,Richmond upon Thames,, ?100023409320,E09000027,South Richmond,E05000528,88 Sheen Rd,Richmond,,518439.4303,175047.0046,-0.29647238,51.462014
Soundbox Studios,Sutton,, ?5870051407,E09000029,Sutton Central,E05000564,"Unit 4, Pandora House",41-45 Lind Road,,526364.256,164432.0958,-0.18623386,51.364904
Dance Attic,Hammersmith and Fulham,,34069847,E09000013,Fulham Broadway,E05000254,368 North End Road,,,525121.3544,177336.8562,-0.19952684,51.481158
Academy Mews Studios,Camden,,5088505,E09000007,Regent's Park,E05000142,15 PRATT MEWS,,,529058.234,183668.6934,-0.14054726,51.537178
Battersea Arts Centre,Wandsworth,,121015942,E09000032,Shaftesbury,E05000623,Lavender Hill,,,527852.2738,175624.8274,-0.16083884,51.465162
West London Art Factory ,Ealing,,12187273,E09000009,East Acton,E05000175,135 Dukes Road,,,519254.4214,181940.7752,-0.28241924,51.523802
Fitztrovia Community Centre,City of Westminster,,10033619463,E09000033,West End,E05000649,2 Foley Street,,,529229.2517,181781.7326,-0.13877482,51.520181
St Edward's Church Mottingham,Bromley,,1.00023E+11,E09000006,Mottingham and Chislehurst North,E05000121,35 St Keverne Road,London,,542466.1875,171798.9511,0.047864414,51.427296
English National Opera Lilian Bayliss Studios,Camden,,5082898,E09000007,West Hampstead,E05000145,Lilian Baylis House,165 Broadhurst Gardens,,,,-0.19048534,51.546187
St Andrew's Church,Barking and Dagenham ,,10011847236,E09000002,Sidcup,E05011230,St Andrew's Road,Sidcup,,547943.1937,172449.8907,0.12685978,51.431743
