,,Number Of Births,,,,,,,,,,,,,,,,,,,
,,England,,,,,,,Scotland,,,,,,Wales,,,,,,Total Births For Breed
,,Birth Application,,Register by Death,,,Temporary Calf Passport (PPAF),,Birth Application,,Register by Death,,Temporary Calf Passport (PPAF),,Birth Application,,Register by Death,,Temporary Calf Passport (PPAF),,
,,F,M,F,M,,F,M,F,M,F,M,F,M,F,M,F,M,F,M,
LUING,Non Dairy,48,49,0,0,0,0,0,"1,503","1,490",1,1,0,0,3,3,0,0,0,0,"3,098"
LUING X,Non Dairy,36,27,0,0,0,0,0,499,484,1,3,0,0,0,4,0,0,0,0,"1,054"
MAINE ANJOU,Non Dairy,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
MAINE ANJOU X,Non Dairy,107,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223
MARCHIGIANA,Non Dairy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MARCHIGIANA X,Non Dairy,21,29,0,0,0,0,0,1,0,0,0,0,0,16,8,0,0,0,0,75
MEUSE RHINE ISSEL,Non Dairy,760,902,0,2,0,0,6,142,131,0,0,0,0,295,354,2,1,0,1,"2,596"
MEUSE RHINE ISSEL X,Non Dairy,"1,226","1,367",2,3,0,0,21,177,212,0,0,0,1,386,416,1,0,0,17,"3,829"
MONTBELIARDE,Non Dairy,892,872,1,1,0,0,7,204,199,1,0,0,0,62,62,0,0,0,0,"2,301"
MONTBELIARDE X,Non Dairy,"1,995","2,118",2,5,0,9,25,"1,275","1,349",3,0,1,10,481,499,1,3,0,7,"7,783"
MURRAY GREY,Non Dairy,158,169,1,0,0,0,0,6,7,0,0,0,0,40,50,0,0,0,0,431
MURRAY GREY X,Non Dairy,183,154,0,1,0,3,11,11,6,0,0,0,0,16,13,0,0,0,0,398
NORMANDE,Non Dairy,73,47,0,0,0,0,1,0,1,0,0,0,0,13,9,0,0,0,0,144
NORMANDE X,Non Dairy,99,104,0,0,0,0,0,3,7,0,0,0,0,0,1,0,0,0,0,214
PARTHENAIS,Non Dairy,58,54,0,0,0,0,0,9,7,0,0,0,0,2,0,0,0,0,0,130
PARTHENAIS X,Non Dairy,358,355,1,0,0,0,1,104,87,0,0,0,0,27,22,0,0,1,1,957
PIEMONTESE,Non Dairy,87,102,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,195
PIEMONTESE X,Non Dairy,655,649,3,0,0,2,2,2,4,0,0,0,0,76,71,0,0,0,0,"1,464"
RED POLL,Non Dairy,882,827,2,3,0,0,3,7,2,0,0,0,0,29,19,0,0,0,0,"1,774"
RED POLL X,Non Dairy,332,342,0,1,0,5,3,27,23,0,0,0,0,34,25,0,0,0,0,792
ROMAGNOLA,Non Dairy,10,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,18
ROMAGNOLA X,Non Dairy,21,26,0,0,0,0,0,23,44,0,0,0,0,1,0,0,0,0,0,115
SALERS,Non Dairy,683,757,3,3,0,0,3,458,417,2,0,1,0,256,236,0,0,0,0,"2,819"
SALERS X,Non Dairy,"2,457","2,472",2,7,0,10,10,"2,619","2,491",4,6,0,1,715,696,2,0,6,6,"11,504"
SHETLAND,Non Dairy,103,98,0,1,0,0,0,105,119,0,0,0,0,8,6,0,1,0,0,441
SHETLAND X,Non Dairy,36,26,0,0,0,0,1,29,43,0,0,0,0,1,1,0,0,0,0,137
SHORTHORN,Non Dairy,"1,299","1,551",3,11,0,0,12,221,211,0,2,0,0,143,130,0,1,0,3,"3,587"
SHORTHORN X,Non Dairy,"1,839","1,906",9,18,0,7,13,"2,638","2,483",3,4,0,0,247,289,0,3,0,5,"9,464"
SOUTH DEVON,Non Dairy,"6,740","6,691",8,8,0,0,1,65,69,0,1,0,0,115,127,0,0,0,0,"13,825"
SOUTH DEVON X,Non Dairy,"6,040","6,016",8,12,0,17,30,527,506,1,0,0,0,188,194,1,1,0,0,"13,541"
SUSSEX,Non Dairy,"1,542","1,602",2,10,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,"3,162"
SUSSEX X,Non Dairy,"1,519","1,625",3,2,0,16,11,21,8,0,0,0,0,4,3,0,0,0,0,"3,212"
VAYNOL,Non Dairy,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
WELSH BLACK,Non Dairy,618,574,3,1,0,0,1,57,67,0,0,0,0,"4,376","4,521",7,4,3,7,"10,239"
WELSH BLACK X,Non Dairy,641,676,1,2,0,3,1,34,30,0,0,0,0,"1,193","1,274",5,2,3,6,"3,871"
WELSH WHITE,Non Dairy,0,3,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,46
WELSH WHITE X,Non Dairy,6,7,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,26
WHITE GALLOWAY,Non Dairy,59,53,0,0,0,0,0,41,33,0,0,0,1,0,0,0,0,0,0,187
WHITE GALLOWAY X,Non Dairy,3,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,9
WHITE PARK,Non Dairy,328,292,2,0,0,0,0,9,5,0,0,0,0,22,19,0,0,0,0,677
WHITE PARK X,Non Dairy,54,58,0,0,0,0,0,4,2,0,0,0,0,10,9,0,0,0,0,137
WHITEBRED S/HORN X,Non Dairy,195,170,0,0,0,0,0,378,408,0,3,0,0,29,22,0,0,0,0,"1,205"
WHITEBRED SHORTHORN,Non Dairy,48,65,0,0,0,0,0,34,29,0,0,0,0,1,0,0,0,0,0,177
,,"116,556","119,030",181,258,0,711,780,"24,174","23,968",39,44,20,33,"22,177","22,888",69,44,123,189,"331,284"
