Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-07,Meeting with East Midlands Trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-07,Meeting with GB Railfreight ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-08,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-08,Meeting with Rail Freight Group,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-08,Meeting with Crossrail Ltd,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-08,Meeting with Eurotunnel,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-14,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-14,Meeting with South Western Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-14,Meeting with C2C Rail,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-16,Meeting with West Midlands Trains ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-16,"Meeting with Accessibility stakeholders, Disabled Persons Transport Advisory Committee,Transport for All",discuss impact of covid 19 on disabled people,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-16,"Meeting with Rail Industry Association, High Speed, Arup, Resonate,Keltbray, CPC Project Services, Nichols, Atkins, Balfour Beatty,Porterbrook,Alstom,  Unipart Rail, British Steel
Movement Analytics,VolkerRail, Pandrol, Wabtec,Colas Rail, BAM Nuttall, Angel Trains, Rail Forum Midlands , Rail Alliance 
",To discuss rail sector and impact on Covid-19,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-17,Meeting with London North Eastern Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-17,"Meeting with Rolling Stock Companies, Porterbrook, Beacon Rail Leasing Limited,eversholt rail, Rock Rail Holdings Limited, Angel Trains
",regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-20,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-20,Meeting with Southeastern Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-20,"Meeting with Rail Delivery Group
",to discuss the rail industry commitment to accessibility,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-21,Meeting with Great Western Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-21,Meeting with Rail Freight Group,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-22,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-22,Meeting with the Bicycle Association of Great Britain Ltd,Introduction meeting to the work of the Bicycle Association,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-22,Meeting with GB Rail Freight,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-23,Meeting with Northern Rail,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
