Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-16,P&O Ferries,To discuss financial situation and what support is needed to maintain minimum service level,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-16,"FHF London, WFS, Dnata, Swissport, Menzies Aviation, ABM","To provide an update on: the coronavirus job retention scheme, business rates, dear colleague letter, repatriation and airport security passes",,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-16,UKCoS; CMA CGM; MSC; Evergreen; ONE; P&O Ferries; Brittany Ferries; Stena Line; DFDS; Seatruck Ferries; CLdN Cobelfret; Irish Ferries; Red Funnel Ferries; Wightlink; Hovertravel,To discuss the impact of Covid-19 on the Shipping/Ferry sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-21,Civil Aviation Authority (CAA); Airport Operators' Association (AOA); Aberdeen Airport; Glasgow Airport; Southampton Airport; Belfast City Airport; Belfast International Airport; Bristol Airport; Leeds Airport;  Bradford Airport; Liverpool Airport; London City Airport; Newcastle Airport; London Southend Airport,To discuss the impact of Covid-19 on the airport sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-21,CAA; AOA; Birmingham Airport; Edinburgh Airport; Gatwick Airport; Heathrow Airport; Luton Airport; Manchester Airport; Stansted Airport; East Midlands Airport,To discuss the impact of Covid-19 on the airport sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-22,"2 Excel, British Airways (BA), Dalsey, Hillblom and Lynn (DHL), easyJet, Jet2.com, Jota Aviation, Norwegian, Ryanair, Titan, Touristik Union International Aktiengesellschaft (TUI), Virgin, West Atlantic, Airlines UK, Loganair, Eastern, Blue Islands, Wizz Air, Board of Airline Representatives in the UK (BAR UK), International Air Transport Association (IATA), Aerospace, Defence, Security & Space (ADS), International Airlines Group (IAG) ",To discuss the impact of Covid-19 on the airline sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-27,UK Harbour Masters Association; British Tugowners Association; UK Maritime Pilot’s Association; British Rig Owners’ Association; The Workboat Association ,To discuss the impact of Covid-19 on the Ports services sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-27,"RMT; Nautilus International; Unite the Union 
",To discuss the impact of Covid-19 on seafarers,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-28,UKCoS; Cosco; Evergreen; ONE; Maersk; P&O Ferries; Brittany Ferries; Stena Line; DFDS; Seatruck Ferries; CLdN Cobelfret; Irish Ferries; Red Funnel Ferries; Wightlink; Hovertravel,"To discuss: announcement on Friday of support for freight routes,  crew change , testing, health measures at border, credit notes, and support for cadets. ",,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-29,"2 Excel, British Airways (BA), Dalsey, Hillblom and Lynn (DHL), easyJet, Jet2.com, Jota Aviation, Norwegian, Ryanair, Titan, Touristik Union International Aktiengesellschaft (TUI), Virgin, West Atlantic, Airlines UK, Loganair, Eastern, Blue Islands, Wizz Air, Board of Airline Representatives in the UK (BAR UK), International Air Transport Association (IATA), Aerospace, Defence, Security & Space (ADS), International Airlines Group (IAG) ",To discuss the impact of Covid-19 on the airline sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-29,P&O Ferries,To discuss support for P&O and ongoing impact of Covid-19,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-30,"FHF London, WFS, Dnata, Swissport, Menzies Aviation, ABM","To provide an update on: the coronavirus job retention scheme, repatriation, freight package announcement, PPE and the new restart and recovery unit",,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-05,British Marine,Introduction to British Marine and impact of Covid-19,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-05,Virgin Atlantic,To discuss the financial impact of Covid-19,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-06,Heathrow Airport; Gatwick Airport; Manchester Airport Group (MAG); CWL; RCA; IAIR; easyJet; AOA; Airlines UK; Board of Airline Representatives UK (BAR-UK); International Air Transport Association (IATA); Swissport; ADS Group; TUI; CAA; NATS; Jet2; BBGA; TUC; ,Attendance at the Aviation Expert Steering Group,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-10,"Maritime UK, UKMPG, UK Chamber of Shipping, Cruise Lines International Association, BPA, DFDS, Irish Ferries, Seatruck, Brittany Ferries, Stena Line, P&O, Maritime Pilots Association, UK Harbour Masters Association, Hutchison Ports, Peel Ports, ABP, Port of Dover, Forth Ports.",Roundtable with the maritime sector to discuss the implementation of self-isolation for international arrivals,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-10,Airlines UK; British Airways; easyJet; TUI; Jet2; Virgin Atlantic; Ryanair; Wizz Air; Loganair; Board of Airline Representatives UK (BAR-UK); International Air Transport Association (IATA); AOA; Heathrow Airport; Gatwick Airport; Manchester Airport Group; Edinburgh Airport; Luton Airport; Birmingham Airport; Aberdeen Airport; Glasgow Airport; Southampton Airport; Swissport;  ABTA; CAA,Roundtable with the aviation sector to discuss the implementation of self-isolation for international arrivals,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-11,Maritime UK,Introduction to Maritime UK,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-13,AOA;  Regional and Business Airports Group (RABA); Heathrow Airport; Gatwick Airport; MAG; Stansted Airport; Aberdeen Airport; Glasgow Airport; Southampton Airport; Edinburgh Airport; East Midlands Airport; Birmingham Airport; Luton Airport; Swissport,To discuss the governments response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-13,Airlines UK; Board of Airline Representatives in the UK (BAR UK); International Air Transport Association (IATA); ADS Group; British Airways/ International Airlines Group; easyJet; Loganair; Jet2; Ryanair; TUI; Virgin Atlantic; Airport Operators' Assocaition (AOA); Authentic Travel Company,To discuss the impact of Covid-19 on the airline sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-14,UKCoS; MSC; Cosco; Evergreen; ONE; P&O Ferries; Brittany Ferries; Stena Line; CLdN Cobelfret; Irish Ferries; Red Funnel Ferries; Hovertravel,To discuss the impact of Covid-19 on the Shipping/Ferry sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-18,"Trades Union Congress (TUC); National Union of Rail, Maritime and Transport Workers (RMT); Associated Society of Locomotive Engineers and Firemen (ASLEF); Transport Salaried Staffs' Association (TSSA); Unite the Union; Prospect; Nautilus International; British Airline Pilots Association (BALPA); General, Municipal, Boilermakers (GMB)",To discuss the government's response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-21,"AOA, Aberdeen, Glasgow, Southampton Airports (AGS), Belfast City, Belfast International, Bristol, Leeds Bradford, Liverpool, London City, Newcastle, Stobart group, Southend Airport",To discuss the impact of Covid-19 on the airport sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-05-21,"AOA, Birmingham, Edinburgh, Gatwick, Heathrow, Luton, Manchester Airports Group (MAG), East Midlands, Regional and Business Airports Group (RABA)",To discuss the impact of Covid-19 on the airline sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-02,McKinsey & Company,To discuss the future of the aviation and aerospace industry,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-04,"AOA;  Regional and Business Airports Group (RABA); IAG; Cardiff Airport; City of Derry Airport; Doncaster Sheffield Airport; Inverness Kirkwell Airport; Cornwall Newquay Airport; Sumburgh Airport; Regional and City Airports (Bournemouth, Exeter, Norwich); Belfast City Airport; Belfast International Airport; Bristol Airport; Leeds Bradford Airport; Liverpool Airport; London City Airport; Newcastle Airport; Stobart (Southend) Airport",To discuss the impact of Covid-19 on the airport sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-04,"Cruise Line Association International (CLIA); Marella Cruises; MSC; Carnival UK; SAGA; Royal Caribbean; Fred Olsen; CMV Cruises 
",To discuss the impact of Covid-19 on the cruise sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-04,Airport Operators Association (AOA); Regional and Business Airports Group (RABA); Airlines UK; Board of Airline Representatives UK (BAR UK); International Air Transport Association (IATA); Heathrow Airport; Gatwick Airport; MAG; Edinburgh Airport; Virgin Atlantic; easyJet; Jet2; TUI; Swissport; Eurostar; Eurotunnel; Port of Dover; UK Chamber of Shipping; Maritime UK; British Ports' Association (BPA); UK Major Ports Group (UKMPG); Road Haulage Association (RHA); Freight Transport Association (FTA); Association of International Courier & Express Services (AICES),Attendance at a Home Secretary led industry roundtable to discuss border health measures,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-09,British Airways / International Airlines Group,To discuss the Government's approach to the recovery of the aviation sector and to understand British Airways' plans for recovery,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-09,Stena Line,"Introductory meeting to discuss: impact of covid-19, restart and recovery and future of UK freight",,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-11,"BA/ IAG; EasyJet; Jet2; LoganAir; TUI; AGS (Aberdeen, Glasgow & Southampton); CWL (Cardiff); City of Derry Airport; Gatwick; Heathrow; MAG (Manchester, Stansted & East Midlands); RCA (Bournemouth, Exeter, Norwich); Swissport; NATS; ACL; ADS group; AICES; Airlines UK; AOA; Bar UK; BBGA; Iata; TUC / Unite
",Attendance at the Aviation Expert Steering Group,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-11,Prospect,To discuss the impact of Covid-19 on the aviation workforce,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-11,British Business & General Aviation Association (BBGA),To discuss issues facing the aviation industry as a result of Covid-19 and EU Exit,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-15,P&O Ferries,To discuss workforce plans ,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-16,UK Chamber of Shipping,To discuss national minimum wage for seafarers ,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-16,"RMT; Nautilus International; Unite the Union; TSSA; TUC; Prospect 
",To discuss the impact of Covid-19 on seafarers ,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-17,Gatwick Airport,"To discuss the impact of Covid-19 on Gatwick Airport, and discuss what the government are doing to restart and recover the industry",,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-18,"BALPA, GMB, PCS, Prospect, TUC, Unison, Unite ",To provide an update on restart and recovery within the aviation industry,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-18,TUI,To discuss the impact of Covid-19 on TUI,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-23,Associated British Ports,Introductory meeting to ABP,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-25,"BA/ IAG; EasyJet; Jet2; LoganAir; TUI; AGS (Aberdeen, Glasgow & Southampton); CWL (Cardiff); City of Derry Airport; Gatwick; Heathrow; MAG (Manchester, Stansted & East Midlands); RCA (Bournemouth, Exeter, Norwich); Swissport; NATS; Airport Coordination Limited (ACL); ADS group; Maritime UK; UK Chamber of Shipping; UKMPG; BPA; CLIA; UKMPA; UKHMA; Maritime London; Maritime Skills Commission; Society of Maritime Industries; MarRI-UK; FTA; RMT;  (AICES); Airlines UK; AOA; Bar UK; British Business and General Aviation Association (BBGA); Iata; TUC / Unite",Attendance at the Aviation Expert Steering Group,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-25,Maritime UK; UK Chamber of Shipping; UKMPG; BPA; CLIA; UKMPA; UKHMA; Maritime London; Maritime Skills Commission; Society of Maritime Industries; MarRI-UK; FTA; RMT; ,Meeting of the Maritime Restart and Recovery Steering Group,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-29,MSC,To discuss commercial impact of Covid-19 on MSC cruise and financial support,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-29,Manchester Airport Group,"To discuss the challenges of Covid-19 on Manchester Airport Group, and restart and recovery within the aviation industry",,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-29,P&O Ferries and Trade Unions,To discuss workforce plans and redundancy consulation,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-06-30,Aviation Ambassadors Roundtable (Kate McWilliams; Jo Salter; James Ketchell; Arthur Williams; Kirsty Murphy; Patricia Mawuli Porter; Jonathan Porter; Liz Sparrow; Claudia Hill;  Jake Brattle; Ayala Truelove),To discuss the challenges of Covid-19 for aviation skills and the future pipeline of talent,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-04-02,Construction sector call                                         ,To discuss the construction sector,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-04-30,Hillingdon Council,To build relationship and discuss local construction programme ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-04,Independent Chair of the HS2 Design Panel,Introductory meeting with the Chair of HS2 design panel ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-04,Former Technical Director of HS2,To understand aspects of the current specification for HS2,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-05,Independent HS2 Residents’ Commissioner,Regular monthly meeting to provide the Minister with an update on the Residents’ Commissioner’s issues and concerns,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-11,Hillingdon HS2 Residents Support Group ,To listen to the concerns of Hillingdon residents about the project,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-12,Staffordshire Council ,To discuss the benefits HS2 can have on local transport ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-19,Royal Institute of Charted Surveyors (RICS),To discuss International Construction Measurement Standards,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-20,Leeds City Council ,To discuss how the Integrated Rail Plan will serve Leeds,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-20,Natural England,Introductory meeting to discuss the environmental impact of HS2,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-21,Mayor of Greater Manchester  ,To give an update on the Integrated Rail Plan ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-26,Lendlease,Introductory meeting to understand Lendlease 'shared purpose' for Euston,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-26,Camden Council,Introductory meeting to understand Camden Council's perspective and its priorities for Euston,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-26,Rail Safety and Standards Board (RSSB),Introductory meeting to discuss what RSSB do and how they support the rail industry,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-27,High Speed Rail Group (HSRG) ,Introductory meeting to discuss priorities and concerns of HSRG in relation to HS2,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-05-27,Railway Industry Association,To hear first-hand the priorities and concerns of the RIA and the role of its members in making the case for rail and major projects ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-02,Independent HS2 Residents’ Commissioner,Regular monthly meeting to provide the Minister with an update on the Residents’ Commissioner’s issues and concerns,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-02,Bouygues,To understand Bouygues' role as a strategic supplier on HS2,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-02,British Chambers of Commerce ,To hear first-hand the priorities and concerns of the British Chambers of Commerce in relation to Covid-19 and HS2,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-03,Independent Chair of the HS2 Community and Environment Fund and the Business and Local Economy Fund,To hear about the operation and latest developments of the Funds ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-03,Hillingdon HS2 Residents Support Group ,To discuss Settlement Deeds notices,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-03,Canal and River Trust,Introductory meeting to discuss economic and environmental development opportunities for HS2 ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-03,Build UK,Introductory meeting to discuss the priorities and concerns of Build UK in relation to HS2 and the construction industry ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-08,Taxpayers' Alliance ,To discuss improving accountability and keeping construction costs low on the HS2 project,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-08,E-Rail Ltd,To discuss Land Value Capture in relation to HS2,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-08,Laing O'Rourke,To discuss proposals to deliver HS2 more efficiently ,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-08,"Rail Freight Group
Mineral Products Association ","To highlight the importance of rail freight in supporting major projects, improving the economy and delivering decarbonisation",,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-09,Transport for the North,To update Transport for the North on the progress of the Integrated Rail Plan,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-15,"Transport for the North
North East Combined Authority
Gateshead Council
Tees Valley Metro Mayor
North Tyne Metro Mayor
North East Chamber of Commerce",North East Roundtable to discuss progress on the Integrated Rail plan and rail priorities for the region,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-16,"Yorkshire Council
Sheffield City Region
Sheffield Chamber of Commerce
Transport for the North
North Yorkshire County Council
Bradford Council Leader 
West Yorkshire Combined Authority
North Lincolnshire Leader 
North East Lincolnshire Council
North Yorkshire LEP 
City of York 
Leeds Council
York Chamber of Commerce

",Yorkshire and Humber Roundtable to discuss progress on the Integrated Rail plan and rail priorities for the region,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-17,"Lancashire LEP
Cumbria LEP
Blackburn with Darwen Council
Cumbria County Council 
Lancashire County Council
Greater Manchester Combined Authority
Manchester City Council
Transport for the North
",North West (Manchester) Roundtable to discuss progress on the Integrated Rail plan and rail priorities for the region,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-18,"Cheshire West and Chester 
Cheshire and Warrington LEP 
Cheshire East Council 
Liverpool and Sefton Chamber of Commerce
Liverpool City Region Metro Mayor
Transport for the North
Cheshire and Warrington LEP
Liverpool City Region Combined Authority 

",North West (Liverpool) Roundtable to discuss progress on the Integrated Rail plan and rail priorities for the region,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-23,Midlands Connect,To update Midlands Connect on the progress of the Integrated Rail Plan,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-24,"Chesterfield Council 
Mayor of Leicester
Derbyshire County Council
Nottinghamshire County Council
Leicestershire County Council
D2N2 (Derby and Nottingham)
Segro
Manchester Airports Group
East Midlands Chamber of Commerce
Nottingham County Council
Derby City Council
East Midlands Councils",East Midlands Roundtable to discuss progress on the Integrated Rail plan and rail priorities for the region,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-25,"Transport for the West Midlands
Stoke-on-Trent City Council
Staffordshire County Council
Birmingham City Council
The National Exhibition Centre Group
Birmingham Airport
Transport Officers Group
Rail Forum Midlands
Stoke and Staffs LEP
Midlands Connect
",West Midlands Roundtable to discuss progress on the Integrated Rail plan and rail priorities for the region,,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-29,London First,"Introductory meeting to discuss National Infrastructure Strategy, Euston and Northern Powerhouse Rail",,,,,,,,,,,,,,,,,,,,,,
Andrew Stephenson,2020-06-30,Independent HS2 Residents’ Commissioner,Regular monthly meeting to provide the Minister with an update on the Residents’ Commissioner’s issues and concerns,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-01,"Transport Focus, Campaign for Better Transport, Disabled Persons Transport Advisory Committee, Sustrans, Transport for All, Money Saving Expert, Which?",To discuss the impact of COVID-19 on the transport network and to understand the concerns of consumers and disabled transport users.,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-08,Airlines UK; British Ports Association; British International Freight Association; Chartered Institute of Logistics and Transport; Eurotunnel; Freight Transport Association; Rail Freight Group; Road Haulage Association; UK Warehousing Association; Airport Operators Association; Association of International Courier and Express Services; Cold Chain Federation; Rail Delivery Group; UK Chamber of Shipping,Discuss the implications of COVID-19 on UK freight ,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-16,"Campaign for Better Transport,  Sustrans; Transport Focus; Which?;  MoneySavingExpert;  Northern Irish Consumer Council",Call to discuss impact of COVID on consumers re transport,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-21,Zenzic,Introductory meeting on Automated Vehicles,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-21,Vauxhall,Introductory meeting to discuss the 203x consultation,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-23, Freight Transport Association;  Association of International Courier and Express Services; International Courier and Express Services; UK Chamber of Shipping; Logistics and Transport; Freight Transport Association; Airport Operators Association; Eurotunnel; Rail Freight Group; Kuehne & Nagel; e UK Warehousing Association; British Ports Association; Road Haulage Association; Airlines UK; UK Major Ports Group; Cold Chain Federation,To discuss the impact of COVID-19 on the freight sector,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-29,Tech UK,Introductory meeting to discuss the Future of Mobility,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-30,Campaign for Better Transport; Sustrans; Transport Focus; Which?; MoneySavingExpert; Northern Irish Consumer Council,Call to discuss impact of COVID on consumers re transport,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-30,CBI,Introductory meeting to discuss plans for transport decarbonisation,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-30,Green Alliance,Introductory meeting to discuss plans for transport decarbonisation,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-04-30,"Mayor James Palmer, Cambridgeshire & Peterborough",Introductor meeting to discuss Autonomous Metro ambitions,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-04,Sustainable Aviation,Introductory meeting to discuss aviation decarbonisation,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-05,Energy UK,Introductory meeting to discuss the transition to Zero Emission Vehicles,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-05,ChargePoint Network (UK) Ltd ,Virtual Demonstration of chargepoint technology,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-06,Connected Places Catapult,"Intro meeting to develop understanding of the Connected Places Catapult’s role in transport innovation, and explore how Connected Places Catapult can support the Department's priorities",,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-06,BVRLA,Introductory meeting to discuss the transition to Zero Emission Vehicles,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-06,Toyota,Introductory meeting to discuss the 203x consultation,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-07,Halfords,To discuss e-scooters,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-07,Committee on Climate Change,To discuss plans to decarbonise the transport sector and the impact of COVID-19,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-07,Freight Transport Association;  Association of International Courier and Express Services; International Courier and Express Services; UK Chamber of Shipping; Logistics and Transport; Freight Transport Association; Airport Operators Association; Eurotunnel; Rail Freight Group; Kuehne & Nagel; e UK Warehousing Association; British Ports Association; Road Haulage Association; Airlines UK; UK Major Ports Group; Cold Chain Federation,To discuss the impact of COVID-19 on the freight sector,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-07,Citymapper; Microsoft Corporation; Amazon Web Services; Zipabout; Google Cloud; techUK; Trainline; INRIX; Moovit; ITO World Ltd; Satellite Applications Catapults; Connected Places Catapult; SkedGo; (NHSX); Apple Inc.; Digital Catapult,To discuss development of travel apps to support travel during Covid-19,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-11, Freight Transport Association;  Association of International Courier and Express Services; International Courier and Express Services; UK Chamber of Shipping; Logistics and Transport; Freight Transport Association; Airport Operators Association; Eurotunnel; Rail Freight Group; Kuehne & Nagel; e UK Warehousing Association; British Ports Association; Road Haulage Association; Airlines UK; UK Major Ports Group; Cold Chain Federation,To discuss the impact of COVID-19 on the freight sector,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-12,Getlink Group,To discuss the implications of the end of the Transition Period on the Channel Tunnel,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-12,Rolls Royce,Introductory meeting to discuss plans for transport decarbonisation,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-13,Aldersgate Group,To discuss the Department's plans to decarbonise the transport sector and on green transport recovery from COVID-19.,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-14,DHL & Trailar,Introductory meeting to discuss the transition to Zero Emission Vehicles,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-15,Campaign for Better Transport; Sustrans; Transport Focus; Which?; MoneySavingExpert; Northern Irish Consumer Council,Call to discuss impact of COVID on consumers re transport,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-19,Royal Academy of Engineering,To discuss the DfT's Science and Transport Decarbonisation plans,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-19,Energy Networks Association,Introductory meeting to discuss the transition to Zero Emission Vehicles,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-20,"
Bird; Lime; Bolt; Wind; VOI; Tier; Dott; Jump/Uber; Ginger; Wheels; RAC Foundation; Rideables; Society of Motor Manufacturers and Traders; JRC Transport; Motorcycle Industry Association; CoMoUK (host); PACTS Transport Safety Advisors to Parliament; Transport for All; Travel Watch; The CBI; Living Streets. Local Authorises: Derby; Derbyshire; Hampshire; West of England Combined Authority; West Yorkshire; Transport for London; London Councils; Lewisham; Nottingham; Milton Keynes; Staffordshire; Transport for Greater Manchester; Transport for the North; Buckinghamshire CC. Mobility businesses: MaaS Global; Momentum Transport; Haktar; Designers and technologists; PA Consulting
",To discuss opportinities around micromobility,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-20,SMMT,Introductory meeting to discuss the transition to Zero Emission Vehicles,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-20,Future of Mobility Advisory Council ,Intorductory meeting to discuss the Future of Mobility,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-05-21,Airlines UK; British Ports Association; British International Freight Association; Chartered Institute of Logistics and Transport; Eurotunnel; Freight Transport Association; Rail Freight Group; Road Haulage Association; UK Warehousing Association; Airport Operators Association; Association of International Courier and Express Services; Cold Chain Federation; Rail Delivery Group; UK Chamber of Shipping,To discuss the impact of COVID-19 on the freight sector,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-06-03,Crypta Labs,Intro meeting to discuss cyber security solutions,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-06-04,Advanced Biofuel Solutions Virtual Visit ,A virtual tour of a biofuel production facility,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-06-04,Campaign for Better Transport; Which?; Sustrans; Transport Focus; MoneySavingExpert; Northern Ireland Consumer Council,To discuss transport consumer issues relating to transport caused by COVID-19,,,,,,,,,,,,,,,,,,,,,,
Rachel Maclean ,2020-06-09,McLaren Automotive Ltd ,Introductort meeting on the 203x consultation,,,,,,,,,,,,,,,,,,,,,,
