Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,
Sarah Sharples,07/11/2023,1,"Uttoxeter, UK",Site visit: JCB ,Rail,Standard,Nil Return,Nil Return,25.8,Nil Return,
Sarah Sharples,13/11/2023,1,"London, UK",Conference attendance:Building a Green Future Advisory Board & Safety Systems Roundtable,Rail,Standard,Nil Return,Nil Return,175.5,Nil Return,
Sarah Sharples,14/11/2023,1,"London, UK",Site visit: to SMLL/TRL ,Rail,Standard,139,Nil Return,197.5,Nil Return,
Sarah Sharples,15/11/2023,2,"Cardiff, UK",Event: Chief Scientific Adviser Retreat,Rail,Standard,119,Nil Return,253.2,Nil Return,
Sarah Sharples,20/11/2023,1,"Birmingham, UK",EPSRC CDTs,Rail,Standard,Nil Return,Nil Return,35,Nil Return,
Sarah Sharples,20/11/2023,2,"Bristol, UK",EPSRC CDTs,Rail,Standard,Nil Return,Nil Return,147.9,Nil Return,
Sarah Sharples,23/11/2023,1,"Birmingham, UK",Event: Women in Rail,Rail,Standard,Nil Return,Nil Return,3.7,Nil Return,
Sarah Sharples,28/11/2023,1,"Leeds, UK",KPMG/DfT dinner,Rail,Standard,135,Dinner provided by KPMG,135,Nil Return,Rail £1
Sarah Sharples,29/11/2023,1,"London, UK",INTERNAL MEETING: DfT AI Board,Rail,Standard,Nil Return,Nil Return,241.8,Nil Return,
Sarah Sharples,05/12/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,64.7,Nil Return,
Sarah Sharples,07/12/2023,1,"London, UK",INTERNAL MEETING: Ministerial briefing,Rail,Standard,Nil Return,Nil Return,200.5,Nil Return,
Sarah Sharples,12/12/2023,1,"London, UK",INTERNAL MEETING: Ministerial briefing,Rail,Standard,Nil Return,Nil Return,208.5,Nil Return,
Sarah Sharples,14/12/2023,1,"London, UK","Events: Artificial Intelligence for Decarbonisation’s Virtual Centre of Excellence Launch and Engineering Policy Centre Committee, Royal Academy of Engineering",Rail,Standard,Nil Return,Nil Return,208.5,Nil Return,
Sarah Sharples,19/12/2023,2,"London, UK","Meetings & event: Ministerial meeting with TechUK, ",Rail,Standard,Nil Return,Nil Return,183.2,Nil Return,
Simon Smith,03/10/2023,2,"Vienna, Austria ",Conference - World Passenger Festival,Air Travel,Economy,193.88,Nil Return,529.06,Nil Return,
Simon Smith,03/10/2023,2,"London, UK",Travel to/from Heathow,Rail,Standard,Nil Return,Nil Return,26.6,Nil Return,
Simon Smith,12/10/2023,1,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,94,Nil Return,
Simon Smith,05/12/2023,1,"Leeds, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,156.8,Nil Return,
Simon Smith,26/10/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Simon Smith,06/12/2023,1,"London, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Simon Smith,06/12/2023,1,"Leeds, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,5,Nil Return,Cancellation Fee
Stephen J Fidler,17/10/2023,3,"Birmingham, UK",UK Roads Leadership Group & Highways UK Conference,"Rail, Underground",Standard,195.38,Nil Return,327.58,Nil Return,
Stephen J Fidler,07/11/2023,1,"Leicester, UK",Quality Bus: Supporting Generation Bus,Rail,Standard,Nil Return,Nil Return,74.1,Nil Return,
Stephen J Fidler,15/11/2023,2,"Birmingham, UK",Multiple workplace - Birmingham office,Rail,Standard,83.98,Nil Return,224.38,Nil Return,
Susanna May,14/11/2023,1,"Leeds, UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,205.8,Nil Return,
Thomas Wechsler,15/10/2023,4,"Birmingham, UK",INTERNAL MEETING,Rail,Standard,354.44,Nil Return,462.44,Nil Return,
Thomas Wechsler,23/10/2023,1,"Gatwick, UK",MEETING WITH EXTERNAL REGULATOR,Rail,Standard,Nil Return,Nil Return,8.4,Nil Return,
Thomas Wechsler,31/10/2023,6,"Leeds, UK",INTERNAL MEETING,Rail,Standard,304.45,Nil Return,464.85,Nil Return,
Tom Hadley,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Tirth Benning,17/10/2023,2,"Birmingham, UK",TEAM MEETING,Rail,Standard,200.08,Nil Return,388.88,Nil Return,
Tirth Benning,31/10/2023,2,"Leeds, UK",INTERNAL MEETING,Rail,Standard,93,Nil Return,370.4,Nil Return,
Tiwalola Fadina,10/10/2023,1,"Birmingham, UK",AWAY DAY,Rail,Standard,Nil Return,Nil Return,102,Nil Return,
Tiwalola Fadina,20/11/2023,1,"Birmingham, UK",ELEVATE TRAINING,Rail,Standard,Nil Return,Nil Return,82,Nil Return,
Tiwalola Fadina,12/12/2023,1,"Birmingham, UK",ELEVATE TRAINING,Rail,Standard,Nil Return,Nil Return,118,Nil Return,
Wendy Fielder,16/10/2023,2,"Birmingham, UK",ATTENDING TRAINING,Rail,Standard,70.2,Nil Return,176.4,Nil Return,
