ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
2021-01-20,China,China,Southampton,230910,other POAO,"Dog or cat food, put up for retail sale",Ungulates,881.4,670.42,225,ambient,AnimalFeedingstuff,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-20,Thailand,Thailand,Felixstowe,19022091,"Preparations of cereals, flour, starch or milk",Cooked,N/A,4468.36,3966,661,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-21,United States,United States,Southampton,3038115,Fish & fish products,Piked dogfish (Squalus acanthias) and catsharks (Scyliorhinus spp.),Squalus acanthias,19254.55,18046.7,1421,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-21,United States,United States,Southampton,3038115,Fish & fish products,Piked dogfish (Squalus acanthias) and catsharks (Scyliorhinus spp.),Squalus acanthias,19254.55,18046.7,1421,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-21,China,China,Grimsby,3047200,Fish & fish products,Haddock (Melanogrammus aeglefinus),Gadus (Melanogrammus) aeglefinus,18428,13379.94,3960,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-21,China,China,Grimsby,3047190,Fish & fish products,Other,Gadus morhua,4871,3514.68,1111,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-22,Burma,Burma,Felixstowe,3032500,Fish & fish products,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Cirrhinus cirrhosus,25206,24082,1124,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-22,Burma,Burma,Felixstowe,3032500,Fish & fish products,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Labeo rohita,25206,24082,1124,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-22,Burma,Burma,Felixstowe,3048910,Fish & fish products,Freshwater fish,Sperata aor,25206,24082,1124,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-22,Burma,Burma,Felixstowe,3048910,Fish & fish products,Freshwater fish,Wallago attu,25206,24082,1124,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
