Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour;
Headcount","Non-payroll staff;
Total Contingent labour;
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs
2023,December,Department for Education,Ministerial Department,Department for Education,77,71.3,690,666.2,"3,354","3,241.70","2,806","2,701.70",241,228.8,8,7.8,"7,176","6,917",64,64,120,109.33,0,0,184,173,,"7,360","7,091","£26,991,943.47","£327,955.10","£250,532.21","£72,659.53","£7,517,012.32","£3,247,839.15","£38,407,941.78","£2,109,652.52","£1,412,869.47","£3,522,521.99","£41,930,463.77"
2023,December,Education & Skills Funding Agency ,Executive Agency,Department for Education,2,1.7,39,37,456,439.3,209,203.4,18,17.9,0,0,724,699,0,0,1,1,0,0,1,1,,725,700,"£2,486,529.29","£31,056.75","£16,250.00",£0.00,"£690,300.36","£292,859.51","£3,516,995.91","£143,081.57","£62,276.62","£205,358.19","£3,722,354.10"
2023,December,Teaching Regulation Authority,Executive Agency,Department for Education,7,7,37,35,44,41.9,8,7.8,1,1,0,0,97,93,7,7,0,0,0,0,7,7,0,104,100,"£276,890.99","£3,453.26",£175.68,"£6,796.40","£69,853.67","£28,702.96","£385,872.96","£20,681.78",£0.00,"£20,681.78","£406,554.74"
2023,December,Standards and Testing Agency,Executive Agency,Department for Education,0,0,19,18.6,78,73.7,32,30.7,4,4,0,0,133,127,0,0,0,0,0,0,0,0,0,133,127,"£462,471.43","£2,044.77","£7,250.00",£669.74,"£126,615.52","£54,902.84","£653,954.30",£0.00,£0.00,£0.00,"£653,954.30"
2023,December,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,2,2,16,15.8,9,8.7,3,3,0,0,31,31,0,0,0,0,0,0,0,0,0,31,31,"£131,623.89",£296.64,£0.00,£0.00,"£33,797.22","£14,907.85","£180,625.60",£0.00,£0.00,£0.00,"£180,625.60"
2023,December,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,53,48.3,386,379.3,309,304.9,30,29.5,5,5,1,0.2,784,767,17,17,0,0,0,0,17,17,0,801,784,"£2,793,532.90","£211,935.01",£0.00,"£23,326.59","£203,821.74","£317,668.93","£3,550,285.17","£195,155.28",-£110.00,"£195,045.28","£3,745,330.45"
2023,December,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,12,12,38,37.4,41,39.1,5,5,1,1,0,0,97,95,0,0,1,0.1,3,0.3,4,0,4,101,95,"£403,510.55","£49,012.20",£0.00,£0.00,"£56,437.00","£49,876.41","£558,836.16",£0.00,"£2,875.00","£2,875.00","£561,711.16"
2023,December,Office for Students,Executive Non-Departmental Public Body,Department for Education,16,15.6,14,14,229,215.1,199,184.8,21,20.8,0,0,479,450,11,11,5,5,0,0,16,16,0,495,466,"£1,828,867.00","£36,612.00",£204.00,£476.00,"£500,289.00","£201,009.00","£2,567,457.00","-£39,730.00",£0.00,"-£39,730.00","£2,527,727.00"
2023,December,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"1,630","1,527.70",405,392.1,956,932.2,335,329.1,44,43.6,0,0,"3,370","3,225",2,2,3,3,0,0,5,5,0,"3,375","3,230","£8,253,396.32","£133,178.08","£13,636.93","£117,335.92","£1,839,411.81","£815,658.07","£11,172,617.13","£35,645.67",£0.00,"£35,645.67","£11,208,262.80"
2023,December,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,7,7,10,10,123,121.1,176,171.5,16,15.2,0,0,332,325,0,0,0,0,4,4,4,4,0,336,329,"£1,357,830.07",£0.00,£0.00,£0.00,"£385,646.22","£166,465.84","£1,909,942.13","£37,670.88",£0.00,"£37,670.88","£1,947,613.01"
2023,December,LocatEd,Executive Non-Departmental Public Body,Department for Education,0,0,0,0,0,0,0,0,1,0.9,54,53.2,55,54,0,0,0,0,0,0,0,0,0,55,54,"£317,978.14",£0.00,£0.00,£0.00,"£17,072.06","£36,559.67","£371,609.87",£0.00,£0.00,£0.00,"£371,609.87"
