Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2561,Electricity,11/03/2021,230080,371.49,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2561,Electricity,11/03/2021,231535,262.55,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Holding Accounts,9446,Community Safety Partnership,31/03/2021,231950,19082.47,Holding Accounts,Hart District Council,14520
Rushmoor Borough Council,Community,6567,Contract Costs,18/03/2021,232113,32746,Capital,Facultatieve Technologies Ltd,5289
Rushmoor Borough Council,Democratic Services,1302,Trans Costs IER,04/03/2021,232226,495,Revenue,Codebase Software Ltd,14699
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,04/03/2021,232226,819,Revenue,Codebase Software Ltd,14699
Rushmoor Borough Council,Legal,1208,Devereux House,31/03/2021,232246,1116.39,Revenue,Eon,10090
Rushmoor Borough Council,Community,2547,Alcohol Awareness Programme,04/03/2021,232274,341.63,Revenue,Niton Equipment Ltd,5208
Rushmoor Borough Council,Chief Executive,1100,Consultancy  Regen Co,04/03/2021,232280,2700,Revenue,East Hampshire District Council,323
Rushmoor Borough Council,Legal,1202,Counsels Fees,25/03/2021,232337,1400.4,Revenue,Bevan Brittan Llp,8417
Rushmoor Borough Council,Information Technology,3302,Application Software,31/03/2021,232403,39493.22,Revenue,Idox Software Ltd,661
Rushmoor Borough Council,Information Technology,7306,Contract Costs,31/03/2021,232403,3641.4,Capital,Idox Software Ltd,661
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,11/03/2021,232415,1680,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2551,Routine Grounds Maintenance,04/03/2021,232450,277.68,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Routine Grounds Maintenance,04/03/2021,232451,408.24,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Routine Grounds Maintenance,04/03/2021,232452,277.68,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Democratic Services,1302,Computer Equipment and Software,04/03/2021,232464,4189.03,Revenue,Civica Uk Limited,6664
Rushmoor Borough Council,Democratic Services,1302,Computer Equipment and Software,04/03/2021,232464,6908.5,Revenue,Civica Uk Limited,6664
Rushmoor Borough Council,Community,2526,Rents,11/03/2021,232480,3174,Revenue,Savills (Uk) Ltd,12411
Rushmoor Borough Council,Community,2560,Payment to Contractor,11/03/2021,232491,24623.43,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,04/03/2021,232505,357.28,Revenue,Northgate Public Services (Uk) Ltd,9422
Rushmoor Borough Council,Environmental Health and Housing,2219,Comf FLC Test Centre,04/03/2021,232521,1740,Revenue,Go Access Distribution,16226
Rushmoor Borough Council,Democratic Services,1310,Conferences and Seminars,04/03/2021,232522,2250,Revenue,Leach Consulting & Associates Ltd,14612
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/03/2021,232525,2750,Revenue,Annies Guest House,10688
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,31/03/2021,232529,11005,Revenue,Rna Estates Ltd T/A Airport Lodge,10121
Rushmoor Borough Council,Financial Services,3401,Subscriptions,04/03/2021,232531,4655,Revenue,Cipfa Business Limited,10642
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Add Organisational Resrce,04/03/2021,232546,750,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Add Organisational Resrce,04/03/2021,232547,2375,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Contract Staff,04/03/2021,232548,720,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Contract Staff,04/03/2021,232548,720,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Add Organisational Resrce,04/03/2021,232549,335.4,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,04/03/2021,232550,432,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,04/03/2021,232551,324,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Legal,1202,Counsels Fees,25/03/2021,232553,717.5,Revenue,Browne Jacobson Llp,15516
Rushmoor Borough Council,Community,2537,Operational Equipment,04/03/2021,232555,317.77,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Community,2538,Operational Equipment,04/03/2021,232555,421.24,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/03/2021,232556,538.75,Revenue,The Surrey & Hants Tree Company Ltd,16041
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/03/2021,232557,682.2,Revenue,The Surrey & Hants Tree Company Ltd,16041
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/03/2021,232558,676.75,Revenue,The Surrey & Hants Tree Company Ltd,16041
Rushmoor Borough Council,Community,2554,Integra Fee,04/03/2021,232560,7040.07,Revenue,Hampshire County Council,1206
Rushmoor Borough Council,Community,2517,Playground Apparatus,04/03/2021,232561,1005.91,Revenue,Hags-Smp Ltd,4499
Rushmoor Borough Council,Community,2549,Materials,04/03/2021,232565,341,Revenue,Chambers Waste Management Plc,217
Rushmoor Borough Council,Chief Executive,1100,Consultancy,11/03/2021,232566,650,Revenue,Perega,15555
Rushmoor Borough Council,Information Technology,3302,Application Software,04/03/2021,232569,15946.37,Revenue,Capita Secure Information Solutions Ltd,31
Rushmoor Borough Council,Holding Accounts,9421,Covid19 Costs,04/03/2021,232572,390,Holding Accounts,Andy Linke,14293
Rushmoor Borough Council,Legal,1213,Responsive Repairs and Maintenance,11/03/2021,232575,2100,Revenue,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Customer Services,3804,Contract Staff,04/03/2021,232576,1110,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Chief Executive,1100,Consultancy,11/03/2021,232581,265,Revenue,Horizon Imaging Ltd,16199
Rushmoor Borough Council,Legal,1206,Energy Efficiency,04/03/2021,232583,421.37,Revenue,Hardcastle Electrical Limited,8301
Rushmoor Borough Council,Financial Services,3402,Consultancy,04/03/2021,232585,10000,Revenue,Grant Thornton Uk Llp,13329
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,04/03/2021,232588,5970.88,Revenue,British Telecommunications Plc,177
Rushmoor Borough Council,Community,2513,Covid 19 LRC Support,11/03/2021,232590,4615,Revenue,Rushmoor Citizens Advice Bureaux,1780
Rushmoor Borough Council,Legal,1230,General Repairs and Maintenance,04/03/2021,232592,3763,Revenue,Tuffin Ferraby Taylor Llp,15782
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,04/03/2021,232593,2719.06,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Community,2537,Security Services,04/03/2021,232594,1681.43,Revenue,Contract Security Services Ltd,14
Rushmoor Borough Council,Community,2517,Playground Apparatus,11/03/2021,232596,1053,Revenue,Hags-Smp Ltd,4499
Rushmoor Borough Council,Community,2517,Playground Apparatus,11/03/2021,232597,1755,Revenue,Hags-Smp Ltd,4499
Rushmoor Borough Council,Strategy and Communiations,1416,Employer Pension Contributions,04/03/2021,232598,21302.85,Revenue,Hampshire County Council,1206
Rushmoor Borough Council,Legal,1209,Consultancy,04/03/2021,232599,1840,Revenue,Bpg Ltd,15485
Rushmoor Borough Council,Legal,1231,Service Charges,11/03/2021,232602,1325.52,Revenue,Hurst Warne Commercial Property Mgmt,15076
Rushmoor Borough Council,Legal,1231,Service Charges,04/03/2021,232603,832.61,Revenue,Hurst Warne Commercial Property Mgmt,15076
Rushmoor Borough Council,Legal,1231,Service Charges,11/03/2021,232604,2158.13,Revenue,Hurst Warne Commercial Property Mgmt,15076
Rushmoor Borough Council,Legal,1237,Service Charges,04/03/2021,232605,765.12,Revenue,Hurst Warne Commercial Property Mgmt,15076
Rushmoor Borough Council,Legal,1237,Service Charges,04/03/2021,232606,702.62,Revenue,Hurst Warne Commercial Property Mgmt,15076
Rushmoor Borough Council,Planning,6608,Contract Costs,18/03/2021,232617,516,Capital,P A Gibbs Ltd,1246
Rushmoor Borough Council,Planning,6608,Contract Costs,18/03/2021,232617,14200,Capital,P A Gibbs Ltd,1246
Rushmoor Borough Council,Planning,6608,Contract Costs,11/03/2021,232618,13948,Capital,P A Gibbs Ltd,1246
Rushmoor Borough Council,Planning,6608,Contract Costs,31/03/2021,232621,14250,Capital,P A Gibbs Ltd,1246
