Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Programme Mgr,14/10/2021,235489,6500,Revenue,Bundy Consulting Services Ltd,15440
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,14/10/2021,235489,3500,Revenue,Bundy Consulting Services Ltd,15440
Rushmoor Borough Council,Planning,6621,Contract Costs,07/10/2021,235732,1150,Capital,Arcus Consulting Limited,16491
Rushmoor Borough Council,Community,2518,Panto Expenditure,14/10/2021,235855,3500,Revenue,Scenic Pantomimes Limited,12065
Rushmoor Borough Council,Environmental Health and Housing,2402,Temporary Staff,07/10/2021,235947,1110,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Environmental Health and Housing,2246,Property Portfolio Review,14/10/2021,235963,1000,Revenue,Bundy Consulting Services Ltd,15440
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Programme Mgr,14/10/2021,235963,2000,Revenue,Bundy Consulting Services Ltd,15440
Rushmoor Borough Council,Community,2518,Refreshment Purchases,14/10/2021,235964,961.39,Revenue,H H Clark (Caterers) Ltd,1393
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,07/10/2021,235983,6000,Revenue,Andy Linke,14293
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,07/10/2021,235985,420,Revenue,Andy Linke,14293
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,14/10/2021,236056,13400,Revenue,Solace In Business Ltd,14403
Rushmoor Borough Council,Environmental Health and Housing,2402,Temporary Staff,07/10/2021,236087,1110,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Community,2543,Aldershot Promotions,07/10/2021,236098,500,Revenue,Shaun Jackson Photography,16400
Rushmoor Borough Council,Community,6518,Contract Costs,07/10/2021,236107,9750,Capital,Ese World Limited,697
Rushmoor Borough Council,Financial Services,3401,Subscriptions,07/10/2021,236108,550,Revenue,Cipfa Business Limited,10642
Rushmoor Borough Council,Legal,1248,General Repairs and Maintenance,07/10/2021,236109,494.5,Revenue,J K  Build Ltd,1239
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,07/10/2021,236110,3482.5,Revenue,J K  Build Ltd,1239
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,07/10/2021,236113,1364,Revenue,Austin Fraser Ltd,9925
Rushmoor Borough Council,Legal,1210,Contract Staff,07/10/2021,236115,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Contract Staff,07/10/2021,236115,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,07/10/2021,236129,1320,Revenue,Ken Crookes T/A The Office Chair Man,15917
Rushmoor Borough Council,Planning,6620,Contract Costs,07/10/2021,236131,13416,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,07/10/2021,236132,1285,Revenue,Bjf Connections Ltd,15958
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,07/10/2021,236133,1285,Revenue,Bjf Connections Ltd,15958
Rushmoor Borough Council,Planning,6620,Contract Costs,07/10/2021,236134,20361.6,Capital,Straight Manufacturing Ltd,10472
Rushmoor Borough Council,Community,2566,Decommissioning Costs,07/10/2021,236136,2515,Revenue,Bjf Connections Ltd,15958
Rushmoor Borough Council,Community,2554,Publicity and Promotions,07/10/2021,236137,1661,Revenue,Crown Litho,12349
Rushmoor Borough Council,Planning,6621,Contract Costs,21/10/2021,236138,2300,Capital,Arcus Consulting Limited,16491
Rushmoor Borough Council,Strategy and Communiations,1411,Council Magazine,07/10/2021,236139,3189,Revenue,Precision Colour Printing Ltd,14879
Rushmoor Borough Council,Community,2556,Litter Bins,14/10/2021,236140,11973,Revenue,Broxap Ltd,3859
Rushmoor Borough Council,Information Technology,3304,Network Software,07/10/2021,236141,2414.26,Revenue,Phoenix Software,724
Rushmoor Borough Council,Democratic Services,1327,Operational Equipment,07/10/2021,236142,2500,Revenue,Q-Matic Ab Ltd T/A Qmatic,15772
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,07/10/2021,236145,412.27,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,07/10/2021,236146,1460.3,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Base,07/10/2021,236146,13813.63,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,07/10/2021,236146,4219.76,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Prospect Estate Base,07/10/2021,236146,2512.92,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,07/10/2021,236146,677.25,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance,07/10/2021,236146,2391.68,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,07/10/2021,236146,635,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,07/10/2021,236146,32138.92,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Routine Playground Inspections,07/10/2021,236146,2131.64,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Anciliary Costs,07/10/2021,236146,264.46,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Anciliary Costs,07/10/2021,236146,677.72,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,07/10/2021,236146,9866.84,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Grounds Maintenance,07/10/2021,236146,979.06,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Amenity Base,07/10/2021,236146,6997.43,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,07/10/2021,236147,2100,Revenue,Virgin Media Payments,9920
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,07/10/2021,236147,22999.22,Revenue,Virgin Media Payments,9920
Rushmoor Borough Council,Strategy and Communiations,1411,Council Magazine,07/10/2021,236150,3526.52,Revenue,Royal Mail,821
Rushmoor Borough Council,Information Technology,3305,Electricity,07/10/2021,236152,5507.88,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,6567,Contract Costs,07/10/2021,236155,1250,Capital,Facultatieve Technologies Ltd,5289
Rushmoor Borough Council,Strategy and Communiations,1415,Subscriptions,07/10/2021,236160,380,Revenue,Cipd,498
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,07/10/2021,236161,1219.84,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Community,2561,General Repairs and Maintenance,07/10/2021,236162,520,Revenue,Secure Site (Uk) Ltd,14068
Rushmoor Borough Council,Legal,1210,Contract Staff,07/10/2021,236166,559,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Consultancy,07/10/2021,236168,29000,Revenue,Lambert Smith Hampton Investment Managem,15431
Rushmoor Borough Council,Planning,2611,Admin Equipment,14/10/2021,236169,364.14,Revenue,Daisy Corporate Services Trading Ltd,9349
Rushmoor Borough Council,Legal,1213,Responsive Repairs and Maintenance,07/10/2021,236170,5080,Revenue,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Planning,6620,Contract Costs,07/10/2021,236171,20361.6,Capital,Straight Manufacturing Ltd,10472
Rushmoor Borough Council,Community,2538,Metric Machine Maintenance,14/10/2021,236173,271.6,Revenue,Metric Group Ltd,4436
Rushmoor Borough Council,Community,6567,Contract Costs,07/10/2021,236174,1250,Capital,Facultatieve Technologies Ltd,5289
Rushmoor Borough Council,Community,2551,Benches,07/10/2021,236176,7504,Revenue,Streetmaster (South Wales) Ltd,2351
Rushmoor Borough Council,Community,2517,Tree Maintenance,07/10/2021,236178,327.6,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236179,3828,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236180,2970,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,21/10/2021,236181,11154,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2246,Training Expenses,07/10/2021,236182,302.5,Revenue,Cctv Training.Com Ltd,9604
