Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip ,Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,,,,,,,,,,,,,,,
Gareth Rhys Williams,26/02/2019,1,"Leeds, UK",Conference,Rail / Taxi,Standard,Y,Nil Return,£387.19,Nil Return,,,,,,,,,,,,,,,
Gareth Rhys Williams,19/03/2019,1,"Sheffield, UK",Conference,Rail / Taxi,Standard,Nil Return,Nil Return,£203.50,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,02/01/2019,2,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£621.43,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,06/01/2019,3,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£845.97,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,10/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£10.34,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,17/01/2019,1,"London, UK",Operational Activity,Taxi,Nil return,Nil Return,Nil Return,£17.20,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,22/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£10.67,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,29/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£38.07,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,30/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£9.50,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,04/02/2019,2,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£864.14,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,07/02/2019,1,"London, UK",Operational Activity,Taxi,Nil return,Nil Return,Nil Return,£9.63,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,11/02/2019,3,Brussels / Berlin,External Meeting,Eurostar / Flight ,Economy,Y,Nil Return,"£1,491.84",Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,15/02/2019,1,"Brussels, Belgium",Operational Activity,Taxi,Nil return,Nil Return,Nil Return,£21.39,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,18/02/2019,2,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£744.88,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,20/02/2019,2,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£665.25,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,26/02/2019,2,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£924.75,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,03/03/2019,3,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£740.29,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,07/03/2019,4,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£976.73,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,12/03/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£37.27,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,13/03/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£21.12,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,19/03/2019,2,"Brussels, Belgium",External Meeting,Eurostar,Business,Y,Nil Return,£785.25,Nil Return,,,,,,,,,,,,,,,
Oliver Robbins,21/03/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£9.69,Nil Return,,,,,,,,,,,,,,,
Mark Roberts,22/01/2019,2,"Jersey, UK",Operating Standards Workshop ,Taxi / Parking,Nil Return,Nil Return,Nil Return,£73.00,Nil Return,,,,,,,,,,,,,,,
Mark Roberts,31/01/2019,1,"London, UK",Commercial Fast Stream Training,Taxi,Nil Return,Nil Return,Nil Return,£6.50,Nil Return,,,,,,,,,,,,,,,
Mark Roberts,07/02/2019,1,"London, UK","Visit to MOD, Abbeywood",Parking,Nil Return,Nil Return,Nil Return,£8.40,Nil Return,,,,,,,,,,,,,,,
Mark Roberts,26/02/2019,2,"Leeds, UK",Commercial Conference,Car,Nil Return,Nil Return,PIEA,£220.80,Nil Return,,,,,,,,,,,,,,,
Mark Roberts,21/03/2019,1,"Shriveham, UK",Commercial Fast Stream Training ,Car,Nil Return,Nil Return,Nil Return,£35.10,Nil Return,,,,,,,,,,,,,,,
Jacqueline Rock,23/01/2019,1,"Glasgow, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£27.00,Nil Return,,,,,,,,,,,,,,,
Jacqueline Rock,30/01/2019,1,"London, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£15.75,Nil Return,,,,,,,,,,,,,,,
Jacqueline Rock,04/02/2019,1,"Liverpool, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£9.00,Nil Return,,,,,,,,,,,,,,,
Jacqueline Rock,11/02/2019,1,"Milton Keynes, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£15.00,Nil Return,,,,,,,,,,,,,,,
Jacqueline Rock,13/02/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£38.40,Nil Return,,,,,,,,,,,,,,,
Jacqueline Rock,21/02/2019,1,"London, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£18.00,Nil Return,,,,,,,,,,,,,,,
Jacqueline Rock,27/02/2019,1,"Leeds, UK",GCF Leadership Conference,Car / Parking,Nil Return,Nil Return,Nil Return,£74.02,Nil Return,,,,,,,,,,,,,,,
Sam Rowbury,10/01/2019,1,"London, UK",Operarional Activity,Tube,Nil Return,Nil Return,Nil Return,£36.00,Nil Return,,,,,,,,,,,,,,,
Sam Rowbury,14/01/2019,3,"London, UK",Operational Activity,Tube,Nil Return,Y,Nil Return,£26.14,Nil Return,,,,,,,,,,,,,,,
Sam Rowbury,21/01/2019,2,"London, UK",Operational Activity,Tube,Nil Return,Y,Nil Return,£46.89,Nil Return,,,,,,,,,,,,,,,
Sharon Sawers,30/01/2019,2,"Belfast, N Ireland",Operational Activity,Taxi,Nil Return,Y,Nil Return,£59.94,Nil Return,,,,,,,,,,,,,,,
Sharon Sawers,26/02/2019,1,"Portsmouth, UK",Conference,Rail,Standard,Nil Return,Nil Return,£78.90,Nil Return,,,,,,,,,,,,,,,
Mark Sedwill,Jan-Mar 2019,90,"Various, UK",Operational Activity,Car,,,,Nil Return,"£21,987.20",,,,,,,,,,,,,,,
Mark Sedwill,Jan-Mar 2019,90,Various locations,Travel to meetings: one by rail and one by air,Rail / Flight,,,,£897.54,Nil Return,,,,,,,,,,,,,,,
David Skinner,08/01/2019,2,"Liverpool, UK",Senior Management Meeting ,Rail,Standard,Y,Nil Return,£110.78,Nil Return,,,,,,,,,,,,,,,
David Skinner,14/02/2019,1,"Norwich, UK",Interviews for Business Manager,Car,Mil Return,Y,Nil Return,£33.73,Nil Return,,,,,,,,,,,,,,,
David Skinner,19/02/2019,2,"Liverpool, UK",Meeeting with DWP,Rail,Standard,Y,PIEA,£269.60,Nil Return,,,,,,,,,,,,,,,
David Skinner,26/02/2019,2,"Leeds, UK",Annual GCO Leadership Conference,Rail,Standard,Y,PIEA,£283.63,Nil Return,,,,,,,,,,,,,,,
David Skinner,19/03/2019,2,"Liverpool, UK",Regional Leadership Meeting,Rail / Taxi,Standard,Y,PIEA,£180.95,Nil Return,,,,,,,,,,,,,,,
Lucy Smith,07/02/2019,1,"Edinburgh, UK",Operational Activity,Flight,Economy,Nil Return,Nil Return,£323.56,Nil Return,,,,,,,,,,,,,,,
Lucy Smith,14/02/2019,1,"Edinburgh, UK",Operational Activity,Flight,Economy,Y,Nil Return,£172.54,Nil Return,,,,,,,,,,,,,,,
Debra Soper,21/01/2019,1,"Sheffield, UK",External Meeting,Rail,Standard,Y,Nil Return,£183.90,Nil Return,,,,,,,,,,,,,,,
Debra Soper,22/01/2019,1,"Reading, UK",External Meeting,Rail,Standard,Nil Return,Nil Return,£99.55,Nil Return,,,,,,,,,,,,,,,
Debra Soper,29/01/2019,1,"Bristol, UK",External Meeting,Rail,Standard,Y,Nil Return,£421.05,Nil Return,,,,,,,,,,,,,,,
Debra Soper,30/01/2019,1,"Reading, UK",External Meeting,Rail,Standard,Nil Return,Nil Return,£32.30,Nil Return,,,,,,,,,,,,,,,
Debra Soper,05/02/2019,1,"London, UK",My CSP Awards,Taxi,Nil Return,Y,Nil Return,£220.60,Nil Return,,,,,,,,,,,,,,,
Debra Soper,28/02/2019,1,"London, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£257.60,Nil Return,,,,,,,,,,,,,,,
Debra Soper,11/03/2019,3,"Newcastle, UK",External Meeting,Flight / Taxi,Economy,Y,Nil Return,£614.32,Nil Return,,,,,,,,,,,,,,,
Roy Stone,21/01/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£238.00,Nil Return,,,,,,,,,,,,,,,
Roy Stone,28/01/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£466.00,Nil Return,,,,,,,,,,,,,,,
Roy Stone,04/02/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£406.00,Nil Return,,,,,,,,,,,,,,,
Roy Stone,11/02/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£209.00,Nil Return,,,,,,,,,,,,,,,
Roy Stone,18/02/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£418.00,Nil Return,,,,,,,,,,,,,,,
Roy Stone,25/02/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£208.80,Nil Return,,,,,,,,,,,,,,,
Roy Stone,12/03/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£598.00,Nil Return,,,,,,,,,,,,,,,
Roy Stone,18/02/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£405.60,Nil Return,,,,,,,,,,,,,,,
Roy Stone,25/03/2019,1,"London, UK",Government / Parliament Meetings,Nil Return,Nil Return,Y,Nil Return,£417.60,Nil Return,,,,,,,,,,,,,,,
Mervyn Thomas,08/01/2019,1,"Bristol, UK",External Meeting,Rail / Taxi,Standard,Nil Return,Nil Return,£240.50,Nil Return,,,,,,,,,,,,,,,
Mervyn Thomas,06/03/2019,2,"Reading, UK",Event,Rail / Taxi,Standard,Nil Return,PIEA,£115.70,Nil Return,,,,,,,,,,,,,,,
Mervyn Thomas,11/03/2019,2,"Newcastle, UK",Internal Meeting,Rail / Taxi,Standard,Y,Nil Return,£372.60,Nil Return,,,,,,,,,,,,,,,
Mark Thompson,14/01/2019,1,"Swindon, UK",External Meeting,Rail,Standard,Nil Return,Nil Return,£98.50,Nil Return,,,,,,,,,,,,,,,
Simon Tse,14/01/2019,5,"London, UK","Technology Committee, 1:1 with Gareth Rhys Williams and SLT Executive Board",Nil Return,Nil Return,Y,PIEA,£658.00,Nil Return,,,,,,,,,,,,,,,
Simon Tse,21/01/2019,2,"London, UK","CEX Meeting, MOD Steering Board, People Board and CCS Board Meeting",Rail,Standard,Y,PIEA,£446.50,Nil Return,,,,,,,,,,,,,,,
Simon Tse,23/01/2019,1,"Swansea, UK",CCS Board Meeting and Customer Committee,Rail / Taxi,Standard,Nil Return,Nil Return,£218.00,Nil Return,,,,,,,,,,,,,,,
Simon Tse,28/01/2019,3,"London, UK",Audit Review with the Treasury. Commercial Function Leadership Group,Rail,Standard,Y,PIEA,£592.50,Nil Return,,,,,,,,,,,,,,,
Simon Tse,04/02/2019,3,"London, UK","CEX Meeting, MOD Steering Board, ExBo Strategy Session, Commercial Director's Meeting",Rail,Standard,Y,PIEA,£599.35,Nil Return,,,,,,,,,,,,,,,
Simon Tse,07/02/2019,1,"Newport, UK",Introduction with new starters. Catch up with Private Secretary,Car,Nil Return,Y,Nil Return,£50.90,Nil Return,,,,,,,,,,,,,,,
Simon Tse,11/02/2019,3,"Liverpool, UK","Civil Service Leadership Event, Executive Board",Rail,Standard,Y,PIEA,£742.34,Nil Return,,,,,,,,,,,,,,,
Simon Tse,15/02/2019,1,"Liverpool, UK",Work from Home,Car,Nil Return,Nil Return,Nil Return,£26.05,Nil Return,,,,,,,,,,,,,,,
Simon Tse,18/02/2019,4,"London, UK","MOD Steering Board, DG Corporate Induction, Commercial Directors Forum",Rail,Standard,Y,PIEA,£355.99,Nil Return,,,,,,,,,,,,,,,
Simon Tse,22/02/2019,1,"Newport, UK",Meetings in Newport Office,Car,Nil Return,Y,Nil Return,£50.90,Nil Return,,,,,,,,,,,,,,,
Simon Tse,25/02/2019,3,"Leeds, UK",Monthly Commercial Function Leadership meeting and Annual Government GCF Conference,Rail,Standard,Y,PIEA,£628.85,Nil Return,,,,,,,,,,,,,,,
Simon Tse,03/03/2019,2,"Nottingham, UK",Proc Ops Sourcing Event,Rail ,Standard,Y,Nil Return,£294.50,Nil Return,,,,,,,,,,,,,,,
Simon Tse,05/03/2019,2,"Liverpool, UK",SLT Strategy Session,Rail,Standard,Y,Nil Return,£463.60,Nil Return,,,,,,,,,,,,,,,
Simon Tse,07/03/2019,1,"Swansea, UK",Internal Meetings,Rail,Standard,Nil Return,Nil Return,£139.50,Nil Return,,,,,,,,,,,,,,,
Simon Tse,11/03/2019,1,"London, UK","DFE Diagnostic Session, Executive Board and Tech Committee",Rail,Standard,Y,Nil Return,£462.50,Nil Return,,,,,,,,,,,,,,,
Simon Tse,14/03/2019,1,"Swansea, UK","Tech Committee, board pre-brief meeting",Rail,Standard,Nil Return,Nil Return,£70.00,Nil Return,,,,,,,,,,,,,,,
Simon Tse,18/03/2019,1,"London, UK","Audit Committee, CEX Meeting, Customer Committeee and Board Meeting",Rail,Standard,Y,Nil Return,£527.00,Nil Return,,,,,,,,,,,,,,,
Simon Tse,21/03/2019,1,"Swansea, UK",Various meetings in London,Rail,Standard,Nil Return,Nil Return,£139.50,Nil Return,,,,,,,,,,,,,,,
Simon Tse,25/03/2019,1,"London, UK","MHCLG Functional Session, SLT Management Training, SCS Recruitment, Treasury Meeting",Rail,Standard,Nil Return,Nil Return,£276.50,Nil Return,,,,,,,,,,,,,,,
Christian Turner,10/01/2019,1,"London, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£40.50,Nil Return,,,,,,,,,,,,,,,
Christian Turner,06/02/2019,1,"Turkey, Turkey",Operational Activity,Flight / Rail,Economy,Nil Return,Nil Return,£197.90,Nil Return,,,,,,,,,,,,,,,
Christian Turner,13/02/2019,1,"Norwich, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£93.90,Nil Return,,,,,,,,,,,,,,,
Christian Turner,14/03/2019,2,"London, UK",Operational Activity,Rail,Standard,Y,Nil Return,£245.50,Nil Return,,,,,,,,,,,,,,,
Christian Turner,18/03/2019,1,"Riyadh, Saudi Arabia",Operational Activity,Flight / Rail,Business,Nil Return,Nil Return,"£3,574.72",Nil Return,,,,,,,,,,,,,,,
Christian Turner,22/03/2019,1,"Brussels, Belgium",Operational Activity,Eurostar,Business,Nil Return,Nil Return,£287.50,Nil Return,,,,,,,,,,,,,,,
Christian Turner,26/03/2019,1,"Turkey, Turkey",Operational Activity,Flight / Rail,Business,Nil Return,Nil Return,"£2,451.72",Nil Return,,,,,,,,,,,,,,,
Christian Turner,29/03/2019,1,"Pakistan, S Asia",Operational Activity,Flight,Business,Nil Return,Nil Return,"£1,472.30",Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,09/01/2019,2,"London, UK",Category Strategy Design Authority/Supplier Mtgs/Performance Board/1:1s,Rail,Standard,Y,PIEA,£371.15,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,17/01/2019,1,"London, UK",Pillar Directors Meeting,Rail,Standard,Nil Return,Nil Return,£288.30,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,23/01/2019,2,"Leeds, UK",Government Commercial Function ,Rail,Standard,Y,PIEA,£187.38,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,29/01/2019,1,"London, UK",Pilot of GCO Programme for Accredited Senior Commercial Professionals,Rail / Taxi,Standard,Y,PIEA,£361.45,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,31/01/2019,1,"London, UK",Pilot of GCO Programme for Accredited Senior Commercial Professionals,Rail,Standard,Nil Return,Nil Return,£38.40,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,05/02/2019,2,"London, UK",Senior Leadership Strategy Meeting with CEO / Supplier Meetings,Rail / Taxi,Standard,Y,PIEA,£390.80,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,13/02/2019,2,"London, UK",Senior Leadership Meeting with CEO / Government Property Conference,Rail,Standard,Y,PIEA,£390.80,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,19/02/2019,2,"London, UK",DWP Workshop / Wellbeing Confident Leaders Training ,Rail,Standard,Y,PIEA,£333.40,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,21/02/2019,1,"Newport, UK",Diversity Network Meeting,Rail,Standard,Nil Return,Nil Return,£76.50,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,26/02/2019,3,"Leeds, UK",Annual Government Commercial Function (GCF) Leadership Conference ,Car,Nil Return,Y,PIEA,£173.50,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,04/03/2019,2,"London, UK",Senior Leadership Strategy Meeting with CEO,Rail,Standard,Y,Nil Return,£449.65,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,07/03/2019,1,"London, UK",Business Performance Board,Rail,Standard,Nil Return,Nil Return,£186.65,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,13/03/2019,2,"London, UK",Executive Board with CEO,Rail,Standard,Nil Return,Nil Return,£397.50,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,19/03/2019,1,"London, UK",Supplier Meetings / Pillar Directors Meeting,Rail,Standard,Nil Return,Nil Return,£271.50,Nil Return,,,,,,,,,,,,,,,
Samantha Ulyatt,26/03/2019,2,"London, UK",Senior Leadership Training with CEO / Speaker at HO Modern Slavery Unit,Rail,Standard,Hotel,Nil Return,£312.65,Nil Return,,,,,,,,,,,,,,,
Matthew Vickerstaff,25/01/2019,1,"Ipswich, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£78.00,Nil Return,,,,,,,,,,,,,,,
Matthew Vickerstaff,30/01/2019,2,"Belfast, N Ireland",Operational Activity,Taxi,Nil Return,Nil Return,PIEA,£40.60,Nil Return,,,,,,,,,,,,,,,
Tracey Waltho,30/01/2019,2,"Belfast, Northern Ireland",Operational Activity,Flight,Economy,Hotel,Nil Return,£153.71,Nil Return,,,,,,,,,,,,,,,
Tracey Waltho,05/02/2019,1,"Danish Embassy, London",Event,Taxi,Nil Return,Nil Return,Nil Return,£12.20,Nil Return,,,,,,,,,,,,,,,
Janet Young,16/01/2019,1,"York, UK",Government Property Profession event,Rail,Standard,Nil Return,Nil Return,£93.55,Nil Return,,,,,,,,,,,,,,,
Janet Young,11/03/2019,5,"Cannes, France",MIPIM conference,Flight / Rail,Economy,Y,Nil Return,"£1,236.22",Nil Return,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
