Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip ,Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,,,,,,,,,,,,,,,
Christopher Ferguson,03/02/2019,3,"London, UK",Operational Activity,Rail / Taxi,Standard,Y,Nil Return,£560.25,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,11/03/2019,1,"London, UK",Training,Rail / Flight,Economy,Y,Nil Return,£524.94,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,13/02/2019,2,"Edinburgh, UK",Operational Activity,Rail / Taxi,Standard,Y,Nil Return,£207.12,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,17/02/2019,1,"Newcastle, UK",Internal Meeting,Rail / Taxi,Standard,Nil Return,Nil Return,£103.56,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,18/02/2019,1,"Edinburgh, UK",Operational Activity,Rail,Standard,Y,Nil Return,£315.86,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,21/02/2019,1,"Leeds, UK",Internal Meeting,Rail,Standard,Nil Return,Nil Return,£224.50,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,22/02/2019,1,"Edinburgh, UK",Internal Meeting,Rail,Standard,Nil Return,Nil Return,£115.50,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,25/02/2019,2,"London, UK",Internal Meeting,Flight / Taxi,Economy,Nil Return,Nil Return,£386.39,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,04/03/2019,1,"London, UK",Operational Activity,Rail,Standard,Y,Nil Return,£513.38,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,07/03/2019,1,"Edinburgh, UK",Operational Activity,Rail / Taxi,Standard,Nil Return,Nil Return,£188.50,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,11/03/2019,1,"London, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£288.00,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,13/03/2019,1,"London, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£128.00,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,19/03/2019,1,"London, UK",Operational Activity,Rail,Standard,Y,Nil Return,£365.50,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,21/03/2019,1,"Edinburgh, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£346.50,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,25/03/2019,2,"London, UK",Operational Activity,Flight / Taxi,Economy,Y,Nil Return,£447.17,Nil Return,,,,,,,,,,,,,,,
Christopher Ferguson,27/03/2019,1,"London, UK",Professional Fees,Nil Return,Nil Return,Nil Return,Nil Return,£390.00,Nil Return,,,,,,,,,,,,,,,
Andrew Forzani,29/01/2019,3,"Washington, USA",External Meeting,Nil Return,Nil Return,Y,Nil Return,£579.98,Nil Return,,,,,,,,,,,,,,,
Elizabeth Gardner,30/01/2019,2,"Belfast, N Ireland",ExCo Meeting,Taxi,Nil Return,Y,Nil Return,£20.00,Nil Return,,,,,,,,,,,,,,,
Elizabeth Gardner,20/02/2019,3,"Edinburgh, UK",Conference,Rail / Flight / Taxi,Economy,Y,Nil Return,£335.44,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,08/01/2019,2,"London, UK",Internal Meeting,Rail,Nil Return,Y,Nil Return,£62.99,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,14/01/2019,1,"London, UK",Directors Away Day,Rail,Nil Return,Y,Nil Return,£38.39,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,23/01/2019,2,"London, UK",Internal Meeting,Rail,Nil Return,Y,Nil Return,£42.74,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,29/01/2019,1,"London, UK",Monthly Commercial Meeting. Workshop,Rail,Nil Return,Y,Nil Return,£56.64,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,05/02/2019,1,"London, UK",CBI Meeting,Rail,Nil Return,Y,Nil Return,£34.10,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,12/02/2019,2,"London, UK",Public Services Forum,Rail,Nil Return,Y,Nil Return,£46.87,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,18/02/2019,3,"London, UK",Internal Meeting,Rail,Nil Return,Y,Nil Return,£69.40,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,21/02/2019,1,"Lydney, UK",Professional Fees - ACCA,Nil Return,Nil Return,Nil Return,Nil Return,£245.00,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,26/02/2019,2,"Leeds, UK",GCF Conference,Rail,Nil Return,Y,Nil Return,£41.30,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,05/03/2019,1,"Lydney, UK",Internal Meetings,Rail,Nil Return,Y,Nil Return,£31.19,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,12/03/2019,3,"London, UK",Programme Review Board,Rail,Nil Return,Y,Nil Return,£61.08,Nil Return,,,,,,,,,,,,,,,
Clare Gibbs,19/03/2019,2,"London, UK",Internal Meetings,Rail,Nil Return,Y,Nil Return,£35.84,Nil Return,,,,,,,,,,,,,,,
Sue Gray,21/01/2019,1,"Belfast, N Ireland",Cabinet Office Meeting,Flight / Rail,Standard,Nil Return,Nil Return,£112.12,Nil Return,,,,,,,,,,,,,,,
Sue Gray,21/02/2019,1,"Belfast, N Ireland",Cabinet Office Recruitment Interviews,Flight,Economy,Nil Return,Nil Return,£332.20,Nil Return,,,,,,,,,,,,,,,
Sue Gray,01/03/2019,1,"Belfast, N Ireland",Cabinet Office Recruitment Interviews,Flight,Economy,Nil Return,Nil Return,£105.21,Nil Return,,,,,,,,,,,,,,,
Sue Gray,26/03/2019,1,"Belfast, N Ireland",Cabinet Office Recruitment Interviews,Flight,Economy,Nil Return,Nil Return,£257.26,Nil Return,,,,,,,,,,,,,,,
Katharine Hammond,29/01/2019,1,"Belfast, N Ireland",Visit to Belfast for discussion with counterparts,"Train, Flight and Taxi",Standard,Y,Nil Return,£380.57,Nil Return,,,,,,,,,,,,,,,
Katharine Hammond,06/02/2019,1,"York, UK",Visit to Emergency Planning College,Nil Return,Nil Return,Y,Nil Return,£201.65,Nil Return,,,,,,,,,,,,,,,
John Hatton,08/01/2019,2,"Sheffield, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£31.00,Nll Return,,,,,,,,,,,,,,,
John Hatton,12/02/2019,2,"Leeds, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£27.28,Nil Return,,,,,,,,,,,,,,,
John Hatton,26/02/2019,3,"Leeds, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£51.84,Nil Return,,,,,,,,,,,,,,,
John Hatton,06/03/2019,2,"Nottingham, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£41.61,Nil Return,,,,,,,,,,,,,,,
