1 to 31 DECEMBER 2007,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country of Export,Breed,Sex,Age,,,,,,,,,,,,,
,,,12- 24 Months,24 - 36 Months,36 - 48 Months,48 - 60 Months,60 - 72 Months,Over 72 Months and Over,Total Number of Exports,,,,,,,
, BRITISH FRIESIAN X , F ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
, BRITISH HOLSTEIN , F ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
, CHAROLAIS , F ,0,0,0,0,0,0,0,0,0,0,0,0,2,2
, CHAROLAIS X , F ,0,0,0,0,0,0,0,0,0,0,0,0,2,2
, DEXTER , F ,0,0,0,0,0,0,2,1,2,0,0,4,3,12
, DEXTER , M ,0,1,0,1,0,0,1,0,0,0,0,0,1,4
, DEXTER X , M ,0,1,0,0,0,0,0,0,0,0,0,0,0,1
, FRIESIAN , F ,0,0,0,0,0,0,0,0,0,0,0,0,12,12
, GALLOWAY , F ,0,0,0,0,0,0,0,0,0,0,0,1,0,1
, HEREFORD , F ,0,0,0,0,0,0,0,0,0,1,0,0,0,1
, HEREFORD , M ,0,1,0,0,0,0,0,0,0,0,0,0,0,1
, HEREFORD X , F ,0,0,0,0,0,0,0,0,0,0,0,0,3,3
, HOLSTEIN , F ,0,0,0,0,0,0,0,0,0,2,5,3,3,13
, HOLSTEIN X , F ,0,0,0,0,0,0,0,0,0,0,1,2,0,3
, HOLSTEIN FRIESIAN , F ,0,0,0,0,0,0,0,0,1,3,10,12,38,64
, HOLSTEIN FRIESIAN X , F ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
, IRISH MOILED , F ,0,0,0,0,0,0,0,1,4,4,2,1,3,15
, IRISH MOILED , M ,1,0,0,0,0,0,0,2,0,1,0,0,0,4
, LIMOUSIN , F ,0,0,0,1,0,0,3,0,1,0,3,1,5,14
, LIMOUSIN , M ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
, LIMOUSIN X , F ,0,0,0,0,0,0,0,0,0,1,4,0,15,20
, LUING , F ,0,0,0,0,0,0,0,0,3,0,0,0,0,3
, MEUSE RHINE ISSEL X , F ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
, PARTHENAIS X , F ,0,0,0,0,0,0,0,0,0,0,0,1,0,1
, SALERS X , F ,0,0,0,0,0,0,0,0,0,0,0,1,1,2
, SHORTHORN X , F ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
, SIMMENTAL , F ,0,0,0,0,0,0,0,0,0,0,0,0,6,6
, SIMMENTAL , M ,0,0,0,0,0,0,0,1,0,0,0,0,0,1
, SIMMENTAL X , F ,0,0,0,0,0,0,0,0,0,0,0,2,9,11
, STABILISER X , F ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Italy,BELGIAN BLUE,M,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,BELGIAN BLUE X,F,0,0,0,0,0,0,7,12,0,0,0,0,0,19
,BELGIAN BLUE X,M,0,0,0,0,0,0,8,5,0,0,0,0,0,13
,BLONDE D'AQUITAINE X,F,0,0,0,0,0,0,7,1,0,0,0,0,0,8
,BLONDE D'AQUITAINE X,M,0,0,0,0,0,0,9,0,0,0,0,0,0,9
,LIMOUSIN X,F,0,0,0,0,0,0,0,6,0,0,0,0,0,6
,LIMOUSIN X,M,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Netherlands,AYRSHIRE,M,3,0,0,0,0,0,0,0,0,0,0,0,0,3
,BELGIAN BLUE,M,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,BRITISH FRIESIAN,M,34,31,1,1,20,9,0,0,0,0,0,0,0,96
,BRITISH FRIESIAN X,M,7,6,0,0,9,0,0,0,0,0,0,0,0,22
,BRITISH HOLSTEIN,M,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,BROWN SWISS,M,3,0,0,0,0,0,0,0,0,0,0,0,0,3
,BROWN SWISS X,M,4,1,0,0,0,0,0,0,0,0,0,0,0,5
,DAIRY SHORTHORN X,M,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,HOLSTEIN,M,60,56,1,0,1,2,0,0,0,0,0,0,0,120
,HOLSTEIN X,M,6,6,2,0,0,0,0,0,0,0,0,0,0,14
,HOLSTEIN FRIESIAN,M,381,416,22,5,35,29,2,0,0,0,0,0,0,890
,HOLSTEIN FRIESIAN X,M,22,20,0,0,6,1,0,0,0,0,0,0,0,49
,MEUSE RHINE ISSEL X,M,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,MONTBELIARDE X,M,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,NORWEGIAN RED X,M,0,2,1,0,0,0,0,0,0,0,0,0,0,3
,SHORTHORN,M,1,2,0,0,0,0,0,0,0,0,0,0,0,3
,SHORTHORN X,M,2,1,0,0,0,0,0,0,0,0,0,0,0,3
,SIMMENTAL X,M,0,2,0,0,0,0,0,0,0,0,0,0,0,2
,SWEDISH RED & WHITE,M,2,0,0,0,0,0,0,0,0,0,0,0,0,2
