AppNo,TradingName,Town,County,Country,Activity,RSL,PSL,GHE,RCP,PCP,MIN,PRO,MSM,CLS,WMA,Sheep,BSE,VC,GCP,Mprep,RTE,Fish,Wrap,Dairy,Egg,AuditDate,Outcome,AuditFrequency,NextAuditDue,Q11,Q12,Q13,Q14,Q15,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q217,Q218,Q219,Q220,Q221,Q222,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q39i,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318,Q319,Q320,Q321,Q322,Q323,Q324,Q325,Q326,Q327,Q328,Q329,Q330,Q331,Q332,Q333,Q334,Q335,Q336,Q337,Q338,Q339,Q340,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q410,Q411,Q412,Q413,Q414,Q415,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q61,Q62,Q63,Q64,Q65,Q71,Q72,Q73,Q74,Q75
2538,HBH Foods,Enfield,Greater London,England, CP,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,2021-05-17,Generally Satisfactory,12,2022-05-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Minor,Compliant,Major,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Major,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2539,A B Butchers Limited,Harrow,Greater London,England, CP,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,2021-02-24,Good,24,2023-02-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2541,Burts Catering Butchers Limited,Bexhill On Sea,East Sussex,England, CP,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,2020-09-15,Good,24,2022-09-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Not Applicable,Compliant,Compliant,Compliant,Compliant,Not Applicable,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2542,Norfolk Quail Limited,Fakenham,Norfolk,England,SH CP,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,2020-10-05,Generally Satisfactory,12,2021-10-01,Minor,Compliant,Not Applicable,Not Observed,Not Applicable,Not Observed,Minor,Not Applicable,Minor,Compliant,Not Observed,Compliant,Compliant,Compliant,Not Applicable,Not Observed,Not Applicable,Not Applicable,Minor,Not Observed,Not Observed,Compliant,Not Observed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Observed,Minor,Not Observed,Not Observed,Not Observed,Compliant,Compliant,Minor,Not Applicable,Not Applicable,Not Observed,Not Observed,Not Applicable,Not Applicable,Minor,Compliant,Compliant,Compliant,Not Applicable,Minor,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Major,Major,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Major,Compliant,Minor,Compliant,Not Applicable,Compliant,Compliant,Compliant,Compliant,Minor,Not Observed,Minor,Minor,Minor,Minor,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2544,Swaledale Foods Ltd,Skipton,North Yorkshire,England, CP,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,2021-01-27,Generally Satisfactory,12,2022-01-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Not Applicable,Compliant,Major,Compliant,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Minor,Minor,Compliant,Compliant,Minor,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Not Applicable,Not Applicable,Not Applicable,Not Observed
2546,Elite Poultry Ltd,Bristol,,England, CP,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,2021-05-27,Good,12,2022-05-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Not Applicable,Not Applicable,Compliant,Minor,Compliant,Compliant,Not Applicable,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2547,Ben Creese Country Butchers Ltd,Gloucester,Gloucestershire,England, CP,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,2020-09-02,Generally Satisfactory,12,2021-09-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Major,Compliant,Not Applicable,Compliant,Minor,Minor,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2548,Turner's Game,Canterbury,Kent,England,SH ,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,2021-01-12,Generally Satisfactory,12,2022-01-01,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Minor,Not Applicable,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Compliant,Compliant,Not Applicable,Not Applicable,Compliant,Minor,Compliant,Compliant,Not Applicable,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Minor,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Major,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2551,Takbeer Poultry and Products Ltd,Bradford,West Yorkshire,England, CP,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,2021-01-15,Good,12,2022-01-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Not Applicable,Compliant,Compliant,Compliant,Compliant,Not Applicable,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2552,Asia Halal Meat Supplier Ltd ,Birmingham,West Midlands,England, CP,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,2020-09-08,Good,24,2022-09-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Not Applicable,Not Applicable,Compliant,Compliant,Minor,Compliant,Not Applicable,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2553,Highgate Poultry,Birmingham,West Midlands,England, CP,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2021-05-27,Improvement Necessary,3,2021-08-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Major,Major,Not Applicable,Not Applicable,Minor,Minor,Compliant,Compliant,Not Applicable,Minor,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Major,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2554,E & P Catering Butchers Limited ,Coventry,West Midlands,England, CP,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,2020-12-29,Good,12,2021-12-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Minor,Compliant,Compliant,Minor,Minor,Compliant,Compliant,Not Applicable,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Minor,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Minor,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Minor,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2556,SV Cuisine,Wednesbury,West Midlands,England, CP,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,2020-11-27,Good,24,2022-11-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2557,Wiltshire Bacon Company Limited,Trowbridge,Wiltshire,England, CP,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,2020-10-08,Good,12,2021-10-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Minor,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2558,John Crawshaw Butchers,Sheffield,South Yorkshire,England, CP,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,2019-09-17,Good,27,2021-12-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Minor,Minor,Minor,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Minor,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Observed
2559,The Fine Food Company UK Limited,Wincanton,Somerset,England, CP,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,2019-11-28,Good,27,2022-02-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2563,Al-Noor Poultry Limited,Birmingham,West Midlands,England, CP,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,2020-12-09,Generally Satisfactory,12,2021-12-01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Minor,Major,Not Applicable,Not Applicable,Compliant,Major,Minor,Compliant,Not Applicable,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Minor,Compliant,Minor,Compliant,Minor,Compliant,Compliant,Compliant,Compliant,Compliant,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
