Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,14/06/2017,MAILGUN.COM,808.41,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  its customers
HM Revenue & Customs,HM Revenue & Customs,21/06/2017,CLOUDABILITY,943.03,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  its customers
