Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Work & Pensions,Ministerial Department,Department for Work & Pensions,"45,049","38,245","38,378","33,828","9,097","8,657","1,955","1,899",201,197,5,5,"94,685","82,831",.,.,.,.,188,188,.,.,188,188,"94,873","83,019","£161,479,531","£1,877,571","£204,230","£1,140,028","£28,943,918","£9,984,162","£203,629,440","£3,568,197","£4,822,453","£8,390,650","£212,020,090",
Health and Safety Executive,Crown Non Departmental Public Body,Department for Work and Pensions,425,375,437,405,"1,429","1,341",482,454,30,30,.,.,"2,803","2,605",.,.,.,.,.,.,.,.,0,0,"2,803","2,605","£8,776,659","£130,994",£400,"£33,224","£1,723,288","£760,748","£11,425,313",£0,£0,£0,"£11,425,313",
Independent Living Fund,Executive Non-Departmental Public Body,Department for Work and Pensions,76,65,28,25,14,13,5,5,2,2,.,.,125,110,1,1,.,.,.,.,.,.,1,1,126,111,"£238,733","£2,516",£0,"£4,852","£41,332","£16,414","£303,848","£2,699",£0,"£2,699","£306,547",
National Employment Savings Trust Corporation,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,249,244,249,244,.,.,22,19,.,.,2,2,24,21,273,265,"£1,240,558",£1,£0,£117,"£149,482","£94,277","£1,484,435","£191,355","£17,458","£208,813","£1,693,248",
Remploy Ltd,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,"1,050",982,"1,050",982,10,8,8,8,.,.,.,.,18,16,"1,068",998,"£1,927,177",£0,"£1,300","£2,597","£157,106","£220,730","£2,308,910","£95,615",£0,"£95,615","£2,404,525",Remploy do not use Civil Service Grades
The Pensions Advisory Service,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,38,36,38,36,2,0.4,1,1,.,.,1,0.4,4,1.8,42,38,"£130,913",£0,£0,£0,"£24,154","£11,644","£166,711","£3,277","£5,400","£8,677","£175,388",
The Pensions Regulator,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,471,457,471,457,16,16,.,.,8,8,.,.,24,24,495,481,"£1,901,658","£1,433","£67,265","£3,962","£382,967","£179,561","£2,536,846","£209,219",£0,"£209,219","£2,746,065",
