"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Wireless Infrastructure, Spectrum and Consumers","POSN000983","A(U)","53328","68310","Senior Policy Adviser","3.80","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Wireless Infrastructure, Spectrum and Consumers","POSN000983","B","30955","44558","Policy Adviser","10.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Wireless Infrastructure, Spectrum and Consumers","POSN000983","C","23826","27397","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Systems Improvement","POSN003571","A","47073","58207","System Development Manager","1.00","Information Technology"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Systems Improvement","POSN003571","A(U)","53328","68310","System Development Manager","2.00","Information Technology"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","IT and Records","POSN002369","A","47073","58207","Senior IT Manager","3.00","Information Technology"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","IT and Records","POSN002369","A(U)","53328","68310","Senior IT Manager","1.00","Information Technology"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","IT and Records","POSN002369","B","30955","44558","IT Manager","1.00","Information Technology"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","IT and Records","POSN002369","C","23826","27397","IT Manager","1.00","Information Technology"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","POSN000242","A","47073","58207","Commercial","7.00","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","POSN000242","A(U)","53328","68310","Commercial","4.90","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","POSN000242","B","30955","44558","Commercial","8.00","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","POSN000242","C","23826","27397","Commercial","5.00","Procurement"
