Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,June     ,England,Yorkshire and the Humber,Humberside,Non Dairy,ABERDEEN ANGUS,F,Birth Application,4
2015,June     ,England,South East,Surrey,Non Dairy,ABERDEEN ANGUS,M,Birth Application,30
2015,June     ,England,Eastern,Essex,Non Dairy,ABERDEEN ANGUS,M,Birth Application,7
2015,June     ,England,Eastern,Hertfordshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,4
2015,June     ,England,East Midlands/Yorkshire and the Humber,Lincolnshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,10
2015,June     ,England,West Midlands,Warwickshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,8
2015,June     ,England,Eastern,Norfolk,Non Dairy,ABERDEEN ANGUS,F,Birth Application,12
2015,June     ,England,North East,Cleveland,Non Dairy,ABERDEEN ANGUS,F,Birth Application,6
2015,June     ,England,North West,Cumbria,Non Dairy,ABERDEEN ANGUS,M,Birth Application,96
2015,June     ,England,East Midland,Nottinghamshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,9
2015,June     ,England,South East,East Sussex,Non Dairy,ABERDEEN ANGUS,F,Birth Application,6
2015,June     ,England,North West,Lancashire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,69
2015,June     ,England,South East,Buckinghamshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,11
2015,June     ,England,South West,Devon,Non Dairy,ABERDEEN ANGUS,F,Birth Application,151
2015,June     ,England,Eastern,Hertfordshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,5
2015,June     ,England,North East,Tyne & Wear,Non Dairy,ABERDEEN ANGUS,M,Birth Application,6
2015,June     ,England,North West,Greater Manchester,Non Dairy,ABERDEEN ANGUS,M,Birth Application,19
2015,June     ,England,East Midland,Nottinghamshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,7
2015,June     ,England,South East,Hampshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,16
2015,June     ,England,South West,Somerset,Non Dairy,ABERDEEN ANGUS,F,Birth Application,74
2015,June     ,England,North East,Northumberland,Non Dairy,ABERDEEN ANGUS,M,Birth Application,48
2015,June     ,England,Yorkshire and the Humber,Humberside,Non Dairy,ABERDEEN ANGUS,M,Birth Application,7
2015,June     ,England,West Midlands,Staffordshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,92
2015,June     ,England,North East,Northumberland,Non Dairy,ABERDEEN ANGUS,F,Birth Application,46
2015,June     ,England,South West,Dorset,Non Dairy,ABERDEEN ANGUS,F,Birth Application,29
2015,June     ,England,West Midlands,Warwickshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,7
2015,June     ,England,North East,Durham,Non Dairy,ABERDEEN ANGUS,F,Birth Application,27
2015,June     ,England,South East,Kent,Non Dairy,ABERDEEN ANGUS,F,Birth Application,18
2015,June     ,England,East Midland,Northamptonshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,16
2015,June     ,England,South East,Surrey,Non Dairy,ABERDEEN ANGUS,F,Birth Application,20
2015,June     ,England,North West,Greater Manchester,Non Dairy,ABERDEEN ANGUS,F,Birth Application,17
2015,June     ,England,Eastern,Essex,Non Dairy,ABERDEEN ANGUS,F,Birth Application,2
