"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Directorate Support C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Brands and International Policy C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Collective Rights C1","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Copyright Operations C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Delivery and Engagement C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Design Policy C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Digital Tech Policy C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Domestic Trade Mark Policy C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Environment and Institutions C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Environment and Institutions C1","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Green Tech C1","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","International, Trade Copyright C1","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Outreach, Stakeholder Comms C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1","41016","43067","Trade Marks and Designs Policy C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1 EXR","41016","43067","Environment and Institutions C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C1 EXR","41016","43067","Patent Policy C1 EXR","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Intelligence C2","<5","Intelligence Analysis","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Partnership Engagement C2","<5","Intelligence Analysis","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Brands and International Policy C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Collective Rights C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Copyright Operations C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Delivery and Capacity Building C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Delivery and Engagement C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Design Policy C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Digital Tech Policy C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Domestic Trade Mark Policy C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Environment and Institution C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Futures Framework C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Green Tech C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","International, Trade Copyright C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Legislative Framework C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Legislative Framework C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Music Streaming C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Outreach, Stakeholder Comms C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Patent Policy C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2","57583","60460","Policy Group Coordination C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2 EXR","57583","60460","Patent Policy C2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","C2 EXR","57583","60460","Patent Policy C2 EXR","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","D1","66407","69725","Intelligence and LE Partnerships D1","<5","Intelligence Analysis","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","D1","66407","69725","Copyright D1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","D1","66407","69725","Copyright D1","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","D1","66407","69725","IP Enforcement D1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","D1","66407","69725","Patent Policy D1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","D1","66407","69725","Policy Group Coordination D1","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Rights Policy and Enforcement","7217432","D1","66407","69725","Trade Marks and Designs Policy D1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","A3","23097","23097","CEO Office A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","A3","23097","23097","Research A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","A3","23097","23097","Secretariat A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B1","24034","25044","Digital Communications B1","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B1","24034","25044","Trade Analysis & Economic Appraisal B1","<5","Government Economic Service","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B1","24034","25044","Risk Management B1","<5","Internal Audit Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B1","24034","25044","CEO Office B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B1","24034","25044","Research B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B1","24034","25044","Secretariat B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B2","27923","29320","Campaigns, Marketing and Events B2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B2","27923","29320","Digital Communications B2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Management Information B3","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Campaigns, Marketing and Events B3","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Digital Communications B3","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Strategic Communications B3","<5","Government Communication Service","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Trade Analysis and Economic Appraisal B3 - Loan In","<5","Government Economic Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Governance and Assurance B3","<5","Internal Audit Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Business Intelligence, Strategy and Planning B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","CEO Office B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Directorate Support B3","<5","Operational Delivery Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Research B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","B3","31385","32741","Secretariat B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Business Intelligence, Strategy and Planning C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","IP Analytics and Data Insights C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","IP Analytics and Data Insights C1","<5","Digital, Data and Technology Professions","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Management Information C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Campaigns, Marketing and Events C1","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Digital Communications C1","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","External Affairs C1","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Strategic Communications C1","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Economics, Research and Evidence C1","<5","Government Economic Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Trade Analysis and Economic Appraisal C1","<5","Government Social Research Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Social Research and Statistics C1","<5","Government Statistical Service Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Social Research and Statistics C1","<5","Government Statistical Service Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Governance and Assurance C1","<5","Internal Audit Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Risk Management C1","<5","Internal Audit Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Secretariat C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Futures C1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1","41016","43067","Futures C1","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C1 EXR","41016","43067","Economics, Research and Evidence C1 EXR","<5","Government Economic Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Business Intelligence, Strategy and Planning C2","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Campaigns, Marketing and Events C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Digital Communications C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","External Affairs C2","<5","Government Communication Service","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Strategic Communications C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Strategic Stakeholder Management C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Economics, Research and Evidence C2","<5","Government Economic Service","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Forecasting C2","<5","Government Economic Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Trade Analysis & Economic Appraisal C2","<5","Government Economic Service","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Trade Analysis and Economic Appraisal C2","<5","Government Economic Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Social Research and Statistics C2","<5","Government Statistical Service Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Risk Management C2","<5","Internal Audit Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Strategy and Co-ordination Manager C2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Futures C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2","57583","60460","Research C2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2 EXR","57583","60460","IP Analytics and Data Insights C2 EXR","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","C2 EXR","57583","60460","Management Information C2 EXR","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","D1","66407","69725","MIBI D1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","D1","66407","69725","External Communications D1","<5","Government Communication Service","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","D1","66407","69725","Economics, Research and Evidence D1","<5","Government Economic Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","D1","66407","69725","Trade Analysis & Economic Appraisal D1","<5","Government Economic Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","D1","66407","69725","Trade Analysis and Economic Appraisal D1","<5","Government Economic Service","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","D1","66407","69725","Chief of Staff Office D1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Strategy","4431617","D1","66407","69725","Strategy Development and Management D1","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Casework Support A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Tribunal Casework Support A3","6","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Tribunal Hearings Support A3","6.98","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Classification Examiner B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Design Exam B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","TM Exam B1","107.18","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Tribunal and Mediation B1","30.76","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","TM Exam B2","55.38","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Tribunal Caseworker B2","6.77","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Designs Team Leader B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","TM Exam B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","TM Team Leader B3","15.45","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","TMD ETL B3","18.48","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","TMD Hearings and Practice B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Tribunal Team Leader B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Tribunal Technical Lead B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","TMD Hearings and Practice C1","6.65","Government Legal Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Tribunal and Mediation C1","15.58","Government Legal Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","TMD Ops Manager C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Technical Lead C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","TMD Hearings and Practice C2","<5","Government Legal Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Tribunal and Mediation C2","15.1","Government Legal Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","TMD Ops Manager C2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Technical Lead C2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","Tribunal and Mediation D1","<5","Government Legal Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","TM Ops D1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","TTMD Deputy Director","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","Tribunals and Mediation D1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","SCS1 Analogue","73551","78267","Chief Hearing Officer SCS1A","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","SCS1 Analogue","73551","78267","TTMD Div D SCS1A","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Project Office B1","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Architect B2","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Fin BP Support B2","<5","Government Finance Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Tester B3","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Project Management B3","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Project Office B3","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Architect C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Business Change C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Developer C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","PMO C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Tester C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Tester Engineer C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Commercial C1","<5","Government Finance Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Fin BP C1","<5","Government Finance Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","SME C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Business Change C1","<5","Other","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Project Management C1","5.8","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Project Manager C1","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Project Office C1","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Project Planner C1","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","AI Engineer C2","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Architect C2","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Demand & Planning C2","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Ext Comms C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Int Comms C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","SME C2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Business Change C2","<5","Other","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Business Support C2","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Programme Delivery C2","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Project Management C2","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2 EXR","57583","60460","SME C2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2 EXR","57583","60460","Business Change C2","<5","Other","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","Product Manager D1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","Business Change D1","<5","Other","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","Project Management D1","<5","Project Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","SCS1 Analogue","73551","78267","Transformation Div D SCS1A","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","SCS1 Analogue","73551","78267","Programme Delivery SCS1A","<5","Project Delivery Profession","Wales"
