,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,149,0,0,101,0,0,89,0,0,101,0,0,97,0,0,67,0,0,64,0,0,72,0,0,32,0,0,0,0,0,0,0,0,0,0,0,772,0,0
BELTED GALLOWAY,Non Dairy,F,1,2,2,0,0,0,3,0,1,2,2,2,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,9,10,9
,,M,0,0,2,0,1,0,1,1,1,0,3,2,1,0,3,1,2,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,7,9,10
BELTED GALLOWAY X,Non Dairy,F,0,0,0,0,2,1,1,0,0,0,0,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,5,6
,,M,0,0,1,2,0,1,0,2,1,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,9,6
BISON,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLONDE D'AQUITAINE,Non Dairy,F,3,2,5,2,1,3,2,6,4,3,6,3,1,6,3,6,3,3,1,2,0,1,0,0,1,1,0,0,3,0,0,0,0,1,4,0,21,34,21
,,M,0,2,1,0,4,1,0,2,2,2,3,4,10,6,4,5,5,2,4,2,3,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,24,28,17
BLONDE D'AQUITAINE X,Non Dairy,F,20,22,18,19,15,21,26,27,34,27,52,34,22,33,36,13,25,14,6,15,11,6,11,0,4,12,0,7,12,0,10,9,0,8,21,0,168,254,168
,,M,22,21,15,20,24,18,36,42,27,40,62,33,42,39,31,24,21,15,15,13,17,5,7,0,4,5,0,8,10,0,17,9,0,19,26,0,252,279,156
BLUE ALBION,Dairy,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BLUE ALBION X,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,M,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
BLUE GREY,Non Dairy,F,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,2
,,M,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,2
BLUE GREY X,Non Dairy,F,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,4
,,M,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,4,4,2
BRAHMAN X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BRITISH BLUE,Non Dairy,F,0,9,9,0,4,7,1,12,7,1,7,9,1,5,10,1,6,7,0,11,7,3,6,0,2,6,0,6,9,0,8,9,0,9,16,0,32,100,56
,,M,0,14,12,0,16,9,1,10,16,0,16,10,0,8,8,0,16,5,0,9,11,2,5,0,3,10,0,9,10,0,13,12,0,20,16,0,48,142,71
BRITISH BLUE X,Non Dairy,F,6,107,119,7,115,81,11,98,111,14,103,105,10,116,92,6,97,86,13,74,61,22,79,0,42,73,0,57,74,0,70,109,0,114,142,0,372,"1,187",655
,,M,4,164,175,2,133,123,6,148,146,18,202,139,15,130,116,14,102,100,22,94,91,22,102,0,58,98,0,94,99,0,106,126,0,154,216,0,515,"1,614",890
BRITISH FRIESIAN,Dairy,F,76,92,88,96,73,80,107,116,114,77,94,60,59,64,45,47,53,32,52,49,36,35,39,0,54,82,0,55,70,0,65,72,0,76,76,0,799,880,455
,,M,118,130,114,130,133,77,163,202,160,134,158,104,114,98,75,68,91,65,85,87,69,82,92,0,80,114,0,96,106,0,95,122,0,114,148,0,"1,279","1,481",664
BRITISH FRIESIAN X,Dairy,F,14,19,24,26,44,28,51,76,68,35,30,47,17,17,12,5,14,11,7,4,6,14,21,0,17,23,0,17,17,0,12,15,0,25,31,0,240,311,196
,,M,33,26,34,79,49,59,51,123,120,52,65,60,15,34,19,15,15,19,28,20,12,25,29,0,54,43,0,34,23,0,27,27,0,31,42,0,444,496,323
BRITISH HOLSTEIN,Dairy,F,11,5,20,6,9,10,9,7,4,11,9,3,8,6,9,3,2,9,5,6,6,5,7,0,5,3,0,6,2,0,8,8,0,13,8,0,90,72,61
,,M,8,13,11,11,16,4,5,9,7,6,11,7,4,8,4,3,1,5,1,4,8,1,7,0,1,2,0,6,6,0,4,8,0,8,9,0,58,94,46
BRITISH HOLSTEIN X,Dairy,F,1,2,3,3,2,1,2,2,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,13,10,6
,,M,6,0,0,1,4,3,2,1,1,3,1,0,3,1,1,2,1,0,0,0,0,1,1,0,0,1,0,2,1,0,1,0,0,0,0,0,21,11,5
BRITISH WHITE,Non Dairy,F,0,0,0,1,0,2,0,1,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,1,5
,,M,0,0,1,1,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,3
BRITISH WHITE X,Non Dairy,F,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,2
,,M,0,0,1,0,0,1,0,1,2,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7
BROWN SWISS,Dairy,F,3,3,15,7,9,2,5,6,12,1,2,1,2,5,4,3,2,6,1,4,4,0,2,0,1,3,0,4,7,0,8,7,0,6,5,0,41,55,44
,,M,5,2,7,6,6,1,3,6,5,4,2,5,7,2,3,3,2,2,5,2,2,0,2,0,2,2,0,4,2,0,4,6,0,5,5,0,48,39,25
BROWN SWISS X,Dairy,F,10,8,12,6,8,11,8,6,6,13,9,8,8,6,4,6,3,2,3,2,6,4,2,0,7,8,0,5,5,0,8,3,0,14,22,0,92,82,49
,,M,13,11,9,4,10,11,31,15,12,5,11,8,18,8,6,6,5,2,15,3,7,5,3,0,11,8,0,14,14,0,13,13,0,9,17,0,144,118,55
CHAROLAIS,Non Dairy,F,14,9,4,6,9,3,9,10,8,24,27,19,17,20,20,14,14,11,8,8,9,6,2,0,5,4,0,5,5,0,5,3,0,5,12,0,118,123,74
,,M,13,12,8,10,12,12,13,18,20,21,26,25,23,42,23,10,33,18,19,14,16,11,16,0,12,6,0,7,7,0,7,7,0,13,11,0,159,204,122
