,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,0,0,0,0,4,0,1,1,2,2,4,2,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,14,6
LONGHORN,Non Dairy,F,0,1,1,0,2,0,5,6,4,1,2,1,0,0,3,0,1,1,0,2,2,1,3,0,0,1,0,0,0,0,1,1,0,2,0,0,10,19,12
,,M,0,1,2,0,0,1,5,2,1,5,3,3,1,1,5,2,3,0,1,2,2,0,2,0,1,2,0,0,0,0,2,1,0,2,0,0,19,17,14
LONGHORN X,Non Dairy,F,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,5,2
,,M,1,0,0,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,5,6,2
LUING,Non Dairy,F,0,0,0,0,0,0,0,3,1,2,1,6,1,0,1,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,10
,,M,0,0,0,0,0,0,2,2,1,2,7,6,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,12,9
LUING X,Non Dairy,F,0,0,0,0,0,0,1,1,2,2,0,0,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,4,7
,,M,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4
MAINE ANJOU,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAINE ANJOU X,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,M,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
MARCHIGIANA,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MARCHIGIANA X,Non Dairy,F,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,M,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEUSE RHINE ISSEL,Non Dairy,F,1,4,3,0,4,0,5,3,2,1,4,4,0,1,1,0,2,0,0,1,2,0,3,0,1,0,0,1,3,0,3,0,0,1,0,0,13,25,12
,,M,1,5,3,7,1,5,2,1,3,0,3,2,1,2,3,1,0,2,2,3,0,0,0,0,3,1,0,2,0,0,1,2,0,2,2,0,22,20,18
MEUSE RHINE ISSEL X,Non Dairy,F,1,2,1,2,2,1,6,1,0,2,0,1,2,2,0,2,0,1,1,2,0,4,0,0,0,1,0,3,1,0,3,1,0,3,3,0,29,15,4
,,M,2,3,4,2,3,0,3,5,6,1,1,2,3,2,2,4,4,4,2,0,1,2,1,0,1,3,0,0,1,0,2,1,0,6,2,0,28,26,19
MONTBELIARDE,Non Dairy,F,5,12,15,6,24,8,4,4,6,4,5,3,2,9,0,3,4,4,1,1,3,1,6,0,2,8,0,0,12,0,6,9,0,14,19,0,48,113,39
,,M,9,14,9,11,18,6,7,2,14,8,8,1,6,2,2,7,5,1,3,3,4,0,4,0,4,9,0,0,9,0,7,12,0,7,16,0,69,102,37
MONTBELIARDE X,Non Dairy,F,10,22,25,16,11,12,11,16,17,9,13,6,6,15,10,7,3,9,7,8,10,9,8,0,9,9,0,10,7,0,14,12,0,23,28,0,131,152,89
,,M,14,25,25,10,16,12,11,29,28,17,20,16,8,11,13,8,9,15,10,9,9,13,13,0,20,19,0,13,16,0,21,14,0,15,29,0,160,210,118
MURRAY GREY,Non Dairy,F,0,0,0,2,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,3,2
,,M,0,1,1,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2
MURRAY GREY X,Non Dairy,F,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,10,3
,,M,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,1,0,0,0,0,2,14,0
NORMANDE,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NORMANDE X,Non Dairy,F,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1
,,M,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,1,0
NORTHERN DAIRY SH,Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NORWEGIAN RED,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
NORWEGIAN RED X,Non Dairy,F,2,3,1,3,1,3,0,3,5,1,0,0,2,0,1,1,0,2,0,1,3,1,3,0,2,5,0,2,7,0,0,2,0,3,2,0,17,27,15
,,M,1,5,6,5,1,3,5,4,7,5,2,1,2,0,1,0,0,0,1,1,3,3,8,0,0,8,0,3,8,0,0,7,0,1,3,0,26,47,21
PARTHENAIS,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PARTHENAIS X,Non Dairy,F,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0
,,M,0,0,1,0,0,0,0,3,1,1,1,2,0,1,0,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,7
PIEMONTESE,Non Dairy,F,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
PIEMONTESE X,Non Dairy,F,0,0,1,2,1,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4
,,M,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,5,4,2
PINZGAUER,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RED & WHITE FRIESIAN,Dairy,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RED POLL,Non Dairy,F,1,0,0,0,2,0,2,4,2,3,5,2,2,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,11,20,7
,,M,1,0,1,1,2,0,1,2,0,4,5,3,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,14,6
RED POLL X,Non Dairy,F,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,3,3
,,M,2,0,0,1,0,0,1,0,2,1,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,5,3
ROMAGNOLA X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ROTEBUNDE X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SALERS,Non Dairy,F,1,0,1,1,1,1,1,0,1,2,1,1,2,2,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,8,10,8
,,M,1,1,1,0,1,2,1,3,5,2,2,3,2,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,9,13,12
SALERS X,Non Dairy,F,4,7,6,4,1,4,7,10,8,10,4,10,8,6,5,6,3,7,0,0,2,1,0,0,0,5,0,1,2,0,1,5,0,1,5,0,43,48,42
,,M,2,1,4,4,3,2,11,11,10,7,8,13,7,8,15,3,4,2,1,1,3,3,4,0,2,1,0,4,4,0,4,2,0,6,6,0,54,53,49
SHETLAND,Non Dairy,F,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
,,M,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
SHETLAND X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
,,M,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
SHORTHORN,Non Dairy,F,1,1,8,3,3,6,2,3,4,1,2,5,0,0,8,2,1,6,5,1,3,0,5,0,1,3,0,2,4,0,2,4,0,1,6,0,20,33,40
,,M,2,6,9,1,5,12,7,5,4,1,5,4,1,8,6,3,6,6,0,6,9,3,2,0,2,9,0,1,4,0,2,3,0,4,4,0,27,63,50
SHORTHORN X,Non Dairy,F,5,2,2,3,6,2,5,7,2,8,10,10,12,4,5,3,9,6,3,4,1,4,1,0,1,2,0,2,1,0,2,11,0,3,5,0,51,62,28
,,M,3,8,6,3,11,5,5,13,10,10,22,11,8,12,13,7,1,7,0,4,3,6,0,0,3,8,0,7,9,0,2,10,0,5,10,0,59,108,55
SIMMENTAL,Non Dairy,F,8,8,8,9,7,13,12,26,17,18,28,21,13,20,16,12,7,13,5,5,7,4,6,0,7,4,0,4,5,0,5,7,0,7,11,0,104,134,95
,,M,13,12,13,15,12,18,18,19,25,39,28,30,27,24,20,18,14,10,14,8,8,4,5,0,7,8,0,4,10,0,9,10,0,7,11,0,175,161,124
SIMMENTAL X,Non Dairy,F,76,79,59,71,84,84,117,119,119,135,147,144,136,124,101,88,66,59,57,44,53,41,35,0,45,39,0,31,54,0,61,73,0,63,92,0,921,956,619
,,M,109,110,100,103,104,81,137,161,156,170,194,170,148,150,138,98,104,86,56,61,50,58,55,0,46,55,0,61,52,0,81,90,0,81,119,0,"1,148","1,255",781
SOUTH DEVON,Non Dairy,F,1,3,2,4,2,2,6,6,11,14,18,19,9,11,16,7,2,1,2,8,5,3,5,0,3,3,0,1,1,0,3,1,0,2,0,0,55,60,56
,,M,4,4,2,6,5,5,10,15,14,20,24,28,11,9,5,4,11,13,9,6,8,4,3,0,1,5,0,1,2,0,2,2,0,0,1,0,72,87,75
SOUTH DEVON X,Non Dairy,F,2,3,1,7,2,2,7,13,3,9,18,11,11,5,7,8,3,3,3,1,1,3,0,0,2,1,0,1,0,0,1,1,0,0,0,0,54,47,28
,,M,5,0,3,6,3,3,6,13,5,13,15,15,9,7,13,5,6,4,3,6,4,1,0,0,3,2,0,4,2,0,1,3,0,2,3,0,58,60,47
SPECKLE PARK CROSS,Non Dairy,F,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STABILISER,Non Dairy,F,0,0,0,0,0,0,2,0,3,2,1,0,5,1,1,2,3,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,12,8,6
,,M,0,0,0,0,0,0,0,2,1,1,1,1,0,3,6,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,2,0,0,1,1,0,6,10,8
STABILISER X,Non Dairy,F,2,3,1,5,1,2,8,5,5,12,11,14,13,7,7,4,2,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,47,32,32
,,M,2,3,2,3,0,1,2,10,13,15,12,13,18,12,5,4,6,4,2,2,0,1,2,0,3,0,0,2,5,0,1,3,0,2,3,0,55,58,38
SUSSEX,Non Dairy,F,0,1,0,1,1,1,0,4,4,2,5,2,1,3,0,5,4,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,12,19,9
,,M,1,3,1,2,0,1,5,7,1,5,7,3,2,5,4,1,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,18,30,12
SUSSEX X,Non Dairy,F,0,2,1,1,0,1,2,2,0,4,2,2,0,1,2,0,1,0,1,1,1,0,3,0,0,1,0,0,0,0,5,4,0,0,2,0,13,19,7
,,M,0,0,3,5,2,1,4,4,3,3,3,2,2,1,1,1,0,2,2,1,0,1,1,0,3,1,0,0,2,0,0,4,0,2,5,0,23,24,12
SWEDISH RED,Dairy,F,1,0,0,2,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1,2,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,7,8,4
,,M,0,0,1,0,2,1,0,2,0,1,0,1,1,0,0,2,2,0,1,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,6,12,4
SWEDISH RED & WHITE,Non Dairy,F,1,2,1,2,0,0,0,2,2,1,3,1,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0,1,0,4,1,0,15,12,4
,,M,3,4,0,3,1,1,2,1,2,2,3,0,1,3,3,0,1,0,0,0,0,0,1,0,1,1,0,4,2,0,3,1,0,2,0,0,21,18,6
SWEDISH RED CROSS,Dairy,F,2,9,11,4,6,4,5,13,5,5,7,5,4,7,5,4,3,3,4,6,5,4,7,0,5,13,0,4,11,0,7,15,0,3,10,0,51,107,38
,,M,5,15,11,3,25,8,10,12,10,7,5,10,3,6,8,3,6,3,6,8,2,5,3,0,6,12,0,7,8,0,12,7,0,7,16,0,74,123,52
SWEDISH RED POLLED,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SWEDISH RED&WHITE X,Non Dairy,F,9,3,2,7,14,4,3,8,11,6,9,8,7,2,6,2,7,2,2,5,5,2,3,0,2,8,0,8,5,0,7,7,0,6,13,0,61,84,38
,,M,6,10,6,8,7,9,10,18,19,3,12,6,4,8,5,9,6,5,5,4,5,6,2,0,13,12,0,13,12,0,8,5,0,6,8,0,91,104,55
VAYNOL,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,M,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
WAGYU,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
WAGYU CROSS,Non Dairy,F,0,0,14,0,0,9,0,0,12,0,1,2,0,0,3,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,19,0,0,24,44
,,M,0,0,13,0,0,10,0,0,13,0,1,6,0,0,6,0,1,4,0,1,2,0,0,0,0,0,0,0,1,0,0,4,0,0,24,0,0,32,54
WATER BUFFALO,Non Dairy,F,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,5,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,11,3,6
,,M,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,2,4,0,0,2,0,3,0,0,0,1,0,1,0,0,9,9,4
WELSH BLACK,Non Dairy,F,2,1,0,0,0,2,2,4,3,6,12,5,3,7,6,6,6,5,1,1,1,1,1,0,0,1,0,2,5,0,0,0,0,1,0,0,24,38,22
,,M,0,0,2,0,0,2,4,5,5,6,10,4,5,7,9,5,5,0,1,2,2,3,3,0,3,3,0,2,0,0,1,0,0,0,0,0,30,35,24
WELSH BLACK X,Non Dairy,F,1,1,2,2,0,0,1,2,4,2,6,4,3,2,5,0,1,1,1,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,5,0,12,23,16
,,M,1,2,4,0,1,3,3,6,4,1,4,1,1,2,3,1,3,2,2,2,1,4,0,0,1,3,0,3,1,0,2,1,0,2,0,0,21,25,18
WHITE GALLOWAY,Non Dairy,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,M,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1
WHITE PARK,Non Dairy,F,0,1,1,0,2,0,1,2,5,1,2,2,2,2,3,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,12,12
,,M,0,1,0,2,5,0,1,1,0,0,4,1,1,0,2,1,2,0,2,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,8,18,3
WHITE PARK X,Non Dairy,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
WHITEBRED S/HORN X,Non Dairy,F,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
,,M,0,0,0,2,0,2,1,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,6
WHITEBRED SHORTHORN,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ZEBU,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Totals,,,"4,264","4,606","4,634","3,810","4,438","3,654","4,509","5,564","5,186","4,885","5,883","4,913","4,087","4,459","3,945","3,078","3,191","2,835","2,682","2,891","2,417","2,583","2,786",0,"2,757","3,231",0,"2,753","3,150",0,"3,417","3,764",0,"4,122","5,606",0,"42,947","49,569","27,584"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total of deaths 2009 to date:,,,"120,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
