Minister,Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Grant Shapps,2021-11-23,DP World,Lunch,No
Trudy Harrison,Nil return,Nil return,Nil return,Nil return
Chris Heaton-Harris,Nil return,Nil return,Nil return,Nil return
Robert Courts,Nil return,Nil return,Nil return,Nil return
Andrew Stephenson,Nil return,Nil return,Nil return,Nil return
Charlotte Vere ,Nil return,Nil return ,Nil return ,Nil return 
