Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,39,584,548,61,610,479,99,820,734,128,953,964,106,925,869,103,824,704,98,703,719,167,685,633,576,607,0,690,543,0,632,543,0,504,503,0,"3,203","8,300","5,650"
BRITISH BLUE X,Non Dairy,F,199,"4,611","4,840",440,"5,063","5,167",945,"8,813","8,789","1,303","9,782","10,431","1,159","8,747","9,015",883,"6,746","6,726","1,293","6,507","6,454","1,803","6,029","6,096","4,973","5,712",0,"5,254","5,344",0,"5,032","5,004",0,"4,465","4,727",0,"27,749","77,085","57,518"
,,M,181,"4,971","5,295",489,"5,428","5,479",977,"9,284","9,333","1,394","10,315","10,950","1,153","9,322","9,542","1,000","7,349","7,042","1,403","6,911","7,258","1,929","6,446","6,651","5,477","6,109",0,"5,855","5,942",0,"5,438","5,611",0,"4,857","5,216",0,"30,153","82,904","61,550"
BRITISH FRIESIAN,Dairy,F,"3,456","3,312","3,402","4,839","4,655","4,986","4,660","5,020","5,040","3,927","4,032","4,031","3,452","3,596","3,101","3,578","3,580","3,170","4,126","4,204","3,715","4,906","5,004","4,788","5,312","5,589",0,"4,516","4,342",0,"4,091","3,788",0,"3,066","3,299",0,"49,929","50,421","32,233"
,,M,"3,619","3,479","3,223","4,667","5,030","4,814","4,976","5,352","5,180","4,586","4,438","4,124","3,934","3,863","3,407","3,896","3,868","3,376","4,535","4,557","3,860","5,382","5,254","4,895","5,836","5,848",0,"5,092","4,417",0,"4,546","4,065",0,"3,554","3,386",0,"54,623","53,557","32,879"
BRITISH FRIESIAN X,Dairy,F,747,773,931,"2,342","2,491","3,000","1,675","1,928","2,259",782,961,"1,175",645,748,893,630,811,788,839,861,845,"1,212","1,253","1,393","1,525","1,612",0,946,941,0,754,749,0,594,671,0,"12,691","13,799","11,284"
,,M,630,741,844,"1,577","2,281","2,521","1,398","2,026","2,203",894,"1,076","1,144",747,859,943,783,852,977,899,"1,068",970,"1,363","1,338","1,503","1,718","1,691",0,"1,135","1,068",0,873,750,0,639,726,0,"12,656","14,476","11,105"
BRITISH HOLSTEIN,Dairy,F,223,238,255,190,226,225,238,239,286,193,235,311,161,205,331,209,223,286,213,224,324,287,369,353,317,250,0,268,354,0,215,279,0,207,210,0,"2,721","3,052","2,371"
,,M,188,170,177,170,224,194,188,178,162,135,198,246,121,165,229,174,157,188,124,187,202,177,268,257,238,188,0,185,219,0,170,162,0,156,114,0,"2,026","2,230","1,655"
BRITISH HOLSTEIN X,Dairy,F,65,36,64,20,105,46,48,71,50,61,42,66,34,45,35,42,36,43,48,44,67,33,37,88,50,51,0,48,72,0,42,59,0,51,56,0,542,654,459
,,M,37,44,36,22,68,22,52,67,32,62,32,49,32,29,46,41,50,43,55,43,55,36,45,74,31,50,0,33,53,0,34,40,0,44,36,0,479,557,357
BRITISH WHITE,Non Dairy,F,43,30,34,56,50,51,83,105,100,100,82,100,119,102,71,49,64,58,34,50,41,43,35,43,32,32,0,23,18,0,15,25,0,13,11,0,610,604,498
,,M,49,35,36,58,65,45,97,111,111,110,104,113,111,100,97,58,52,67,28,63,49,51,40,41,29,29,0,25,12,0,20,16,0,16,18,0,652,645,559
BRITISH WHITE X,Non Dairy,F,11,15,22,7,16,16,25,36,49,40,40,38,52,36,52,37,23,28,20,19,16,11,25,12,15,23,0,16,16,0,14,21,0,15,9,0,263,279,233
,,M,9,12,23,9,18,15,24,35,43,26,44,35,50,50,36,47,24,19,23,23,11,19,16,18,18,17,0,16,26,0,12,33,0,12,17,0,265,315,200
BROWN SWISS,Dairy,F,72,82,96,76,88,94,72,142,136,102,102,112,104,113,114,100,112,150,99,117,161,129,132,164,102,119,0,132,117,0,93,106,0,87,100,0,"1,168","1,330","1,027"
,,M,35,51,85,55,54,91,48,102,91,77,78,102,82,87,131,75,78,109,78,103,147,90,125,159,88,80,0,97,105,0,79,83,0,52,71,0,856,"1,017",915
BROWN SWISS X,Dairy,F,200,196,219,238,228,195,263,345,333,243,307,296,211,196,236,197,194,215,236,248,246,294,303,309,281,306,0,258,267,0,308,256,0,225,222,0,"2,954","3,068","2,049"
,,M,146,157,191,185,181,182,256,335,206,221,291,176,212,199,209,196,198,195,247,215,214,260,292,260,263,293,0,297,210,0,229,190,0,183,184,0,"2,695","2,745","1,633"
CHAROLAIS,Non Dairy,F,586,587,574,592,630,633,"1,447","1,490","1,374","2,319","2,171","2,150","1,923","1,944","1,728","1,369","1,352","1,273",927,976,960,733,757,659,660,633,0,533,575,0,525,479,0,490,443,0,"12,104","12,037","9,351"
,,M,560,517,578,641,652,599,"1,474","1,431","1,374","2,221","2,268","2,149","1,949","2,104","1,867","1,425","1,436","1,304",973,"1,075",900,742,778,617,678,659,0,513,575,0,527,528,0,469,506,0,"12,172","12,529","9,388"
CHAROLAIS X,Non Dairy,F,"4,226","4,370","4,019","5,723","5,815","5,361","17,720","17,511","16,895","25,318","24,825","25,623","19,157","19,454","18,757","10,846","10,620","10,015","6,900","6,925","7,370","6,314","6,225","5,871","6,525","6,456",0,"5,877","5,286",0,"4,756","4,212",0,"3,553","3,250",0,"116,915","114,949","93,911"
,,M,"4,189","4,383","4,110","5,580","5,680","5,435","17,417","17,742","17,002","26,160","26,081","26,350","20,064","20,436","19,810","11,251","11,134","10,693","7,120","7,506","7,677","6,395","6,394","6,178","6,975","6,855",0,"6,193","5,397",0,"4,944","4,296",0,"3,629","3,359",0,"119,917","119,263","97,255"
CHIANINA,Non Dairy,F,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
,,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
CHIANINA X,Non Dairy,F,1,2,1,3,0,1,5,3,0,4,5,2,12,7,0,4,4,6,3,1,3,2,2,2,7,1,0,2,6,0,2,4,0,2,0,0,47,35,15
,,M,1,2,5,2,0,3,5,2,2,8,1,2,8,7,3,7,2,5,1,5,2,7,1,1,1,2,0,0,4,0,0,1,0,2,1,0,42,28,23
CHILLINGHAM,Non Dairy,F,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHILLINGHAM X,Non Dairy,F,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1
,,M,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,3
CROSS BREED BEEF,Non Dairy,F,13,13,28,2,10,11,15,8,19,16,28,29,14,29,33,15,14,16,7,7,15,17,12,6,5,8,0,5,13,0,6,7,0,8,15,0,123,164,157
,,M,12,12,24,8,12,18,13,13,19,22,28,39,22,38,25,6,13,20,8,2,8,11,5,9,6,10,0,6,12,0,1,9,0,4,16,0,119,170,162
CROSS BREED DAIRY,Dairy,F,54,64,87,354,411,439,94,201,235,23,50,54,20,6,12,5,10,15,16,2,7,22,59,150,20,39,0,92,124,0,92,93,0,23,17,0,815,"1,076",999
,,M,32,23,52,110,131,236,41,66,219,8,28,30,8,2,7,5,4,13,2,4,7,1,41,44,6,37,0,30,23,0,87,23,0,21,2,0,351,384,608
DAIRY SHORTHORN,Dairy,F,96,94,111,144,124,147,172,166,171,149,130,153,115,107,114,99,97,109,100,102,136,139,153,134,162,150,0,106,112,0,132,116,0,106,117,0,"1,520","1,468","1,075"
,,M,68,62,73,63,71,63,60,100,79,70,53,84,55,68,67,46,66,59,65,55,77,62,69,47,101,81,0,63,51,0,77,72,0,71,79,0,801,827,549
DAIRY SHORTHORN X,Dairy,F,31,66,86,84,139,200,113,95,203,64,115,143,55,57,112,71,77,87,58,56,78,50,102,106,121,144,0,73,121,0,37,105,0,44,61,0,801,"1,138","1,015"
,,M,22,35,62,53,88,86,77,81,101,40,69,89,44,52,62,36,46,50,35,53,56,68,61,58,95,71,0,49,66,0,28,72,0,17,61,0,564,755,564
DANISH RED,Non Dairy,F,4,8,7,10,7,7,4,9,8,5,18,6,6,8,6,10,6,8,13,18,11,14,34,9,4,12,0,13,10,0,9,29,0,5,9,0,97,168,62
,,M,4,5,5,3,9,1,4,7,8,2,11,5,5,9,9,5,5,6,6,20,10,4,30,9,4,21,0,8,6,0,6,7,0,4,3,0,55,133,53
DANISH RED X,Non Dairy,F,23,29,30,32,45,28,54,58,22,35,39,21,36,53,13,41,59,19,25,61,42,22,47,28,38,42,0,23,32,0,33,40,0,18,24,0,380,529,203
,,M,29,21,23,29,56,33,48,40,28,31,35,29,22,48,19,40,39,18,23,45,39,34,52,29,41,38,0,23,31,0,29,29,0,17,31,0,366,465,218
DEVON,Non Dairy,F,118,144,99,259,336,298,727,777,846,749,904,943,593,573,528,250,351,330,196,239,238,160,192,186,166,189,0,106,108,0,60,83,0,51,49,0,"3,435","3,945","3,468"
,,M,107,116,70,269,278,294,724,792,819,827,800,990,561,548,562,329,382,339,216,251,221,186,207,213,168,194,0,100,119,0,63,83,0,50,41,0,"3,600","3,811","3,508"
DEVON X,Non Dairy,F,106,136,140,132,183,205,284,310,308,364,380,379,293,299,380,230,250,244,198,239,204,170,214,181,183,224,0,169,174,0,120,146,0,101,92,0,"2,350","2,647","2,041"
,,M,104,117,159,130,207,213,302,313,360,381,407,393,314,301,359,238,248,253,183,262,204,182,227,246,185,190,0,155,176,0,112,152,0,90,86,0,"2,376","2,686","2,187"
DEXTER,Non Dairy,F,121,138,171,178,191,230,371,468,457,499,497,502,386,460,457,394,368,420,340,329,377,266,300,289,233,232,0,170,175,0,138,132,0,143,136,0,"3,239","3,426","2,903"
,,M,143,145,178,162,198,248,392,457,380,489,521,518,451,455,522,377,438,450,358,364,387,277,306,271,240,278,0,200,178,0,146,126,0,118,142,0,"3,353","3,608","2,954"
DEXTER X,Non Dairy,F,7,10,21,12,14,23,15,28,28,24,25,28,26,20,34,23,37,33,25,23,26,10,13,12,17,22,0,14,14,0,9,7,0,9,12,0,191,225,205
,,M,11,9,19,11,11,27,21,29,33,34,31,41,33,21,45,28,30,30,22,27,28,15,18,22,13,29,0,8,11,0,16,10,0,8,11,0,220,237,245
DWARF ZEBU,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
,,M,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
ENGLISH PARK,Non Dairy,F,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENGLISH PARK X,Non Dairy,F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ESTONIAN RED,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ESTONIAN RED CROSS,Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
FLECKVIEH,Dairy,F,1,2,0,0,0,1,0,0,2,2,9,4,2,7,3,2,2,8,2,7,9,0,5,2,2,7,0,1,7,0,1,7,0,0,3,0,13,56,29
,,M,0,0,0,0,0,0,0,0,1,4,1,1,2,0,1,3,6,5,2,3,1,4,5,6,4,4,0,2,3,0,0,4,0,0,3,0,21,29,15
FLECKVIEH CROSS,Dairy,F,9,18,34,10,14,29,24,26,37,18,19,38,15,18,35,15,20,64,10,30,61,24,47,70,26,63,0,20,42,0,20,48,0,24,36,0,215,381,368
,,M,13,20,39,11,18,28,28,21,30,20,18,34,16,15,40,21,28,41,16,21,59,23,54,65,23,46,0,21,60,0,23,35,0,15,36,0,230,372,336
FRISONA ESPAGNOLA,Dairy,F,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,2
,,M,4,0,7,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2,13
FRISONA ESPAGNOLA X,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
,,M,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3
GALLOWAY,Non Dairy,F,61,63,86,69,65,68,194,217,203,352,331,310,322,294,330,187,223,246,120,122,173,136,166,151,115,129,0,130,162,0,89,100,0,42,70,0,"1,817","1,942","1,567"
,,M,64,48,82,83,72,59,206,198,190,359,307,344,343,281,360,191,202,218,155,127,175,124,113,145,109,120,0,125,154,0,114,110,0,58,62,0,"1,931","1,794","1,573"
GALLOWAY X,Non Dairy,F,35,19,14,22,40,22,46,75,70,82,80,105,113,64,63,46,32,48,20,36,56,59,37,86,51,28,0,39,34,0,18,23,0,19,17,0,550,485,464
,,M,24,21,15,28,24,20,50,79,61,81,107,112,98,68,65,44,43,51,30,36,50,55,62,94,49,39,0,30,36,0,29,23,0,16,13,0,534,551,468
GASCONNE,Non Dairy,F,4,0,4,3,10,5,8,9,4,7,6,4,4,5,8,5,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,28
,,M,5,1,2,1,5,7,11,9,5,11,5,7,7,11,6,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,41,34,27
GASCONNE X,Non Dairy,F,0,1,0,1,1,1,1,4,1,5,2,4,0,1,3,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,9,15,9
,,M,0,1,0,1,1,1,0,3,0,2,1,2,2,2,1,1,4,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,14,6
GAYAL,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GELBVIEH,Non Dairy,F,8,5,9,9,5,8,20,17,30,32,27,16,12,15,28,19,13,12,23,14,18,13,17,4,13,13,0,8,1,0,8,3,0,6,4,0,171,134,125
,,M,9,6,7,10,10,3,15,19,20,32,26,16,19,19,24,16,18,13,18,16,18,7,15,11,14,14,0,8,2,0,3,4,0,2,4,0,153,153,112
GELBVIEH X,Non Dairy,F,30,20,19,20,22,14,88,54,67,78,46,95,85,37,60,38,45,51,38,33,46,28,15,22,30,16,0,28,19,0,32,16,0,18,8,0,513,331,374
,,M,50,16,8,20,27,24,95,67,64,72,50,86,97,40,51,36,37,39,34,32,53,33,24,26,29,18,0,12,19,0,35,17,0,14,6,0,527,353,351
GLOUCESTER,Non Dairy,F,7,13,11,7,28,24,27,35,33,31,31,23,31,29,22,50,17,19,16,14,16,10,12,15,12,2,0,7,9,0,8,4,0,3,13,0,209,207,163
,,M,11,8,13,12,16,18,34,38,29,18,32,30,26,24,16,26,12,20,18,20,14,7,11,9,6,5,0,6,8,0,1,11,0,3,7,0,168,192,149
GLOUCESTER X,Non Dairy,F,3,2,6,0,4,6,9,10,5,2,2,5,23,7,5,16,18,11,7,29,2,11,5,4,8,10,0,6,3,0,8,2,0,5,4,0,98,96,44
,,M,2,0,0,1,1,3,3,4,10,4,4,15,13,3,4,16,10,18,12,16,6,9,9,9,7,6,0,5,1,0,5,0,0,3,2,0,80,56,65
GRONINGER BLAARKOP X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GUERNSEY,Dairy,F,122,116,97,121,134,116,149,147,148,159,141,138,111,138,137,147,134,129,154,145,150,180,180,174,203,190,0,201,180,0,154,143,0,111,141,0,"1,812","1,789","1,089"
,,M,48,46,40,46,39,50,72,57,69,60,54,46,61,46,44,58,53,62,69,88,72,114,98,81,123,131,0,101,95,0,77,78,0,62,69,0,891,854,464
GUERNSEY X,Dairy,F,3,13,6,13,17,10,14,26,14,24,14,9,13,11,10,14,14,10,7,7,8,16,7,5,7,2,0,5,9,0,11,9,0,6,9,0,133,138,72
,,M,8,4,1,3,6,4,7,15,4,5,1,5,1,4,2,2,4,2,7,3,4,3,8,8,8,5,0,1,4,0,4,6,0,6,3,0,55,63,30
HECK,Non Dairy,F,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,5,2
,,M,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
HECK CROSS,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HEREFORD,Non Dairy,F,355,379,328,515,583,592,"1,279","1,335","1,474","1,342","1,364","1,741",997,"1,043","1,084",763,725,801,586,575,600,440,494,490,587,594,0,442,412,0,327,309,0,267,300,0,"7,900","8,113","7,110"
,,M,346,348,314,501,599,630,"1,230","1,367","1,463","1,440","1,461","1,767","1,038","1,101","1,121",706,742,886,608,602,628,441,486,480,577,625,0,431,436,0,328,364,0,269,281,0,"7,915","8,412","7,289"
HEREFORD X,Non Dairy,F,"1,891","1,986","1,971","2,500","2,801","2,726","4,295","4,696","4,595","4,593","4,761","4,749","3,573","3,705","4,081","2,773","3,087","3,142","2,711","2,779","3,020","2,551","2,820","2,848","2,480","2,704",0,"2,439","2,368",0,"2,093","2,054",0,"1,876","1,916",0,"33,775","35,677","27,132"
,,M,"2,112","2,124","1,955","2,690","2,845","2,745","4,497","4,819","4,667","4,811","4,993","5,210","3,670","3,927","4,305","2,982","3,121","3,373","2,783","2,898","3,086","2,643","3,010","2,949","2,632","2,825",0,"2,494","2,387",0,"2,125","2,116",0,"1,813","1,917",0,"35,252","36,982","28,290"
HIGHLAND,Non Dairy,F,138,91,131,184,205,158,501,492,501,808,690,697,607,544,548,377,394,370,261,243,312,145,170,131,132,129,0,90,83,0,64,61,0,51,36,0,"3,358","3,138","2,848"
,,M,161,120,117,161,184,154,439,445,445,704,770,704,555,526,519,385,363,382,233,269,282,156,172,128,150,119,0,77,101,0,66,73,0,31,34,0,"3,118","3,176","2,731"
HIGHLAND X,Non Dairy,F,13,11,14,26,17,23,32,27,38,62,59,69,54,71,68,43,54,60,39,43,36,17,33,37,23,23,0,12,31,0,9,9,0,7,30,0,337,408,345
,,M,21,16,14,16,16,22,18,24,32,81,81,73,54,77,62,35,48,65,26,28,44,21,27,20,18,21,0,17,17,0,15,17,0,9,36,0,331,408,332
HOLSTEIN,Dairy,F,"3,612","3,488","3,817","3,049","3,211","3,302","3,302","3,673","3,594","3,245","3,353","3,386","3,220","3,454","3,239","3,594","3,789","3,575","3,908","4,268","4,080","4,736","4,709","4,925","4,503","4,819",0,"4,569","4,357",0,"4,294","4,244",0,"3,779","4,193",0,"45,811","47,558","29,918"
,,M,"1,916","2,099","1,945","1,792","1,971","1,948","2,104","2,227","2,098","2,021","2,183","2,216","2,196","2,080","2,121","2,229","2,285","2,264","2,645","2,606","2,643","2,964","2,815","2,958","2,953","2,766",0,"2,797","2,443",0,"2,663","2,295",0,"2,338","1,980",0,"28,618","27,750","18,193"
HOLSTEIN FRIESIAN,Dairy,F,"21,011","20,318","20,583","18,185","19,575","19,892","19,978","20,432","21,483","19,071","19,354","20,043","18,685","18,746","19,833","20,854","21,145","20,879","24,360","25,304","25,500","29,161","30,317","30,336","30,137","31,013",0,"26,762","26,864",0,"25,504","25,809",0,"21,937","22,892",0,"275,645","281,769","178,549"
,,M,"14,994","16,998","15,257","14,613","16,683","15,335","16,269","17,938","17,026","16,387","16,570","16,247","16,232","16,815","16,407","18,322","18,608","17,428","21,665","21,573","21,213","24,881","24,552","25,108","26,227","24,565",0,"23,046","20,861",0,"21,514","19,155",0,"18,381","16,141",0,"232,531","230,459","144,021"
HOLSTEIN FRIESIAN X,Dairy,F,"1,286","1,296","1,348","2,021","2,461","2,770","1,870","1,910","2,540","1,371","1,434","1,521","1,083","1,205","1,334","1,141","1,181","1,336","1,310","1,467","1,628","1,921","2,111","2,083","2,074","2,211",0,"1,637","1,651",0,"1,344","1,379",0,"1,133","1,274",0,"18,191","19,580","14,560"
,,M,"1,031","1,093","1,051","1,592","2,131","2,122","1,492","1,936","1,952","1,278","1,346","1,376","1,137","1,048","1,177","1,102","1,037","1,132","1,352","1,363","1,522","1,838","1,897","2,000","2,023","1,818",0,"1,656","1,464",0,"1,283","1,235",0,"1,095","1,052",0,"16,879","17,420","12,332"
HOLSTEIN X,Dairy,F,228,231,258,234,306,264,247,307,294,266,240,276,204,242,243,279,226,303,283,288,316,339,325,479,419,336,0,315,310,0,311,288,0,255,198,0,"3,380","3,297","2,433"
,,M,152,162,190,190,223,225,192,192,224,219,198,174,180,222,220,253,199,185,260,254,260,213,231,356,304,250,0,282,202,0,234,196,0,175,157,0,"2,654","2,486","1,834"
IRISH MOILED,Non Dairy,F,6,10,3,6,2,4,9,10,16,13,13,14,20,9,6,7,9,9,7,4,4,5,5,3,5,6,0,4,4,0,3,0,0,0,1,0,85,73,59
,,M,4,5,3,5,1,0,18,14,6,11,26,11,12,11,11,4,1,5,2,7,10,4,2,5,4,4,0,2,4,0,1,2,0,1,4,0,68,81,51
IRISH MOILED X,Non Dairy,F,3,3,3,2,1,1,7,2,7,5,7,1,3,8,4,3,6,3,2,1,0,4,3,1,1,0,0,3,3,0,0,0,0,1,0,0,34,34,20
,,M,0,6,2,2,7,4,5,3,6,2,4,4,5,8,3,4,3,4,0,7,3,1,6,0,8,2,0,2,3,0,0,1,0,2,1,0,31,51,26
JERSEY,Dairy,F,746,698,653,"1,133","1,098","1,110","1,206","1,332","1,272","1,051","1,083",916,817,763,760,877,776,733,932,"1,030",909,"1,239","1,346","1,164","1,242","1,185",0,"1,078",987,0,910,876,0,770,704,0,"12,001","11,878","7,517"
,,M,109,128,107,299,289,235,296,301,323,184,249,195,162,166,163,219,183,149,248,221,163,281,219,277,295,235,0,262,192,0,227,150,0,152,110,0,"2,734","2,443","1,612"
JERSEY X,Dairy,F,374,454,568,"2,118","2,797","3,317","1,365","1,938","1,947",611,817,835,264,353,368,209,251,255,242,258,211,578,502,528,627,589,0,397,416,0,219,243,0,162,182,0,"7,166","8,800","8,029"
,,M,83,158,126,472,625,745,385,576,611,140,238,267,96,96,134,94,81,85,87,90,90,211,176,211,235,190,0,132,134,0,82,103,0,52,86,0,"2,069","2,553","2,269"
KERRY,Dairy,F,0,0,2,0,1,1,0,2,0,1,1,5,0,0,1,1,0,4,2,1,3,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,6,9,17
,,M,0,1,3,1,0,0,2,0,1,4,6,1,2,3,3,2,3,4,1,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,14,16,13
KERRY X,Dairy,F,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,3,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
,,M,0,0,0,0,0,0,0,1,2,0,3,1,1,0,0,1,0,2,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11
LIMOUSIN,Non Dairy,F,"2,017","2,016","2,054","2,019","2,206","2,234","4,265","4,472","4,624","6,389","6,554","6,441","5,302","5,668","5,690","3,588","3,839","3,702","2,519","2,857","2,873","1,944","2,248","2,058","1,996","2,207",0,"1,970","1,976",0,"2,026","1,675",0,"1,405","1,590",0,"35,440","37,308","29,676"
,,M,"1,947","1,922","2,062","2,016","2,252","2,161","4,223","4,534","4,565","6,295","6,680","6,510","5,406","5,588","5,757","3,694","3,982","3,858","2,758","2,988","2,896","2,053","2,136","2,061","2,068","2,299",0,"2,061","2,064",0,"1,965","1,671",0,"1,520","1,539",0,"36,006","37,655","29,870"
LIMOUSIN X,Non Dairy,F,"11,483","11,540","11,217","13,581","14,053","14,101","31,672","32,567","32,954","42,108","42,611","43,454","35,148","35,808","35,485","22,834","22,983","22,487","16,903","17,805","17,397","15,047","15,905","15,073","14,680","15,652",0,"13,812","13,365",0,"12,323","11,429",0,"9,795","10,262",0,"239,386","243,980","192,168"
,,M,"11,706","11,615","11,297","13,666","13,842","13,907","31,539","32,558","32,463","43,218","43,192","44,184","35,829","36,999","36,839","23,520","24,031","23,050","17,164","18,538","17,858","15,305","16,243","15,411","15,214","16,211",0,"14,352","13,852",0,"12,708","11,410",0,"9,842","10,333",0,"244,063","248,824","195,009"
LINCOLN RED,Non Dairy,F,71,57,79,145,166,206,279,284,313,186,264,266,109,155,157,79,74,87,55,57,57,37,41,37,28,33,0,27,30,0,27,19,0,22,35,0,"1,065","1,215","1,202"
,,M,56,63,89,109,174,173,252,293,308,214,293,291,133,138,116,80,54,66,58,50,57,29,43,31,29,23,0,24,30,0,24,16,0,26,23,0,"1,034","1,200","1,131"
LINCOLN RED X,Non Dairy,F,34,49,68,38,100,95,100,125,155,119,118,133,86,90,113,78,62,64,31,35,37,37,52,30,30,39,0,27,30,0,21,29,0,27,48,0,628,777,695
,,M,20,48,68,35,142,82,97,162,137,87,133,105,94,87,126,70,65,61,44,46,38,29,28,20,32,45,0,26,32,0,26,39,0,31,47,0,591,874,637
LONGHORN,Non Dairy,F,91,103,92,119,150,136,362,363,379,384,369,490,285,295,313,180,186,161,135,162,185,119,107,131,63,84,0,61,82,0,46,38,0,39,50,0,"1,884","1,989","1,887"
,,M,90,82,84,137,133,132,312,358,360,363,400,477,279,313,339,170,182,171,134,148,162,107,116,125,59,75,0,60,74,0,51,57,0,38,53,0,"1,800","1,991","1,850"
LONGHORN X,Non Dairy,F,31,13,23,57,34,33,120,98,74,82,101,93,86,98,79,59,63,66,39,68,55,35,51,63,22,49,0,14,34,0,18,20,0,9,17,0,572,646,486
,,M,29,10,27,36,43,29,105,85,76,87,120,73,72,84,68,52,64,73,46,60,55,57,48,48,29,41,0,22,35,0,17,19,0,19,23,0,571,632,449
LUING,Non Dairy,F,14,20,16,46,51,44,612,714,653,577,573,731,267,365,366,105,131,138,57,59,81,22,19,22,22,22,0,21,10,0,17,18,0,13,14,0,"1,773","1,996","2,051"
,,M,11,11,7,42,43,29,604,660,592,611,665,773,348,342,396,113,150,117,51,52,79,19,28,35,25,26,0,19,7,0,11,18,0,9,13,0,"1,863","2,015","2,028"
