Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,"2,646","3,275","2,886","2,902","3,356","2,961","3,462","3,969","3,804","3,161","3,468","3,399","2,973","3,158","3,075","3,234","3,379","3,325","3,777","3,669","3,909","4,140","3,860","4,361","4,132","3,684",0,"4,151","3,260",0,"3,710","3,148",0,"3,201","2,713",0,"41,489","40,939","27,720"
,Non Dairy,F,"7,348","7,586","7,766","10,879","11,767","11,474","37,587","39,473","39,145","50,511","51,060","54,079","38,080","38,459","39,050","20,176","20,486","20,297","12,840","12,938","13,823","12,561","13,089","12,696","13,395","14,099",0,"11,425","10,917",0,"10,389","9,502",0,"5,742","6,247",0,"230,933","235,623","198,330"
,,M,"7,339","7,716","7,804","10,713","11,281","11,035","37,149","38,974","38,603","51,757","52,899","55,613","39,651","40,581","41,170","20,678","21,428","21,344","13,155","13,604","14,471","12,790","13,303","13,115","14,016","14,672",0,"11,939","11,392",0,"10,232","9,713",0,"5,947","6,539",0,"235,366","242,102","203,155"
South East,Dairy,F,"1,287","1,175","1,247","1,300","1,331","1,413","1,169","1,149","1,219",977,997,"1,049",947,"1,127","1,012","1,177","1,165","1,176","1,635","1,762","1,548","3,321","3,297","3,118","4,009","3,825",0,"2,383","2,314",0,"1,776","1,987",0,"1,522","1,438",0,"21,503","21,567","11,782"
,,M,"1,020","1,018","1,019","1,185","1,173","1,055",993,"1,012","1,046",851,882,826,799,942,782,912,944,"1,001","1,353","1,323","1,228","2,819","2,586","2,610","3,671","3,338",0,"2,072","1,971",0,"1,555","1,602",0,"1,204","1,131",0,"18,434","17,922","9,567"
,Non Dairy,F,"2,316","2,386","2,270","3,619","4,154","3,952","7,924","8,544","8,482","8,165","8,019","8,141","5,268","5,451","5,326","3,351","3,007","2,779","2,500","2,574","2,358","2,589","2,925","2,772","2,808","3,079",0,"2,859","2,758",0,"2,291","2,351",0,"1,974","2,205",0,"45,664","47,453","36,080"
,,M,"2,282","2,251","2,313","3,529","4,090","3,996","7,819","8,798","8,723","8,473","8,280","8,407","5,355","5,641","5,635","3,386","3,346","3,148","2,652","2,715","2,509","2,702","2,984","2,785","3,056","3,119",0,"2,963","2,865",0,"2,485","2,521",0,"2,051","2,299",0,"46,753","48,909","37,516"
South West,Dairy,F,"9,152","8,833","9,024","10,792","11,333","12,151","10,457","11,260","11,761","8,799","9,202","9,453","8,527","8,466","8,601","8,705","8,857","8,685","10,122","10,595","10,391","12,820","13,791","13,667","13,713","14,189",0,"11,676","12,263",0,"10,861","11,031",0,"9,239","9,858",0,"124,863","129,678","83,733"
,,M,"6,138","6,969","6,439","7,579","8,896","8,550","7,751","9,475","8,924","7,028","7,737","7,383","6,989","7,121","6,833","7,335","7,554","6,814","8,801","8,915","8,262","10,870","10,750","10,894","11,610","11,137",0,"10,011","9,252",0,"8,945","8,272",0,"7,729","6,917",0,"100,786","102,995","64,099"
,Non Dairy,F,"7,906","8,165","8,069","10,040","10,454","10,607","20,583","20,579","20,947","24,182","25,341","25,728","19,738","19,909","20,617","14,193","14,079","13,885","11,962","12,541","12,275","10,802","11,604","11,516","10,870","11,136",0,"9,712","9,868",0,"8,555","8,581",0,"7,396","7,764",0,"155,939","160,021","123,644"
,,M,"8,206","8,353","8,550","10,403","10,603","11,079","20,701","21,227","21,763","25,061","26,307","26,755","20,528","20,478","21,915","14,726","14,884","14,490","12,632","13,416","12,908","11,387","12,183","12,035","11,492","11,994",0,"10,263","10,155",0,"8,934","8,825",0,"7,742","8,171",0,"162,075","166,596","129,495"
Wales,Dairy,F,"4,295","4,681","4,815","6,629","7,412","7,628","6,158","6,551","7,133","5,194","5,392","5,572","4,257","4,545","4,731","4,428","4,549","4,616","4,786","5,004","5,159","5,884","6,429","6,494","6,579","6,669",0,"5,776","5,842",0,"5,432","5,302",0,"4,356","4,655",0,"63,774","67,031","46,148"
,,M,"3,001","3,443","3,267","4,179","5,477","5,317","4,258","4,949","5,178","4,152","4,230","4,279","3,525","3,829","4,070","3,886","3,706","3,843","4,227","4,117","4,213","4,612","5,002","5,136","5,312","5,140",0,"4,756","4,313",0,"4,327","3,990",0,"3,378","3,222",0,"49,613","51,418","35,303"
,Non Dairy,F,"5,444","5,563","5,267","5,687","6,182","6,006","11,452","11,726","12,291","19,054","18,693","19,941","17,568","18,681","19,008","12,889","13,187","13,215","9,028","9,977","10,692","7,852","8,555","8,306","7,029","7,623",0,"6,701","6,825",0,"5,568","5,333",0,"5,060","5,089",0,"113,332","117,434","94,726"
,,M,"5,579","5,781","5,690","5,727","6,334","6,052","11,342","12,106","12,014","19,450","19,410","20,005","18,147","19,562","19,636","13,570","13,850","13,712","9,467","10,331","10,959","8,272","8,931","8,740","7,529","8,147",0,"7,026","7,113",0,"5,815","5,441",0,"5,099","5,436",0,"117,023","122,442","96,808"
West Midlands,Dairy,F,"3,622","3,475","3,575","4,174","4,299","4,889","3,894","4,314","4,300","3,472","3,615","3,755","3,330","3,144","3,317","3,402","3,511","3,309","3,676","3,961","4,001","4,542","4,553","4,739","4,749","4,892",0,"4,426","4,406",0,"4,098","4,149",0,"3,655","3,714",0,"47,040","48,033","31,885"
,,M,"2,410","2,825","2,371","2,728","3,138","3,153","3,066","3,320","2,997","2,709","2,896","2,740","2,736","2,743","2,623","2,816","2,804","2,601","3,182","3,273","3,109","3,550","3,390","3,584","3,883","3,686",0,"3,533","3,096",0,"3,372","2,874",0,"2,782","2,472",0,"36,767","36,517","23,178"
,Non Dairy,F,"3,686","3,902","3,825","4,322","5,113","4,996","8,975","9,780","9,716","10,493","10,716","10,934","8,098","8,319","8,642","6,126","6,395","6,367","5,160","5,628","5,314","4,175","4,669","4,558","4,258","4,799",0,"4,215","4,214",0,"3,740","3,564",0,"3,359","3,467",0,"66,607","70,566","54,352"
