,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
HIGHLAND X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,1
,,M,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2
HOLSTEIN,Dairy,F,163,138,148,117,115,125,117,112,131,81,106,122,83,80,71,77,72,62,94,71,0,95,84,0,70,89,0,74,104,0,99,121,0,120,126,,"1,190","1,218",659
,,M,146,124,107,131,132,100,96,68,108,94,87,77,85,98,83,73,86,54,74,76,0,84,69,0,111,81,0,83,85,0,117,100,0,112,120,,"1,206","1,126",529
HOLSTEIN FRIESIAN,Dairy,F,959,711,823,632,743,704,683,614,736,490,604,620,440,511,475,418,488,363,492,414,0,537,562,0,553,599,0,529,659,0,622,740,0,766,810,,"7,121","7,455","3,721"
,,M,"1,018",854,901,705,796,842,750,788,817,641,784,803,575,666,562,542,588,417,566,639,0,639,720,0,722,689,0,744,839,0,789,866,0,903,945,,"8,594","9,174","4,342"
HOLSTEIN FRIESIAN X,Dairy,F,53,32,37,60,49,89,84,79,130,53,65,105,41,32,30,29,31,22,18,23,0,37,25,0,58,48,0,26,46,0,37,57,0,44,61,,540,548,413
,,M,51,67,75,62,140,187,90,145,188,54,108,100,34,73,52,28,55,36,20,46,0,48,40,0,65,59,0,51,69,0,60,82,0,64,70,,627,954,638
HOLSTEIN X,Dairy,F,10,10,13,6,9,12,11,12,15,6,6,13,5,11,8,7,5,7,4,3,0,7,7,0,9,10,0,6,15,0,12,9,0,17,9,,100,106,68
,,M,12,22,16,2,12,12,5,16,15,4,13,8,7,8,8,6,12,3,3,10,0,15,9,0,13,21,0,18,13,0,24,6,0,20,14,,129,156,62
IRISH MOILED,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,2,0
,,M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1
IRISH MOILED X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0
JERSEY,Dairy,F,50,32,35,44,55,39,63,64,77,53,49,52,28,36,17,16,21,19,27,19,0,22,29,0,32,27,0,23,31,0,36,49,0,44,39,,438,451,239
,,M,15,6,10,11,19,28,34,31,26,15,24,22,18,14,10,5,13,14,10,13,0,9,16,0,19,9,0,20,22,0,16,27,0,11,17,,183,211,110
JERSEY X,Dairy,F,4,12,7,34,92,73,82,112,136,39,53,74,21,24,12,13,6,1,8,4,0,7,9,0,6,16,0,13,14,0,11,10,0,11,8,,249,360,303
,,M,11,4,11,23,75,107,29,67,75,29,10,33,10,8,6,11,5,4,2,3,0,8,2,0,6,9,0,10,11,0,9,7,0,6,6,,154,207,236
KIWI,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
KIWI CROSS,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
LIMOUSIN,Non Dairy,F,29,28,13,35,40,31,35,47,39,47,66,62,52,46,50,44,30,25,24,23,0,13,16,0,18,14,0,10,10,0,16,27,0,17,19,,340,366,220
,,M,37,31,31,27,35,26,46,46,48,64,75,79,75,57,58,41,34,41,26,31,0,16,16,0,14,17,0,18,17,0,19,35,0,22,24,,405,418,283
LIMOUSIN X,Non Dairy,F,211,142,133,179,191,144,294,296,268,375,358,398,299,366,323,191,213,159,102,117,0,127,121,0,88,95,0,110,120,0,144,127,0,146,175,,"2,266","2,321","1,425"
,,M,260,186,204,185,223,199,352,292,320,436,389,498,343,417,477,234,264,197,141,162,0,134,132,0,138,116,0,140,168,0,190,177,0,199,224,,"2,752","2,750","1,895"
LINCOLN RED,Non Dairy,F,1,0,0,0,1,0,2,4,2,1,6,9,2,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,6,15,14
,,M,0,1,2,2,1,6,3,2,2,4,2,2,1,1,6,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,,11,12,19
LINCOLN RED X,Non Dairy,F,1,1,0,0,1,1,1,0,3,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,4,5,7
,,M,0,0,2,0,0,1,2,2,2,2,2,2,0,1,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,,7,9,11
LONGHORN,Non Dairy,F,1,0,1,0,1,0,4,4,3,1,5,2,4,2,3,1,0,0,2,3,0,3,1,0,0,0,0,0,2,0,1,1,0,0,1,,17,20,9
