Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,14/05/2017,MAILGUN.COM,798.92,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  its customers
HM Revenue & Customs,HM Revenue & Customs,22/05/2017,CLOUDABILITY,736.85,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  its customers
