Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Information Technology,3304,Covid19,30/04/2020,0000227925,1185.00,Revenue,Nss Partners Limited,15033
Rushmoor Borough Council,Democratic Services,1327,Postages,30/04/2020,0000227930,2878.50,Revenue,Quadient Uk Ltd,12328
Rushmoor Borough Council,Democratic Services,1327,Postages,30/04/2020,0000227933,1922.01,Revenue,Royal Mail,00821
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,30/04/2020,0000227935,1300.00,Control Accounts,S & T Property Lettings Ltd,13780
Rushmoor Borough Council,Legal,1210,Temporary Staff,30/04/2020,0000227937,480.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,30/04/2020,0000227937,480.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,30/04/2020,0000227938,528.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Temporary Staff,30/04/2020,0000227938,528.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Customer Services,3806,Software Maintenance,30/04/2020,0000227942,3750.00,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Community,2565,Trade Refuse,30/04/2020,0000227944,705.00,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2565,Trade Refuse,30/04/2020,0000227946,380.70,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Holding Accounts,9436,Insurance,30/04/2020,0000227948,1500.00,Holding Accounts,Fareham Borough Council,01638
Rushmoor Borough Council,Legal,1203,Temporary Staff,30/04/2020,0000227954,330.00,Revenue,The Oyster Partnership Limited,13970
Rushmoor Borough Council,Community,6518,Contract Costs,30/04/2020,0000227960,5085.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Community,2555,Residents Survey,30/04/2020,0000227965,386.30,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Residents Survey,30/04/2020,0000227965,386.30,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Residents Survey,30/04/2020,0000227965,386.30,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Residents Survey,30/04/2020,0000227965,386.29,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Residents Survey,30/04/2020,0000227965,386.30,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,30/04/2020,0000227966,622.07,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,30/04/2020,0000227966,1430.96,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Amenity Base,30/04/2020,0000227966,7877.08,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,30/04/2020,0000227966,9666.66,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,30/04/2020,0000227966,32279.42,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Routine Playground Inspections,30/04/2020,0000227966,2088.41,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Anciliary Costs,30/04/2020,0000227966,259.10,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,30/04/2020,0000227966,814.10,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,30/04/2020,0000227966,4134.40,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Anciliary Costs,30/04/2020,0000227966,663.97,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Prospect Estate Base,30/04/2020,0000227966,3216.55,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Base,30/04/2020,0000227966,16088.76,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Environmental Health and Housing,2247,Equipment Maintenance,30/04/2020,0000227969,304.56,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,Equipment Maintenance,30/04/2020,0000227971,432.00,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,30/04/2020,0000227972,1311.10,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Holding Accounts,9436,Insurance,30/04/2020,0000227979,31182.27,Holding Accounts,Aon Uk Limited,13593
Rushmoor Borough Council,Holding Accounts,9436,Insurance,30/04/2020,0000227980,7919.90,Holding Accounts,Aon Uk Limited,13593
Rushmoor Borough Council,Holding Accounts,9436,Insurance,30/04/2020,0000227981,23688.00,Holding Accounts,Aon Uk Limited,13593
Rushmoor Borough Council,Holding Accounts,9436,Insurance,30/04/2020,0000227982,72360.43,Holding Accounts,Aon Uk Limited,13593
Rushmoor Borough Council,Holding Accounts,9436,Insurance,30/04/2020,0000227983,47121.35,Holding Accounts,Aon Uk Limited,13593
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,30/04/2020,0000227990,1150.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,30/04/2020,0000227991,1050.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Financial Services,3401,Books and Publications,30/04/2020,0000228002,3700.00,Revenue,Cipfa Business Limited,10642
Rushmoor Borough Council,Community,2543,Aldershot Christmas Lights,30/04/2020,0000228006,800.00,Revenue,Height For Hire Ltd,15616
Rushmoor Borough Council,Legal,1213,Temporary Staff,30/04/2020,0000228007,792.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Temporary Staff,30/04/2020,0000228007,792.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,30/04/2020,0000228008,2720.00,Revenue,Pjk Solutions Ltd,14615
Rushmoor Borough Council,Community,2535,Citizens Advice Bureau Grant,30/04/2020,0000228013,219540.00,Revenue,Rushmoor Citizens Advice Bureaux,01780
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013379,7773.60,Capital,Top Notch Building Services,09540
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013380,699.62,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013381,1126.44,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013382,10430.00,Capital,A And E Builders,15180
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013383,4015.00,Capital,Closomat Limited,15372
Rushmoor Borough Council,Control Accounts,9378,Hawley Meadows SAMM Contribution,02/04/2020,0080013387,399.00,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9378,Hawley Meadows SANG Contribution,02/04/2020,0080013388,3640.00,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9343,Rowhill Samm Contribution,02/04/2020,0080013389,2488.00,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9377,Southwood 2 SAMM Contribution,02/04/2020,0080013390,103490.00,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9325,Bramshot Farm SAMM Cntribution,02/04/2020,0080013391,116689.64,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013400,3412.80,Capital,Wilds Construction Ltd,14643
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013401,4960.00,Capital,R H Collings & Son,12238
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013402,4344.00,Capital,A And E Builders,15180
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013403,14392.18,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,02/04/2020,0080013404,2407.14,Capital,Bjc Design,14608
Rushmoor Borough Council,Community,2535,Grant,02/04/2020,0080013406,82570.00,Revenue,Farn & Cove War Memorial Hospital Trust,01753
Rushmoor Borough Council,Community,2537,Car Park Refunds,09/04/2020,0080013413,10287.38,Revenue,Shaftesbury Investments Ltd,13992
Rushmoor Borough Council,Environmental Health and Housing,6400,Discretionary Adaptations (BCF),09/04/2020,0080013415,311.21,Capital,Stannah Stairlift,00935
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,09/04/2020,0080013418,5335.00,Capital,Liftability Limited,03780
Rushmoor Borough Council,Planning,2604,Planning Fee Refund,09/04/2020,0080013421,18950.50,Revenue,Legal And General Property Partners Ltd,15815
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,07/04/2020,0080013425,1396.00,Control Accounts,John Campbell,15756
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,07/04/2020,0080013426,1346.58,Revenue,Mr I Aa Cardoso,15816
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,09/04/2020,0080013427,520.00,Control Accounts,S & T Property Lettings Ltd,13780
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,09/04/2020,0080013428,900.00,Control Accounts,Hometown Living Ltd,15819
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,16/04/2020,0080013429,1500.00,Capital,Handicare Accessibility Ltd,13797
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,16/04/2020,0080013430,4165.00,Capital,Handicare Accessibility Ltd,13797
Rushmoor Borough Council,Strategy and Communiations,1415,Apprenticeship Levy,16/04/2020,0080013431,2751.00,Revenue,Hm Revenue & Customs,00489
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,16/04/2020,0080013436,4549.00,Capital,Primalscape,15820
Rushmoor Borough Council,Legal,1208,Rents Received,16/04/2020,0080013441,3995.96,Revenue,L & C Investment Ltd,04440
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,15/04/2020,0080013443,419.00,Revenue,B A Developments,10756
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,16/04/2020,0080013447,450.00,Control Accounts,Hometown Living Ltd,15819
Rushmoor Borough Council,Legal,1235,Other Disbursements,23/04/2020,0080013450,3970.70,Revenue,Famous Door Ltd,15549
Rushmoor Borough Council,Community,2513,Direct Grants,23/04/2020,0080013454,400.00,Revenue,Vine Day Centre,12343
Rushmoor Borough Council,Environmental Health and Housing,2203,Professional Subscriptions,23/04/2020,0080013455,310.00,Revenue,Institute Of Licensing Ltd,09256
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,23/04/2020,0080013456,295.00,Revenue,C R Chandler,15827
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,20/04/2020,0080013457,1147.50,Revenue,B A Developments,10756
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,23/04/2020,0080013458,1745.20,Control Accounts,B A Developments,10756
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,23/04/2020,0080013459,433.33,Control Accounts,S & T Property Lettings Ltd,13780
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,30/04/2020,0080013462,275.00,Revenue,Ms Karen Bigwood,15829
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,30/04/2020,0080013463,529.09,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,30/04/2020,0080013464,350.00,Capital,Primalscape,15820
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,28/04/2020,0080013466,1745.20,Control Accounts,Martin And Co,10511
Rushmoor Borough Council,Personnel & Payroll,1415,Health Care,30/04/2020,12,1151.28,Revenue,National Deposit,DD1
Rushmoor Borough Council,All Services,9347,Staff Rail Travel,30/04/2020,15,334.5,Control Accounts,Rail Settlement Plan,DD2
Rushmoor Borough Council,Customer Services,1327,Telephones,30/04/2020,68,336.39,Revenue,Southern Communities,DD3
Rushmoor Borough Council,Community,2518,Princes Hall Spektrix,30/04/2020,58,536.58,Revenue,Spektrix,DD4
