Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,13/10/22,AIT MMC,1428.20,TRAVEL,Flights required for staff working overseas
HM Revenue & Customs,HM Revenue & Customs,20/10/22,PRECISION AIR SERVICES,601.03,TRAVEL,Flights required for staff working overseas
,,,,,,
