OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,Year,Provisional,TotalGDHIPoundsBillion,GDHIPoundsPerHead,GDHIPoundsPerHeadIndex_PercentageOfUK
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:18,2019-01-01T00:00:07,2019-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2019,,2.665,18806,87.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:19,2019-01-01T00:00:07,2019-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2019,,1.558,15694,73.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:20,2019-01-01T00:00:07,2019-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2019,,2.242,19175,89.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:21,2019-01-01T00:00:07,2019-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2019,,1.652,17389,81
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:22,2019-01-01T00:00:07,2019-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2019,,3.085,21660,100.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:23,2019-01-01T00:00:07,2019-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2019,,1.878,19633,91.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:24,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2018,,13.907,18400,87.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:25,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2018,,1.212,17465,83.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:26,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2018,,2.577,18309,87.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:27,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2018,,1.515,15296,72.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:28,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2018,,2.193,18911,90
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:29,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2018,,1.642,17476,83.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:30,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2018,,2.952,20811,99
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:31,2018-01-01T00:00:07,2018-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2018,,1.816,19145,91.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:32,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2017,,13.287,17689,87.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:33,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2017,,1.181,17238,85.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:34,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2017,,2.428,17378,86.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:35,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2017,,1.448,14714,73.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:36,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2017,,2.103,18254,90.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:37,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2017,,1.599,17141,85.2
