DfENumber,SchoolName,Year,Places,PlaceAllocated,PlaceRefused,PlaceWithdrawn,WithdrawnFromProcess,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment Sibling,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8163229,Archbishop Of Yorks Ce Junior,2016,60,63,0,3,0,63,3,0,0,0,0,1,48,6,11,0,0,0,0,0,66
8162002,Carr Junior School,2016,90,75,0,1,3,78,1,0,0,0,0,0,61,4,14,0,0,0,0,0,79
