TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-04-01,WWW.ETHNICJOBSITE.CO.U,630,9053511819
2020-04-03,AWS EMEA,922.92,9058870829
2020-04-07,FULPRINT LTD,"1,816.01",9064765909
2020-04-16,PRODUCTPLAN.COM,"1,164.34",7148403826
2020-04-16,HAYMARKET MEDIA GROUP,954,7148335958
2020-04-20,BIONATIVA LTD,"2,232.44",7153336254
2020-04-24,WWW.STAGEONE.CO.UK,"4,498.20",7161642948
