Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Richard Holden,2022-12-06,AA,"To discuss AA's key priorities including smart motorway stocktake, safety issues, electrification, review of red flashing lights. ",,,,,,,,,,,,,,,,,,,,,,
Richard Holden,2022-12-06,RAC,"To discuss RAC background and campaigning, potholes, smart motorways review, electric vehicle infrastructure. ",,,,,,,,,,,,,,,,,,,,,,
Richard Holden,2022-12-13,First Group,"To discuss the outcome of First Group's 'Social Value Report 2022' as well as general issues facing the sector (Long-term funding, £2 bus fare cap, Driver shortages)",,,,,,,,,,,,,,,,,,,,,,
Richard Holden,2022-12-13,"Daniel Zeichner MP, Licensed Taxi Drivers Association, Veezu, Comcab, FreeNow, LTDA, Gett, HMRC",To discuss Taxi and Private hire services paying of VAT on fares,,,,,,,,,,,,,,,,,,,,,,
Richard Holden,2022-12-14,"Scottish Government, Stagecoach, FirstBus Scotland, Lothian, McGill's, West Coast Motors, Citylink, Confederation fo Passenger Transport (CPT), Community Transport Association, Bus Users Scotland, Transport Focus, Association of Transport Co-ordinating Officers (ATCO), Convention of Scottish Local Authorities (CoSLA), Strathcylde Partnership for Transport (SPT), HiTRANS","Second meeting of Bus Taksforce organised by Scottish Government to discuss Skilled Worker Visas, CPC training and driving examiners. ",,,,,,,,,,,,,,,,,,,,,,
Richard Holden,2022-12-14,Logistics UK,"To discuss energy cost and supply, Future of Freight and driver facilities, Generation Logistics",,,,,,,,,,,,,,,,,,,,,,
Richard Holden,2022-12-15,Sussex Police,To discuss road safety matters related to the THINK! Campaign as part of a wider visit. ,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-18,Arup,A pre meeting to discuss the national aviation security committee,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-18,2Excel,To discuss the implications of the closure of Doncaster Sheffield Airport,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-19,Conferderation of Passenger Transport,To discuss key issues the bus sector is facing,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-19,EasyJet,For an introductory meeting and to touch on Airspace Modernisation and how Easyjet is operating,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-19,Peel Group,To discuss the implications of the closure of Doncaster Sheffield Airport,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-21,UKSA,"To find out more about what UKSA do, how they work with DfT, and if there is anything HM Government can do better to help",,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-24,Jet2,To understand any issues Jet2 are facing and an introductory chat to discuss how HM Government can support them.,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-24,AirlinesUK,"To discuss sustainable aviation fuels and the spending review, aswell as an introductory chat with the Aviation Minister",,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-10-27,Heathrow,"An introductory meeting with the new Aviation Minister aswell as to discuss Jet Zero Council, Sustainable Aviation Fuels and zero-emissions work",,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-03,Peel Group,To discuss the implications of the closure of Doncaster Sheffield Airport,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-03,Heathrow,For an introductory meeting as the new Aviation Minister aswell as a discussion on ground handling ,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-07,Gatwick ,For an introductory meeting as the new Aviation Minister and to discuss concerns and priorities,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-14,Manchester Airport Holdings,"For an introductory meeting as the new Aviation Minister and to where MAG can support the government and work together to drive economic growth and improve Britain’s global 
competitiveness.",,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-17,Port of Dover,Baroness Vere was representing the Department for Transport and UK Government at COP27,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-21,Birmingham Airport,For an introductory meeting as the new Aviation Minister to touch on ground handlers and how the airport is doing post-COVID,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-21,ADS,For an introductory meeting as the new Aviation Minister and understanding any issues ADS’s members are currently facing,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-22,Business Travel Association,For an introductory meeting as the new Aviation Minister and to explain the CEO's role in Business Travel Association,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-23,ANI,To discuss Colombian rail infrastructure ,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-24,John Laing Group,To discuss Colombian transport projects,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-24,Arup,To discuss the Colombian Rail Mission,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-24,"Metro de Bogotá, ProPacifico, Financiera de Desarrollo Nacional, Ferrocarril de Antioquia",To discuss the Rail Mission to the UK,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-25,Bogota Metro Company,To discuss Colombia-UK PACT programme,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-25,Port of Cartagena,To discuss the operations of the Port of Cartagena,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-25,"Crossrail International, Metro de Bogotá, ProPacifico, Financiera de Desarrollo Nacional (FDN), Promotora Ferrocarril de Antioquia, CJB",Meeting with the UK transport companies operating in Colombia to discuss Crossrail International,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-28,Aviation Envrionment Federation,For an introductory meeting as the new Aviation Minister and to discuss noise and airspace modernisation,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-28,The British Port Association,To introduce key maritime stakeholders to the Minister for Maritime and take time to understand their top priorities for the sector.  For an introductory meeting as the new Maritime Minister,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-28,FlyingDisabled,For an introductory meeting as the new Aviation Minister and to discuss how HM Government can improve accessibility on flights,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-28,UK Major Ports,To discuss how HM Government can work with UK Major ports and for an introductory meeting as the new Maritime Minister,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-29,MaritimeLondon,"For an introductory meeting as the new Maritime Minister and to discuss Maritime Professional Services, wider financing opportunities and carbon transition",,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-30,British Airline Pilots' Association,"To discuss how they benefit the aviation sector, aswell as an introductory meeting with the Aviation Minister.",,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-11-30,United Airlines,To discuss Sustainable Aviation Fuels and the Jet Zero Council aswell as discussing how United Airlines is operating and a introductory meeting as the new Aviation Minister,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-12-01,MaritimeUK,For an introductory meeting as the new Maritime Minister and to discuss MaritimeUK's priorities.,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-12-01,Assocation of Airports,For an introductory meeting as the new Aviation Minister and to explain AOA's role.,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-12-05,UK Chamber of Shipping,For an introductory meeting as the new Maritime Minister and to understand their top priorities.,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-12-06,CMA-CGM,An introduction to the CMA-CGM group and for an introductory meeting as the new Maritime Minister,,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-12-12,TUI,"For an introductory meeting as the new Aviation Minister, to discuss Aviation Council and ATOL reform",,,,,,,,,,,,,,,,,,,,,,
Charlotte Vere,2022-12-13,DFDS,To discuss Seafarers and an introductory meeting.,,,,,,,,,,,,,,,,,,,,,,
