Special Adviser,Date,Gift,Given or received,Who gift was given to or received from,Value (£),"Outcome 
(received gifts only)",
Paul Holmes,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Flora Rose ,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Dylan Sharpe ,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Hudson Roe,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
,,,,,,,
,,,,,,,
,,,,,,,
