"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - Climate Change - Climate Change and Energy","EA_DDCC","SG4","27572","33869","Officer Environment and Business","0.60","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Digital and Skills - Data and Systems","EA_DDDS","SG6","44477","55631","Senior Officer Digital and Skills","2.86","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Devon Cornwall and Isles of Scilly - Environment Management Cornwall - Land and Water North Devon","EA_DDCDS","SG5","34879","42955","Team Leader Cornwall","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Management","EA_DIMR","SG7","55819","69471","Manager Operational Services","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames","EA_DDTHM","SG3","22792","27223","Team Member Thames","4.00","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Wessex","EA_DDWSX","SG6","44477","55631","Senior Specialist Wessex","5.40","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - River Basin","EA_DDRB","SG5","34879","42955","Officer Operational Services","6.60","Policy"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Devon Cornwall and Isles of Scilly","EA_DDCDS","SG6","44477","55631","Senior Specialist Devon Cornwall and Isles of Scilly","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Modelling and Forecasting - Coastal","EA_DDMF","SG7","55819","69471","Manager Incident Management and Resilience","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Flood and Coastal Risk Management - Field Services","EA_DDFS","SG6","44477","55631","Senior Advisor National Services Flood and Coastal Risk Management","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Wessex","EA_DDWSX","SG5","34879","42955","Specialist Wessex","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Strategy and Investment - Flood and Coastal Risk Management Strategy","EA_DDSIFCRMS","SG5","34879","42955","Advisor Flood and Coastal Risk Management","4.20","Programme and Project Management (PPM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Digital and Skills - Business Innovation and Skills","EA_DDBIS","SG4","27572","33869","Officer Flood and Coastal Risk Management","3.04","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Monitoring","EA_DDM","SG5","34879","42955","Specialist National Services Environment and Business","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Wessex","EA_DDWSX","SG5","34879","42955","Specialist Wessex","0.86","Programme and Project Management (PPM)"
