ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,20/11/2018,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,20/11/2018,430.00 ,PROPERTY - WORKS ELEMENT,V001307845
ROCHDALE BOROUGH COUNCIL,13/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,DALE INDUSTRIAL HOSE & FITTINGS LIMITED,13/11/2018,61.00 ,VEHICLE MAINTENANCE,V001308977
ROCHDALE BOROUGH COUNCIL,05/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,FAUN ZOELLER UK LTD,05/11/2018,212.20 ,VEHICLE MAINTENANCE,V001308985
ROCHDALE BOROUGH COUNCIL,05/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,FAUN ZOELLER UK LTD,05/11/2018,263.60 ,VEHICLE MAINTENANCE,V001308985
ROCHDALE BOROUGH COUNCIL,05/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,FAUN ZOELLER UK LTD,05/11/2018,346.00 ,VEHICLE MAINTENANCE,V001308985
ROCHDALE BOROUGH COUNCIL,05/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,FAUN ZOELLER UK LTD,05/11/2018,399.80 ,VEHICLE MAINTENANCE,V001308985
ROCHDALE BOROUGH COUNCIL,05/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,05/11/2018,15.00 ,VEHICLE MAINTENANCE,V001308989
ROCHDALE BOROUGH COUNCIL,05/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,05/11/2018,120.87 ,VEHICLE MAINTENANCE,V001308989
ROCHDALE BOROUGH COUNCIL,16/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,AQUACOOL LTD,16/11/2018,20.00 ,CONSUMABLES,V001309556
ROCHDALE BOROUGH COUNCIL,09/11/2018,CHILDREN’S SOCIAL CARE,AQUACOOL LTD,09/11/2018,16.25 ,PROVISIONS,V001309574
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,RELIANCE MEDICAL,06/11/2018,1.90 ,PRINTING & STATIONERY,V001310004
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,RELIANCE MEDICAL,06/11/2018,4.95 ,PRINTING & STATIONERY,V001310004
ROCHDALE BOROUGH COUNCIL,06/11/2018,EARLY HELP AND SCHOOLS,BANNER GROUP LIMITED,06/11/2018,15.60 ,PRINTING & STATIONERY,V001310039
ROCHDALE BOROUGH COUNCIL,06/11/2018,EARLY HELP AND SCHOOLS,BANNER GROUP LIMITED,06/11/2018,20.12 ,PRINTING & STATIONERY,V001310039
ROCHDALE BOROUGH COUNCIL,06/11/2018,EARLY HELP AND SCHOOLS,BANNER GROUP LIMITED,06/11/2018,29.30 ,PRINTING & STATIONERY,V001310039
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,EURO CAR PARTS LTD,19/11/2018,-14.60 ,VEHICLE MAINTENANCE,V001310049
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,WHITEHEADS 1858 LTD,19/11/2018,136.80 ,PROVISIONS,V001311422
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,WHITEHEADS 1858 LTD,19/11/2018,391.16 ,REPAIRS & ALTS OF BUILDINGS,V001311423
ROCHDALE BOROUGH COUNCIL,15/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,SHRED STATION,15/11/2018,263.00 ,CONTRACTS,V001311516
ROCHDALE BOROUGH COUNCIL,01/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,JGM AGENCY,01/11/2018,540.00 ,MARKETING EXPENDITURE,V001311521
ROCHDALE BOROUGH COUNCIL,15/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,GTM ELECTRICAL SERVICES LIMITED,15/11/2018,577.30 ,REPAIRS & ALTS OF BUILDINGS,V001311887
ROCHDALE BOROUGH COUNCIL,15/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,GTM ELECTRICAL SERVICES LIMITED,15/11/2018,60.00 ,REPAIRS & ALTS OF BUILDINGS,V001311888
ROCHDALE BOROUGH COUNCIL,09/11/2018,PROPERTY AND HIGHWAYS,YOTTA LIMITED,09/11/2018,13813.94 ,SOFTWARE,V001311908
ROCHDALE BOROUGH COUNCIL,27/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,SPALDINGS UK LIMITED,27/11/2018,15.00 ,VEHICLE MAINTENANCE,V001312013
ROCHDALE BOROUGH COUNCIL,27/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,SPALDINGS UK LIMITED,27/11/2018,74.40 ,TRANSACTIONS-EXPENDITURE,V001312013
ROCHDALE BOROUGH COUNCIL,05/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ABBEY ARCHITECTURAL IRONMONGERY CO LTD,05/11/2018,50.50 ,EQUIPMENT - GENERAL,V001313372
ROCHDALE BOROUGH COUNCIL,19/11/2018,EARLY HELP AND SCHOOLS,CRESTA WORLD TRAVEL LIMITED,19/11/2018,178.00 ,STAFF TRAVELLING EXPENSES,V001313387
ROCHDALE BOROUGH COUNCIL,27/11/2018,RESOURCES,JGM AGENCY,27/11/2018,1044.00 ,EQUIPMENT - GENERAL,V001313422
ROCHDALE BOROUGH COUNCIL,12/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,SPALDINGS UK LIMITED,12/11/2018,31.66 ,VEHICLE MAINTENANCE,V001313432
ROCHDALE BOROUGH COUNCIL,12/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,SPALDINGS UK LIMITED,12/11/2018,171.60 ,EQUIPMENT - GENERAL,V001313461
ROCHDALE BOROUGH COUNCIL,02/11/2018,ADULT CARE LCO FUNCTIONS,TORDAN HEALTHCARE,02/11/2018,468.80 ,HOME CARE - ADULT SERVICES,V001313621
ROCHDALE BOROUGH COUNCIL,01/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,AMTOLL LIMITED,01/11/2018,3.84 ,CLEANING MATERIALS,V001313706
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,10.49 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,13.40 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,29.40 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,33.20 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,44.03 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,72.68 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,97.29 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,06/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,06/11/2018,102.12 ,VEHICLE MAINTENANCE,V001313759
ROCHDALE BOROUGH COUNCIL,07/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CROWN OIL LIMITED,07/11/2018,80.63 ,EQUIPMENT - GENERAL,V001314125
ROCHDALE BOROUGH COUNCIL,07/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CROWN OIL LIMITED,07/11/2018,1000.00 ,EQUIPMENT - GENERAL,V001314125
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,INDESPENSION LIMITED,08/11/2018,388.45 ,EQUIPMENT - GENERAL,V001314128
ROCHDALE BOROUGH COUNCIL,05/11/2018,ECONOMY DIRECTORATE,REACH PUBLISHING SERVICES LTD,05/11/2018,202.35 ,PUBLIC NOTICES,V001314130
