ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331474
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331474
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,542.84 ,FOSTER PARENTS BASIC ALLOWANCE,V001331474
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331475
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331475
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331475
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,382.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331475
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331476
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331476
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331476
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331476
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,562.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331477
ROCHDALE BOROUGH COUNCIL,08/11/2018,ADULT CARE LCO FUNCTIONS,BANNER GROUP LIMITED,08/11/2018,25.60 ,EQUIPMENT - GENERAL,V001331478
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331479
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,382.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331479
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331480
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331480
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,560.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331480
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,560.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331480
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,46.86 ,FOSTER PARENTS BASIC ALLOWANCE,V001331481
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,245.14 ,FOSTER PARENTS BASIC ALLOWANCE,V001331481
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331481
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331482
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331482
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331482
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331482
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,10.25 ,TRAVELLING GENERAL EXPENSES,V001331483
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,82.80 ,TRAVELLING GENERAL EXPENSES,V001331483
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331483
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331483
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331483
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331483
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331484
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331484
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331484
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331484
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,115.80 ,YOUNGE PERSONS ALLOWANCE,V001331485
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,350.00 ,FURNITURE - GENERAL,V001331485
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,496.00 ,YOUNG PEOPLES RENTS,V001331485
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,-93.71 ,FOSTER PARENTS BASIC ALLOWANCE,V001331486
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331486
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331486
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,352.32 ,FOSTER PARENTS BASIC ALLOWANCE,V001331487
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,424.92 ,FOSTER PARENTS BASIC ALLOWANCE,V001331487
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,-240.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331488
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,-122.57 ,FOSTER PARENTS BASIC ALLOWANCE,V001331488
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,164.00 ,BIRTHDAY ALLOWANCE,V001331488
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331488
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,560.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331488
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,472.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331489
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,472.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331489
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,08/11/2018,1.96 ,PRINTING & STATIONERY,V001331490
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,08/11/2018,3.57 ,PRINTING & STATIONERY,V001331490
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,08/11/2018,5.79 ,PRINTING & STATIONERY,V001331490
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,08/11/2018,13.35 ,PRINTING & STATIONERY,V001331490
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,08/11/2018,88.90 ,PRINTING & STATIONERY,V001331490
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,56.20 ,SUBSIDISED ADOPTERS PMTS,V001331491
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331491
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331491
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331492
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331492
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331492
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331492
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,68.78 ,FOSTER PARENTS BASIC ALLOWANCE,V001331493
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,164.00 ,BIRTHDAY ALLOWANCE,V001331494
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331494
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331494
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331494
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331494
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,143.00 ,BIRTHDAY ALLOWANCE,V001331495
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331495
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331495
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331495
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331495
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331496
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,382.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331496
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,412.98 ,FOSTER PARENTS BASIC ALLOWANCE,V001331496
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331497
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331497
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,64.10 ,FOSTER PARENTS BASIC ALLOWANCE,V001331498
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,17.70 ,FOSTER PARENTS BASIC ALLOWANCE,V001331499
ROCHDALE BOROUGH COUNCIL,08/11/2018,EARLY HELP AND SCHOOLS,BANNER GROUP LIMITED,08/11/2018,35.56 ,EQUIPMENT - GENERAL,V001331500
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331501
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331501
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,183.42 ,FOSTER PARENTS BASIC ALLOWANCE,V001331502
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,295.70 ,FOSTER PARENTS BASIC ALLOWANCE,V001331503
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,410.92 ,FOSTER PARENTS BASIC ALLOWANCE,V001331504
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331505
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331505
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331505
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,382.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331505
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,206.42 ,FOSTER PARENTS BASIC ALLOWANCE,V001331506
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331507
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,382.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331507
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,560.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331507
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,560.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331507
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331508
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331508
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.92 ,FOSTER PARENTS BASIC ALLOWANCE,V001331509
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,13.84 ,FOSTER PARENTS BASIC ALLOWANCE,V001331510
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331511
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331511
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331511
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331511
ROCHDALE BOROUGH COUNCIL,02/11/2018,ECONOMY DIRECTORATE,ARDEN TELECOM,02/11/2018,24.70 ,HOLIDAY ALLOWANCE,V001331512
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331513
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,302.12 ,SUBSIDISED ADOPTERS PMTS,V001331514
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,81.97 ,EQUIPMENT - GENERAL,V001331515
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,100.00 ,"CLOTHES, UNIFORM AND LAUNDRY",V001331515
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,260.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331515
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331515
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331515
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331515
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,210.32 ,FOSTER PARENTS BASIC ALLOWANCE,V001331516
ROCHDALE BOROUGH COUNCIL,02/11/2018,ECONOMY DIRECTORATE,ARDEN TELECOM,02/11/2018,24.70 ,HOLIDAY ALLOWANCE,V001331517
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,235.44 ,FOSTER PARENTS BASIC ALLOWANCE,V001331518
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,223.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331519
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,191.14 ,FOSTER PARENTS BASIC ALLOWANCE,V001331520
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331521
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,150.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331521
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331521
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331521
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331522
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,328.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331522
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,560.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331522
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,560.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331522
ROCHDALE BOROUGH COUNCIL,02/11/2018,ECONOMY DIRECTORATE,ARDEN TELECOM,02/11/2018,24.70 ,HOLIDAY ALLOWANCE,V001331523
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331524
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,280.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331524
ROCHDALE BOROUGH COUNCIL,02/11/2018,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/11/2018,286.00 ,FOSTER PARENTS BASIC ALLOWANCE,V001331524
