"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B001","31240","37223","Executive Team Post","2.00","Other"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA23","B003","39877","47514","Executive Team Post","1.00","Other"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","B002","34274","40837","Executive Team Post","1.00","Other"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA02","B004","44051","52486","Executive Team Post","1.00","Other"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","C001","50617","60310","Executive Team Post","2.76","Other"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","C002","60120","71633","Executive Team Post","1.30","Other"
"Department for Transport","British Transport Police Authority","Executive Team","BTPA01","C001","50617","60310","Executive Team Post","1.00","Other"
