Minister,Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Jeremy Quin,Nil Return Return,Nil Return,Nil Return,Nil Return
Lucy Neville-Rolfe,2023-09-15,English and Welsh Cricket Board,Invited to the Chair's Suite,Yes
Greg Hands,Nil Return,Nil Return,Nil Return,Nil Return
Alex Burghart ,Nil Return,Nil Return,Nil Return,Nil Return
Nusrat Ghani,Nil Return,Nil Return,Nil Return,Nil Return
Johnny Mercer,2023-08-18,Merlin Entertainments,2x Tickets to Chessington World of Adventures,Yes
Oliver Dowden,2023-09-09,BBC ,Tickets to the Last Night of the Proms,Yes
