"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","2.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","18.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","34.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","70.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","94.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","100.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","100.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","100.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","100.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","100.00 Number","Number","2017/2018_Q3","2017-10-01","2017-12-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","100.00 Number","Number","2017/2018_Q4","2018-01-01","2018-03-31","Quarterly"
"CAN026","The number of CYC electric vehicle recharging points in York (updated definition Q4 21/22 to CYC points only)","100.00 Number","Number","2018/2019_Q1","2018-04-01","2018-06-30","Quarterly"
