Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Julie Pierce,"Director of Openness, Digital and Data",Book ,LEF (Leading Edge Forum),2017-10-05,2017-10-05
Julie Pierce,"Director of Openness, Digital and Data",Lunch,Rainmaker,2017-10-11,2017-10-11
Julie Pierce,"Director of Openness, Digital and Data",Dinner,IDG Communications Ltd,2017-10-19,2017-10-19
Maria Jennings,Director for FSA NI and Organisational Change,Networking Dinner,Livestock & Meat Commission for Northern Ireland,2017-10-07,2017-10-07
Maria Jennings,Director for FSA NI and Organisational Change,Networking Dinner,Dairy UK ,2017-11-20,2017-11-20
