DfENumber,SchoolName,Year,Places,Place Allocated,1st Preference,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder School,Other,Total
8163229,Archbishop Of Yorks CE Junior,2023,60,50,50,0,0,0,0,0,1,41,0,0,0,0,8,0,50
8162002,Carr Junior School,2023,90,60,60,0,0,0,0,0,1,45,0,0,0,0,14,0,60
