SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2006/1983,Silloth,B059H,Allerdale DC,NY11005430,Silloth,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1983
BTX/2006/1984,Swale,B076F,Swale BC,TR04206510,River Swale #6,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1984
BTX/2006/1985,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1985
BTX/2006/1986,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2006-10-30,2006-10-31,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/1986
BTX/2006/1987,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2006-10-30,2006-10-31,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/1987
BTX/2006/1988,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2006-10-30,2006-10-31,Native Oysters,Insufficient,,,,,NEGATIVE,<RL,,BTX/2006/1988
BTX/2006/1989,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2006-10-30,2006-10-31,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/1989
BTX/2006/1990,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1990
BTX/2006/1991,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2006-10-30,2006-10-31,Cockles,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/1991
BTX/2006/1992,Burry Inlet,B038U,Carmarthenshire CC,SS51409720,Penrhyn Gwyn,2006-10-30,2006-10-31,Cockles,,,,,,,<RL,,BTX/2006/1992
BTX/2006/1994,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2006-10-31,2006-11-01,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/1994
BTX/2006/1995,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2006-10-31,2006-11-01,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1995
BTX/2006/1996,Poole,B054P,Poole BC,SY99538768,Hamworthy,2006-10-31,2006-11-01,Mussels,NG,,,,Insufficient,,<RL,,BTX/2006/1996
BTX/2006/2021,Portland,,Weymouth PHA,SY67697882,Inner Harbour,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2021
BTX/2006/2022,The Solent,B024B,Isle of Wight Council,SZ57909400,Mother Bank,2006-11-06,2006-11-07,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2022
BTX/2006/2023,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2006-11-06,2006-11-07,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2023
BTX/2006/2024,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2024
BTX/2006/2025,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2025
BTX/2006/2026,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2006-11-06,2006-11-07,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2026
BTX/2006/2027,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2006-11-06,2006-11-07,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2027
BTX/2006/2028,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2006-11-06,2006-11-07,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2028
BTX/2006/2029,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2006-11-06,2006-11-07,Native Oysters,NG,,,,,NEGATIVE,2.33,Flesh and water samples,BTX/2006/2029
BTX/2006/2030,The Wash,B004F,Kings Lynn & W Norfolk BC,TF60703390,Stylemans,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2030
BTX/2006/2031,The Wash,,Kings Lynn & W Norfolk BC,,Zone 3,2006-11-06,2006-11-07,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2031
BTX/2006/2032,Plymouth,B032M,Plymouth PHA,SX41505700,Ajax,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2032
BTX/2006/2033,Taw/Torridge,B036N,Torridge DC,SS46603050,Appledore Lifeboat Slipway,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2033
BTX/2006/2034,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2034
BTX/2006/2035,Exe,B26AT,East Devon DC,SY99698050,Beacon Point,2006-11-06,2006-11-07,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/2035
BTX/2006/2036,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2006-11-06,2006-11-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2036
BTX/2006/2039,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2006-11-07,2006-11-08,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2039
BTX/2006/2040,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2006-11-07,2006-11-08,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2040
BTX/2006/2041,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2006-11-07,2006-11-08,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2041
BTX/2006/2042,The Wash,,Boston BC,,Zone 2,2006-11-07,2006-11-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2042
BTX/2006/2043,The Wash,,Boston BC,,Zone 2,2006-11-07,2006-11-08,Cockles,NG,,,,,NEGATIVE,Unable to analyse,Flesh sample,BTX/2006/2043
BTX/2006/2044,The Wash,,Boston BC,,Zone 1,2006-11-07,2006-11-08,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2044
BTX/2006/2045,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2006-11-07,2006-11-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2045
BTX/2006/2046,Yealm,B031F,Plymouth PHA,SX54174891,Thorn,2006-11-07,2006-11-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2046
BTX/2006/2047,Poole,B054P,Poole BC,SY99538768,Hamworthy,2006-11-07,2006-11-08,Mussels,,,,,,NEGATIVE,,,BTX/2006/2047
BTX/2006/2048,Southampton Water,B021D,Southampton PHA,SU45000770,Netley,2006-11-06,2006-11-08,Native Oysters,NG,,,,,NEGATIVE,Unable to analyse,Flesh sample,BTX/2006/2048
BTX/2006/2049,Southampton Water,B021F,Southampton PHA,SU47800530,Hamble Estuary,2006-11-06,2006-11-08,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2049
BTX/2006/2050,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2006-11-06,2006-11-08,Native Oysters,NG,,,,,NEGATIVE,Unable to analyse,Flesh sample,BTX/2006/2050
BTX/2006/2051,Dart,B028F,South Hams DC,SX87415599,Waddeton,2006-11-07,2006-11-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2051
BTX/2006/2052,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2006-11-06,2006-11-08,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2052
BTX/2006/2053,Three Rivers,B071D,Carmarthenshire CC,SN33200860,Ginst Point - West,2006-11-06,2006-11-08,Cockles,NG,,,,,NEGATIVE,Unable to analyse,Flesh sample,BTX/2006/2053
BTX/2006/2054,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2006-11-06,2006-11-08,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2054
BTX/2006/2055,Burry Inlet,B038U,Carmarthenshire CC,SS51409720,Penrhyn Gwyn,2006-11-06,2006-11-08,Cockles,Unsuitable,,,,Unsuitable,,Unsuitable,,BTX/2006/2055
BTX/2006/2092,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2006-11-10,2006-11-14,Pacific Oysters,NG,,,,,NEGATIVE,2.69,Flesh and water samples,BTX/2006/2092
BTX/2006/2093,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2006-11-13,2006-11-14,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2093
BTX/2006/2094,Fowey,B070Q,Fowey PHA,SX13405165,Pont Pill No 34,2006-11-13,2006-11-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2094
BTX/2006/2095,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2006-11-13,2006-11-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2095
BTX/2006/2096,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2006-11-13,2006-11-14,Native Oysters,NG,,,,Insufficient,,<RL,Flesh sample,BTX/2006/2096
BTX/2006/2097,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2006-11-13,2006-11-14,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2097
BTX/2006/2098,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2006-11-13,2006-11-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2098
BTX/2006/2099,Swale,B076F,Swale BC,TR04206510,River Swale #6,2006-11-13,2006-11-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2099
BTX/2006/2100,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2006-11-13,2006-11-14,Native Oysters,NG,,,,,,1.42,Flesh and water samples,BTX/2006/2100
BTX/2006/2101,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2006-11-13,2006-11-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2101
BTX/2006/2104,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2006-11-14,2006-11-15,Native Oysters,NG,,,,,NEGATIVE,1.49,Flesh and water samples,BTX/2006/2104
BTX/2006/2105,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2006-11-14,2006-11-15,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2105
BTX/2006/2106,Camel,B035K,North Cornwall DC,SW92387395,Little Petherick Creek,2006-11-14,2006-11-15,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2106
BTX/2006/2107,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2006-11-13,2006-11-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2107
BTX/2006/2136,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2006-11-20,2006-11-20,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2136
BTX/2006/2137,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2006-11-20,2006-11-21,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2137
BTX/2006/2138,Blakeney,B006C,North Norfolk DC,TF99004530,Simpool,2006-11-20,2006-11-21,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2138
BTX/2006/2139,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2006-11-20,2006-11-21,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2139
BTX/2006/2140,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2006-11-20,2006-11-21,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2140
BTX/2006/2141,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2006-11-20,2006-11-21,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2141
BTX/2006/2142,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2006-11-20,2006-11-21,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2142
BTX/2006/2143,Yealm,B031F,Plymouth PHA,SX54174891,Thorn,2006-11-20,2006-11-21,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2143
BTX/2006/2144,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2006-11-20,2006-11-21,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2144
BTX/2006/2145,Three Rivers,B071D,Carmarthenshire CC,SN33200860,Ginst Point - West,2006-11-20,2006-11-21,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2145
BTX/2006/2146,Burry Inlet,B038A,Carmarthenshire CC,SS50009740,North (East),2006-11-20,2006-11-21,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2146
BTX/2006/2148,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2006-11-20,2006-11-22,Pacific Oysters,NG,,,,,NEGATIVE,1.25,Flesh and water samples,BTX/2006/2148
BTX/2006/2149,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2006-11-20,2006-11-22,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2149
BTX/2006/2150,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2006-11-21,2006-11-22,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2150
BTX/2006/2151,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2006-11-20,2006-11-22,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2151
BTX/2006/2152,Burry Inlet,B038J,City and Council of Swansea,SS47209610,South West 4,2006-11-21,2006-11-22,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2152
BTX/2006/2153,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2006-11-21,2006-11-22,Cockles,NG,,,,Insufficient,,<RL,Flesh sample only,BTX/2006/2153
BTX/2006/2154,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2006-11-21,2006-11-22,Cockles,Unsuitable,,,,Unsuitable,,Unsuitable,Flesh sample only,BTX/2006/2154
BTX/2006/2165,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2006-11-22,2006-11-22,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2165
BTX/2006/2166,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2006-11-20,2006-11-22,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2166
BTX/2006/2167,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2006-11-21,2006-11-23,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2167
BTX/2006/2168,Walton Backwaters,B011G,Tendring DC ,TM22142478,Kirby Creek,2006-11-21,2006-11-23,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2168
BTX/2006/2169,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2006-11-22,2006-11-23,Native Oysters,,,,,,,<RL,,BTX/2006/2169
BTX/2006/2186,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2006-11-27,2006-11-28,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2186
BTX/2006/2187,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2006-11-27,2006-11-28,Native Oysters,,,,,,,<RL,,BTX/2006/2187
BTX/2006/2188,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2006-11-27,2006-11-28,Native Oysters,,,,,,,<RL,,BTX/2006/2188
BTX/2006/2189,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2006-11-27,2006-11-28,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2189
BTX/2006/2190,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2006-11-27,2006-11-28,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2190
BTX/2006/2191,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2006-11-27,2006-11-28,Pacific Oysters,,,,,,,<RL,,BTX/2006/2191
BTX/2006/2195,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2006-11-28,2006-11-29,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2195
BTX/2006/2196,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2006-11-28,2006-11-29,Native Oysters,,,,,,NEGATIVE,,,BTX/2006/2196
BTX/2006/2197,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2006-11-28,2006-11-29,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2197
BTX/2006/2198,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2006-11-28,2006-11-29,Pacific Oysters,,,,,,,<RL,,BTX/2006/2198
BTX/2006/2199,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2006-11-28,2006-11-29,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2199
BTX/2006/2200,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2006-11-28,2006-11-29,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2200
BTX/2006/2211,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2006-11-28,2006-11-30,Native Oysters,NG,,,,,NEGATIVE,,,BTX/2006/2211
BTX/2006/2212,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2006-11-28,2006-11-30,Native Oysters,NG,,,,,NEGATIVE,,,BTX/2006/2212
BTX/2006/2227,West Mersea,B013H,Colchester BC,TM00001370,Strood Channel,2006-12-04,2006-12-05,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2227
BTX/2006/2228,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2006-12-04,2006-12-05,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2228
BTX/2006/2229,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2006-12-04,2006-12-05,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2229
BTX/2006/2230,Yealm,B031F,Plymouth PHA,SX54174891,Thorn,2006-12-04,2006-12-05,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2230
BTX/2006/2231,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2006-12-04,2006-12-05,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2231
BTX/2006/2232,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2006-12-04,2006-12-05,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2232
BTX/2006/2233,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2006-12-04,2006-12-05,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2233
BTX/2006/2234,Exe,B26AT,East Devon DC,SY99698050,Beacon Point,2006-12-04,2006-12-05,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2234
BTX/2006/2235,The Solent,B24BA,Isle of Wight Council,SZ59209390,Mother Bank - Church Spire,2006-12-04,2006-12-05,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2235
BTX/2006/2236,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2006-12-04,2006-12-05,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2236
BTX/2006/2239,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2006-12-04,2006-12-05,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2239
BTX/2006/2240,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2006-12-05,2006-12-06,Surf Clams,,ND,ND,,,NEGATIVE,<RL,,BTX/2006/2240
BTX/2006/2241,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2006-12-05,2006-12-06,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2241
BTX/2006/2242,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2006-12-05,2006-12-06,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2242
BTX/2006/2243,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2006-12-05,2006-12-06,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2243
BTX/2006/2244,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2006-12-05,2006-12-06,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2244
BTX/2006/2245,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2006-12-05,2006-12-06,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2245
BTX/2006/2246,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2006-12-04,2006-12-06,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2246
BTX/2006/2247,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2006-12-05,2006-12-06,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2247
BTX/2006/2248,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2006-12-04,2006-12-06,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2248
BTX/2006/2249,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2006-12-05,2006-12-06,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2249
BTX/2006/2250,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2006-12-05,2006-12-06,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2250
BTX/2006/2251,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2006-12-04,2006-12-06,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2251
BTX/2006/2279,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2006-12-11,2006-12-12,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2279
BTX/2006/2280,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2006-12-11,2006-12-12,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2280
BTX/2006/2281,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2006-12-11,2006-12-12,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2281
BTX/2006/2282,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2006-12-11,2006-12-12,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2282
BTX/2006/2283,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2006-12-11,2006-12-12,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2283
BTX/2006/2284,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2006-12-11,2006-12-12,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2284
BTX/2006/2285,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2006-12-11,2006-12-12,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2285
BTX/2006/2288,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2006-12-12,2006-12-13,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2288
BTX/2006/2289,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2006-12-12,2006-12-13,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2289
BTX/2006/2290,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2006-12-12,2006-12-13,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2290
BTX/2006/2291,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2006-12-12,2006-12-13,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2291
BTX/2006/2292,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2006-12-12,2006-12-13,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2292
BTX/2006/2293,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2006-12-12,2006-12-13,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2293
BTX/2006/2294,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2006-12-12,2006-12-13,Native Oysters,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/2294
BTX/2006/2295,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2006-12-12,2006-12-13,Native Oysters,PS,ND,ND,ND,,,,,BTX/2006/2295
BTX/2006/2296,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2006-12-11,2006-12-13,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/2296
BTX/2006/2297,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2006-12-12,2006-12-13,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/2297
BTX/2006/2298,Poole,B054P,Poole BC,SY99538768,Hamworthy,2006-12-12,2006-12-13,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2298
BTX/2006/2321,The Wash,,Boston BC,,Zone 1,2006-12-18,2006-12-19,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2321
BTX/2006/2322,The Wash,,Boston BC,,Zone 2,2006-12-18,2006-12-19,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2322
BTX/2006/2323,The Wash,,Boston BC,,Zone 2,2006-12-18,2006-12-19,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2323
BTX/2006/2324,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2006-12-18,2006-12-19,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2324
BTX/2006/2325,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2006-12-18,2006-12-19,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2006/2325
BTX/2006/2326,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2006-12-18,2006-12-19,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/2326
BTX/2006/2327,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2006-12-17,2006-12-19,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2327
BTX/2006/2328,Southampton Water,B021D,Southampton PHA,SU45000770,Netley,2006-12-17,2006-12-19,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2328
BTX/2006/2329,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2006-12-17,2006-12-19,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/2329
BTX/2006/2330,Keyhaven,B075A,New Forest DC,SZ31599045,Anchorage,2006-12-18,2006-12-19,Native Oysters,Insufficient,,,,,NEGATIVE,<RL,Additional sample in January,BTX/2006/2330
