SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2007/3001,Morecambe Bay - Roosebeck,B48AC,South Lakeland DC,SD37406640,Flookburgh,2007-10-16,2007-10-17,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/3001
BTX/2007/3002,Morecambe Bay - East,B047O,Lancaster CC,SD45006780,Red Bank,2007-10-15,2007-10-17,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/3002
BTX/2007/3003,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2007-10-16,2007-10-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3003
BTX/2007/3004,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2007-10-15,2007-10-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3004
BTX/2007/3005,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-10-16,2007-10-17,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/3005
BTX/2007/3006,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-10-16,2007-10-17,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/3006
BTX/2007/3007,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-10-16,2007-10-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3007
BTX/2007/3008,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-10-16,2007-10-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3008
BTX/2007/3009,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2007-10-15,2007-10-17,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/3009
BTX/2007/3010,Three Rivers,B071A,Carmarthenshire CC,SN36300950,Ferryside,2007-10-15,2007-10-17,Cockles,,,,,,NEGATIVE,,,BTX/2007/3010
BTX/2007/3011,Three Rivers,B071D,Carmarthenshire CC,SN33200860,Ginst Point - West,2007-10-15,2007-10-17,Cockles,,,,,,NEGATIVE,,,BTX/2007/3011
BTX/2007/3069,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2007-10-22,2007-10-23,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3069
BTX/2007/3070,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2007-10-22,2007-10-23,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/3070
BTX/2007/3071,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2007-10-22,2007-10-23,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3071
BTX/2007/3072,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2007-10-22,2007-10-23,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/3072
BTX/2007/3073,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2007-10-22,2007-10-23,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/3073
BTX/2007/3076,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2007-10-22,2007-10-23,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/3076
BTX/2007/3077,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2007-10-23,2007-10-23,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3077
BTX/2007/3078,Taw/Torridge,B036N,Torridge DC,SS46603050,Appledore Lifeboat Slipway,2007-10-23,2007-10-24,Mussels,PS ,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/3078
BTX/2007/3079,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2007-10-23,2007-10-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3079
BTX/2007/3080,Three Rivers,B071D,Carmarthenshire CC,SN33200860,Ginst Point - West,2007-10-23,2007-10-24,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/3080
BTX/2007/3081,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2007-10-23,2007-10-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3081
BTX/2007/3082,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2007-10-23,2007-10-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3082
BTX/2007/3083,Exe,B026E,Teignbridge DC,SX97808090,Pool,2007-10-23,2007-10-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/3083
