Sum of Number of Births,,,Month of Birth,,,
Dam Breed Description,Dam Breed Code,Calf Sex,JUL,AUG,SEP,Grand Total
ROTEBUNDE,ROT,F,1,1,0,2
,,M,0,1,0,1
,ROT Total,,1,2,0,3
SWISS GREY,SG,M,0,1,0,1
,SG Total,,0,1,0,1
FRISONA ESPAGNOLA X,FEX,M,2,0,0,2
,FEX Total,,2,0,0,2
SWEDISH RED POLLED,SRP,F,1,0,4,5
,,M,4,5,5,14
,SRP Total,,5,5,9,19
KIWI CROSS,KIWIX,F,4,18,6,28
,,M,1,22,2,25
,KIWIX Total,,5,40,8,53
NORTHERN DAIRY SH,NDS,F,1,1,0,2
,,M,3,0,0,3
,NDS Total,,4,1,0,5
BELTED DUTCH CROSS,BDX,F,1,0,0,1
,BDX Total,,1,0,0,1
SPECKLE PARK CROSS,SPX,F,6,4,6,16
,,M,12,8,4,24
,SPX Total,,18,12,10,40
ENGLISH PARK,EP,M,2,0,0,2
,EP Total,,2,0,0,2
BEEFALO,BEL,F,1,0,0,1
,,M,3,1,0,4
,BEL Total,,4,1,0,5
COLOURED WELSH,CW,F,0,0,1,1
,CW Total,,0,0,1,1
Grand Total,,,197373,210865,213074,621312
