Number_of_empty_rows,Count (csv),Percentage (csv),Count (xls),Percentage (xls)
None,27,0.7297297297297297,446,0.15991394765148798
1 to 10,8,0.21621621621621623,2085,0.7475797776980997
10 to 50,1,0.02702702702702703,230,0.08246683399067767
50 to 100,0,0.0,5,0.0017927572606669057
100 to 500,0,0.0,8,0.0028684116170670493
500 to 1000,1,0.02702702702702703,0,0.0
1000 plus,0,0.0,15,0.005378271782000717
