Number_of_empty_rows,Percentage (csv),Percentage (xls)
None,0.7297297297297297,0.15991394765148798
1 to 10,0.21621621621621623,0.7475797776980997
10 to 50,0.02702702702702703,0.08246683399067767
50 to 100,0.0,0.0017927572606669057
100 to 500,0.0,0.0028684116170670493
500 to 1000,0.02702702702702703,0.0
1000 plus,0.0,0.005378271782000717
