number_of_rows,percentage_csv,percentage_xls
0 to 10,0.16216216216216217,0.08497669415561133
10 to 100,0.4594594594594595,0.8027967013266404
100 to 1000,0.24324324324324326,0.10505557547508067
1000 to 10000,0.05405405405405406,0.006453926138400861
10000 to 100000,0.05405405405405406,0.0007171029042667623
100000 to 1000000,0.02702702702702703,0.0
1000000 to 2000000,0.0,0.0
2000000 plus,0.0,0.0
