Categories,Count (csv),Percentage (csv),Count (xls),Percentage (xls)
empty_top_rows,0,0.0,363,0.13015417712441735
empty_bottom_rows,4,0.10810810810810811,939,0.3366798135532449
title_row,1,0.02702702702702703,568,0.2036572248117605
subtitles,2,0.05405405405405406,694,0.24883470778056652
full_table,27,0.7297297297297297,446,0.15991394765148798
merged_cells_instances,0,0.0,833,0.2986733596271065
non_data-sheets,0,0.0,1685,0.6041591968447472
