Advertising & Marketing,,,,,,
Department,Organisation Name,HMG Ref Number.,Project name,Basis for expenditure approval,Total Value Approved (£),Date of approval
HMRC,,HMG3296,Self Assessment 2016-17 Marketing Campaign,"The Self Assessment campaign is an annual event in the run-up to the 31 January deadline for online tax returns. We are continually looking to reduce the costs of the campaign, and have reduced the budget from £2.3m to £1.4m over the past five years, from 2011-12.","£1,268,938",Nov-16
