Special Adviser,Date,Gift,Given or received,Who gift was given to or received from,Value (£),"Outcome 
(received gifts only)"
Ed Winfield,Nil Return,Nil Return,Nil Return,Nil Return,0,Nil Return
Tim Sculthorpe,Nil Return,Nil Return,Nil Return,Nil Return,0,Nil Return
Caroline Elsom,Nil Return,Nil Return,Nil Return,Nil Return,0,Nil Return
