OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoY,GeoX,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-038a,BR-038,Former Gas Works 24 Heworth Green (Zone A),https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9647,-1.0674,461071,452522,0.73,not owned by a public authority,yes,permissioned,reserved matters approval,2021-11-08,https://www.york.gov.uk/SearchPlanningApplications,,119,Reserved matters application for appearance and landscaping - Zone A only.  For 119 dwellings and commercial/community use unit.,Commercial/ community use unit.,,,,,,"See planning application 21/00854/REMM
Draft allocation H1 in Local Plan",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-038b,BR-038,Former Gas Works 24 Heworth Green (Zone B),https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9647,-1.0674,461071,452522,1.69,not owned by a public authority,yes,permissioned,reserved matters approval,2022-11-04,https://www.york.gov.uk/SearchPlanningApplications,,392,"Outline application with all matters reserved except for access, layout and scale, for the erection of a maximum of 607 residential apartments (use class C3)
This is a draft housing allocation site (H1) - this equates to 392 homes when Zones A and C are taken into consideration","130 sqm (GIA) retail or community use floorspace (flexible use incorporating use classes A1-A4/ D1), 2no. gas governor compounds, site remediation, associated access, car parking, amenity space and landscaping after demolition of existing pipework, structures and telephone mast.",,,,,,"See planning application: 22/01281/REMM 
Draft allocation H1 in Local Plan",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-038c,BR-038,Former Gas Works 24 Heworth Green (Zone C),https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9647,-1.0674,461071,452522,1.12,not owned by a public authority,yes,permissioned,reserved matters approval,2021-11-08,https://www.york.gov.uk/SearchPlanningApplications,,96,Reserved matters application for appearance and landscaping - Zone C only. For 96 dwellings.,,,,,,,"See planning application 21/00855/REMM
Draft allocation H1 in Local Plan",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-039,,Burnholme School,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9641,-1.0455,462549,452419,2.35,owned by a public authority,yes,permissioned,full planning permission,2021-10-14,https://www.york.gov.uk/SearchPlanningApplications,,83,"Approval for the erection of 83no. dwellings (use class C3) with associated parking, landscaping, access and ancillary works. No matters reserved except for the appearance, scale and internal layout of 5no. self-build plots in Terrace 5.
This is a draft housing allocation site (H3) ",,,,,,,"See planning application: 20/01916/OUTM .
Draft allocation H3 in Local Plan and forms part of CYC's Housing Delivery Programme. ",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-040,,Bootham Crescent Football Ground,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9689,-1.0881,459904,452986,1.72,not owned by a public authority,yes,permissioned,full planning permission,01/02/2022,https://www.york.gov.uk/SearchPlanningApplications,,93,"Approval for the erection of 93 dwellings with associated access, infrastructure, landscaping, public open space and parking.
This is a draft housing allocation site (H7) ",,,,,,,"See planning application 19/00246/FULM 
Draft allocation H7 in Local Plan",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-041,,Askham Bar Park&Ride,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9335,-1.1150,458213,448953,1.57,owned by a public authority,yes,not permissioned,other,N/A,https://www.york.gov.uk/SearchPlanningApplications,,60,This is a draft housing allocation site (H8) and forms part of CYC's Housing Delivery Programme,,,,,,,"Not permissioned, however, this is a draft housing allocation site (H8) and forms part of CYC's Housing Delivery Programme.
N.B. Application 22/02199/FULM approved on 9th February 2023 for the retention of temporary buildings and erection of 2no. additional temporary buildings as a Primary Care Medical Centre (use class E(e) until August 2024 (previously established as a vaccination centre in 2020 under emergency permitted development rights introduced for the covid 19 pandemic) ",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-042,,Former Oak Haven EPH 144 Acomb Road,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9564,-1.1190,457912,451502,0.33,not owned by a public authority,yes,permissioned,full planning permission,05/08/2022,https://www.york.gov.uk/SearchPlanningApplications,,36,"Approval for the erection of 64 bedroom residential care home (equivalent to 36 dwellings) (use class C2) with associated structures, access, parking and landscaping following demolition of existing structures
This is a draft housing allocation site (H20) ",,,,,,,"See planning application 22/00304/FULM
Draft allocation H20 in Local Plan",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-043,,Willow House EPH Long Close Lane,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9547,-1.0718,461019,451365,0.20,owned by a public authority,yes,not permissioned,other,N/A,https://www.york.gov.uk/SearchPlanningApplications,,15,This is a draft housing allocation site (H52) ,,,,,,,"Not permissioned, however, Draft housing allocation H52 in Local Plan and forms part of CYC's Housing Delivery Programme",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-044,,Land at Layerthorpe,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9627,-1.0711,461037,452234,0.20,not owned by a public authority,yes,not permissioned,other,N/A,https://www.york.gov.uk/SearchPlanningApplications,,20,This is a draft housing allocation site (H55) ,,,,,,,"not permissioned
Draft housing allocation H55 in Local Plan",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-045,,York Central Leeman Road,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9593,-1.1030,459505,451872,35.00,not owned by a public authority,yes,permissioned,outline planning permission,2019-12-24,https://www.york.gov.uk/SearchPlanningApplications,,1700,"Outline planning application with all matters reserved primarily comprising up to 2,500 homes (Class C3).
This is a draft housing allocation site (ST5) ","Mixed-use development of up to 379,729 m2 of floorspace Gross External Area (GEA) , between 70,000 m2 and 87,693 m2 of office use (Class B1a), up to 11,991 m2 GEA of retail and leisure uses (Classes A1-A5 or D2), hotel with up to 400 bedrooms (Class C1), up to 12,120 m2 GEA of non-residential institutions (Class D1) for expansion of the National Railway Museum, multi-storey car parks and provision of community uses ",,,,,,"In December 2019 approval was granted of 18/01884/OUTM Outline planning application with all matters reserved for the redevelopment of York Central, Leeman Road to provide a mixed-use development of up to 379,729 m2 of floorspace Gross External Area (GEA) primarily comprising up to 2,500 homes (Class C3), between 70,000 m2 and 87,693 m2 of office use (Class B1a), up to 11,991 m2 GEA of retail and leisure uses (Classes A1-A5 or D2), hotel with up to 400 bedrooms (Class C1), up to 12,120 m2 GEA of non-residential institutions (Class D1) for expansion of the National Railway Museum, multi-storey car parks and provision of community uses all with associated works including new open space, ancillary car parking, demolition of and alterations to existing buildings and associated vehicular, rail, cycle and pedestrian access improvements.
Reserved matters application 20/00710/REMM was approved in December 2020  for the layout, scale, appearance, landscaping and access for the construction of the primary vehicle route and associated roads, infrastructure, landscaping and alterations to the existing road network pursuant to outline planning permission 18/01884/OUTM",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-046c,,Terry's Extension Site - Car Park,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9407,-1.0865,460059,449782,0.60,not owned by a public authority,yes,permissioned,other,N/A,https://www.york.gov.uk/SearchPlanningApplications,,33,"Please note that application 20/02517/FULM for the erection of extra care accommodation including no.70 apartments (equivalent to 39 homes) went to appeal in April 2022 - dismissed on appeal January 2023. 
Application 23/00608/FULM for similar scheme refused in July 2023.
This is a draft housing allocation site (Part of ST16) ",,,,,,,"not permissioned
Draft housing allocation ST16 in Local Plan
Application 20/02517/FULM for 70 bed care home dismissed on appeal in January 2023. Application 23/00608/FULM for 72 bed care home refused in July 2023.",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-047,,"Castle Mills Car Park
Piccadilly
York",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9553,-1.0772,460650,451414,0.27,owned by a public authority,yes,permissioned,full planning permission,2020-12-16,https://www.york.gov.uk/SearchPlanningApplications,,106,"Erection of 106 apartments including 36no. 1-bed, no. 68 2-bed and 2no. Studios","Flexible commercial floorspace (A1-A3 and B1 1458sqm gross),  provision of new pedestrian and cycle bridge across the River Foss and creation of new public realm and pedestrian and cycle route at riverside north",,,,,,See planning application 19/02415/FULM,2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-048,,"Site Of 17 To 21
Piccadilly
York",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9568,-1.0775,460629,451584,0.11,owned by a public authority,yes,not permissioned,other,N/A,https://www.york.gov.uk/SearchPlanningApplications,,23,Agreed by CYC Executive for residential development at April 2018 meeting.,,,,,,,"not permissioned
N.B. This site has temporary mixed use consent through 17/00274/FUL - more recent applications 20/00561/FUL and 22/00195/FUL varied condition 2 of this consent and extended the duration of permission to 30.09.2025.",2018-12-20,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-053,,62 Balmoral Terrace,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9454,-1.0889,459904,450299,0.03,not owned by a public authority,yes,permissioned,full planning permission,2019-11-08,https://www.york.gov.uk/SearchPlanningApplications,,7,Proposed change of use from retail (use class A1) to no. 7 apartments (use class C3).,,,,,,,See planning application 19/01424/FUL ,2020-12-10,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-054,,Rougier House 5 Rougier Street,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9588,-1.0873,459989,451793,0.03,not owned by a public authority,yes,permissioned,other,2020-01-08,https://www.york.gov.uk/SearchPlanningApplications,,10,Proposed change of use from offices to 10 no. flats (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015.,,,,,,,"See planning application 19/02401/ORC 
N.B. Application 22/00098/FULM approved at Planning Committee A on 05/10/2022 - subject to completion of a S106 agreement and the recommended conditions for the demolition of 1 - 9 Rougier Street and erection of mixed use development including 153 apartments (Use Class C3), offices (Use Class E), visitor attraction (Use Class F1), aparthotel with 88 rooms (Use Class C1) Recent events suggest this proposal may not proceed and the development site is up for sale as owners 'try and secure delivery’ of the project.",2020-12-10,2023-11-01
