DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment Sibling,Sibling,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8163229,Archbishop Of Yorks CE Junior,2020,60,53,53,0,0,0,0,0,1,28,2,0,0,0,22,0,53
8162002,Carr Junior School,2020,90,66,66,0,0,0,0,0,2,51,1,0,0,0,12,0,66
