Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Helen Roberts,14/06/2022,1,Nil return,Nil return,Rail,Standard,Nil return,Nil Return,4.7,Nil return
Helen Roberts,14/06/2022,1,Nil return,Nil return,Nil return,Standard,20,Nil Return,20,Nil return
Helen Roberts,15/06/2022,1,Nil return,Nil return,Rail,Standard,Nil return,Nil Return,4.7,Nil return
Helen Roberts,15/06/2022,1,Nil return,Nil return,Nil return,Standard,4.2,Nil Return,4.2,Nil return
Helen Roberts,15/06/2022,1,"Bishops Stortford, UK",Nil return,Rail,Standard,Nil return,Nil Return,19.45,Nil return
Kenny Robertson ,01/04/2022,1,"Blackpool, UK",Internal meeting ,Car,Standard,Nil return,Nil Return,28.4,Nil return
Kenny Robertson ,01/04/2022,1,"Blackpool, UK",Internal meeting ,Car,Standard,Nil return,Nil Return,28.4,Nil return
Kenny Robertson ,20/04/2022,1,"Leeds, UK",Digital Away Day,Rail,Standard,72.95,Nil Return,126.75,Nil return
Kenny Robertson ,28/04/2022,1,"Blackpool, UK",Internal meeting ,Car,Standard,Nil return,Nil Return,28.4,Nil return
Kenny Robertson ,03/05/2022,1,"Blackpool, UK",Internal meeting ,Car,Standard,Nil return,Nil Return,28.4,Nil return
Kenny Robertson ,19/05/2022,1,"Blackpool, UK",Internal meeting ,Car,Standard,Nil return,Nil Return,28.4,Nil return
Kenny Robertson ,07/06/2022,1,"Blackpool, UK",Internal meeting ,Car,Standard,Nil return,Nil Return,28.4,Nil return
Tamara Bruck,28/04/2022,1,"Leeds, UK",Digital Away Day ,Rail,Standard,247.75,Nil Return,247.75,Nil return
Tamara Bruck,04/05/2022,1,"Manchester, UK",Senior Leadership meeting,Rail,Standard,352.15,Nil Return,352.15,Nil return
Tamara Bruck,12/05/2022,1,"Manchester, UK",Directors away day,Rail,Standard,236.05,Nil Return,236.05,Nil return
Paul Lodge,19/04/2022,2,"Blackpool, UK",Senior Leadership meeting,Car,Standard,80,Nil Return,310.02,Nil return
Paul Lodge,28/04/2022,1,"Leeds, UK",Strategic Reference Architecture Delivery Board  & Strategic Reference Architecture Delivery Board  ,Rail,Standard,90.5,Nil Return,282.35,Nil return
Paul Lodge,08/05/2022,3,"London, UK",Gartner D&A Summit 2022,Rail,Standard,385.14,Nil Return,782.89,Nil return
Paul Lodge,12/05/2022,1,"Manchester, UK",Directors’ Away Day in Manchester ,Rail,Standard,17.5,Nil Return,180.8,Nil return
Paul Lodge,15/05/2022,2,"Oxford, UK",MPLA Cohort 22 Closing Event,Car,Standard,119.9,Nil Return,283.65,Nil return
Paul Lodge,19/05/2022,1,"London, UK",SoS Demo Local Labour Market Intelligence Tool,Rail,Standard,11,Nil Return,372.75,Nil return
Paul Lodge,13/06/2022,2,"London, UK",UK&I CDO Executive Summit Welcome Reception,Rail,Standard,116.85,Nil Return,461.1,Nil return
Paul Lodge,30/06/2022,1,"London, UK",Executive Team meeting,Rail,Standard,Nil return,Nil Return,344.25,Nil return
Simon McKinnon,05/04/2022,2,"Brighton, UK",On  a interview panel ,Car,Standard,Nil return,Nil Return,89,Nil return
Simon McKinnon,28/04/2022,2,"Leeds, UK",Digital ET meeting /away day ,Rail,Standard,Nil return,Nil Return,223.25,Nil return
Simon McKinnon,13/04/2022,1,"Brighton, UK",on Interview Panel ,Rail,Standard,Nil return,Nil Return,Nil Return,Nil return
Simon McKinnon,12/05/2022,1,"Manchester, UK",Directors away day,Rail,Standard,Nil return,Nil Return,395.5,Nil return
Simon McKinnon,04/05/2022,2,"Leeds, UK",DG visiting Hub teams ,Rail,Standard,Nil return,Nil Return,366.5,Nil return
Simon McKinnon,16/05/2022,2,"Leeds, UK",Workshop with DWP collagues ,Rail,Standard,20,Nil Return,369.5,Nil return
Simon McKinnon,06/06/2022,2,"Blackpool, UK",DG visiting Hub teams ,Rail,Standard,Nil return,Nil Return,473.05,Nil return
Simon McKinnon,29/06/2022,2,"Manchester, UK",DG Hub Visit ,Rail,Standard,Nil return,Nil Return,465.5,Nil return
Peter Schofield,01/04/2022,1,"London, UK",Joint Permanent Secretary Conference,Rail,Standard,Nil return,Nil Return,29.55,Nil return
Peter Schofield,21/04/2022,1,"Birmingham, UK",Visiting Birmingham Hub and local Jobcentre,Rail,Standard,5,Nil Return,142.4,Nil return
Peter Schofield,12/05/2022,2,"Manchester, UK",Directors away day conference,Rail,Standard,78.34,Nil Return,339.26,Nil return
Peter Schofield,25/04/2022,1,"Charlbury, UK",Permanent Secretary's away day conference (organised by Cabinet Office),Rail,Standard,Nil return,Nil Return,90.3,Nil return
