Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8162241,8162241,,,,,Ralph Butterfield Primary School,8162058,2022
8162016,8162016,8163003,,,,St Paul's CE Primary School,8163003,2022
8162029,8162029,8162430,8162349,8162000,8162014,Carr Infant School,8162003,2022
8162017,8162017,8162000,,,,Westfield Community Primary School,8162017,2022
8162008,8162008,8163156,8162011,8162016,8163158,Fishergate Primary School,8162008,2022
8163158,8163158,,,,,Lord Deramores Primary School,8163158,2022
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2022
8162021,8162021,,,,,New Earswick Primary School,8162021,2022
8162386,8162386,8162007,8162011,,,Hob Moor Community Primary School,8162028,2022
8163151,8163151,8163158,,,,Dunnington CE Primary School,8163151,2022
8163402,8163402,,,,,Scarcroft Primary School,8162016,2022
8162003,8162003,,,,,Carr Infant School,8162003,2022
8162015,8162015,,,,,Yearsley Grove Primary School,8162015,2022
8162016,8162016,8163003,,,,Poppleton Road Primary School,8162014,2022
8162017,8162017,8162027,8163904,,,Westfield Community Primary School,8162017,2022
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2022
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2022
8162001,8162001,,,,,Tang Hall Primary School,8162429,2022
8162004,8162004,,,,,Fishergate Primary School,8162008,2022
8162021,8162021,,,,,Tang Hall Primary School,8162429,2022
8162017,8162017,,,,,Woodthorpe Primary School,8162027,2022
8163156,8163156,,,,,St Oswald's CE Primary School,8163156,2022
8162018,8162018,8162430,8162029,,,Clifton Green Primary School,8162018,2022
8163156,8163156,8162386,,,,Bishopthorpe Infant School,8162386,2022
8163212,8163212,8162240,,,,Robert Wilkinson Primary School,8163212,2022
8162029,8162029,8162000,8162003,8162028,8162017,Poppleton Ousebank Primary School,8162029,2022
8162008,8162008,,,,,Fishergate Primary School,8162008,2022
8162004,8162004,,,,,Tang Hall Primary School,8162429,2022
8162430,8162430,8162428,8162029,,,Clifton with Rawcliffe Primary School,8162430,2022
8162004,8162004,,,,,Clifton Green Primary School,8162018,2022
8162018,8162018,,,,,Clifton with Rawcliffe Primary School,8162430,2022
8162428,8162428,,,,,Lakeside Primary School,8162428,2022
8162003,8162003,,,,,Carr Infant School,8162003,2022
8162003,8162003,,,,,Carr Infant School,8162003,2022
8163904,8163904,8162000,8163003,,,Acomb Primary School,8162000,2022
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2022
8162017,8162017,,,,,Westfield Community Primary School,8162017,2022
8162003,8162003,,,,,Carr Infant School,8162003,2022
8162001,8162001,8163302,,,,Hempland Primary School,8162001,2022
8162018,8162018,8162430,8162428,,,Clifton Green Primary School,8162018,2022
8162240,8162240,,,,,Wigginton Primary School,8162240,2022
8162058,8162058,,,,,Ralph Butterfield Primary School,8162058,2022
8162241,8162241,8162058,8162240,,,Ralph Butterfield Primary School,8162058,2022
8162014,8162014,,,,,Acomb Primary School,8162000,2022
8162015,8162015,8163158,8162001,,,Haxby Road Primary Academy,8162004,2022
8162180,8162180,,,,,Haxby Road Primary Academy,8162004,2022
8162015,8162015,,,,,Haxby Road Primary Academy,8162004,2022
8162028,8162028,,,,,Acomb Primary School,8162000,2022
8162386,8162007,8162386,8162028,8162027,8162011,Westfield Community Primary School,8162017,2022
8162180,8162180,8163212,,,,Robert Wilkinson Primary School,8163212,2022
8163152,8163152,,,,,Elvington CE Primary School,8163152,2022
8162012,8162012,8162001,8163302,,,Park Grove Primary Academy,8162012,2022
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,8162430,2022
8162028,8162028,,,,,Acomb Primary School,8162000,2022
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2022
8162003,8162003,8162000,8162028,,,Hob Moor Community Primary School,8162028,2022
8162014,8162000,,,,,Poppleton Road Primary School,8162014,2022
8162028,8162028,,,,,Hob Moor Community Primary School,8162028,2022
8162180,8162180,,,,,Yearsley Grove Primary School,8162015,2022
8162001,8162001,,,,,Osbaldwick Primary School,8162176,2022
8162018,8162018,8162024,8162430,,,Clifton Green Primary School,8162018,2022
8163402,8163402,,,,,Fishergate Primary School,8162008,2022
8162021,8162021,,,,,New Earswick Primary School,8162021,2022
8162017,8162017,,,,,Westfield Community Primary School,8162017,2022
8162017,8162017,,,,,Westfield Community Primary School,8162017,2022
8162027,8162027,8162007,8162000,8162017,,Westfield Community Primary School,8162017,2022
8162017,8162017,,,,,Woodthorpe Primary School,8162027,2022
