Breed,Sex,UP TO 2 Months, 2 AND 4 Months, 4 AND 8 Months, 8 AND 12 Months, 12 AND 18 Months, 18 AND 24 Months, 24 AND 30 Months, 30 AND 36 Months, 36 AND 42 Months, 42 AND 48 Months,OVER 48 Months,Totals
CANADIAN ANGUS, F ,0,0,0,0,0,0,0,0,0,0,4,4
CANADIAN ANGUS X, F ,0,0,0,0,0,0,0,0,0,0,20,20
CHAROLAIS, F ,0,3,4,50,880,"3,368","5,273",250,239,215,"4,184","14,466"
, M ,0,2,13,125,"2,637","3,233","7,345",202,127,130,"1,252","15,066"
CHAROLAIS X, F ,17,7,104,439,"16,157","63,022","51,431","1,401",754,506,"9,475","143,313"
, M ,11,13,81,911,"21,484","47,343","77,922","1,314",623,231,297,"150,230"
CHIANINA, F ,0,0,0,1,0,2,0,0,0,0,1,4
, M ,0,0,0,0,0,0,3,0,0,0,0,3
CHIANINA X, F ,0,0,0,0,0,14,13,1,0,0,7,35
, M ,0,0,0,0,1,15,25,0,0,0,0,41
CHILLINGHAM, F ,0,0,0,0,0,2,1,0,0,0,0,3
, M ,0,0,0,1,0,1,6,1,0,0,0,9
CHILLINGHAM X, F ,0,0,0,0,0,1,0,0,0,0,0,1
, M ,0,0,0,0,0,1,1,0,0,0,0,2
CONTINENTAL, F ,0,0,0,0,0,0,0,0,0,0,1,1
, M ,0,0,0,0,0,0,0,0,0,0,1,1
CROSS BREED BEEF, F ,0,0,0,0,3,25,22,1,1,4,604,660
, M ,1,0,0,0,7,24,30,2,4,1,1,70
CROSS BREED DAIRY, F ,0,0,0,1,1,1,14,6,13,9,65,110
, M ,86,0,0,0,2,10,7,1,1,0,0,107
DAIRY SHORTHORN, F ,3,0,0,0,1,9,20,24,42,28,430,557
, M ,48,5,0,4,74,88,154,23,8,9,7,420
DAIRY SHORTHORN X, F ,1,0,1,0,1,4,6,4,9,8,117,151
, M ,17,0,23,2,37,54,97,7,11,1,0,249
DANISH RED, F ,0,0,0,0,0,0,0,0,0,2,9,11
, M ,2,0,0,0,1,0,1,1,0,0,0,5
DANISH RED X, F ,0,0,0,0,2,2,1,2,5,2,5,19
, M ,12,0,0,1,10,7,22,1,0,0,0,53
DEVON, F ,2,0,2,1,24,118,352,70,35,52,559,"1,215"
, M ,0,0,0,6,99,393,"1,359",176,92,12,66,"2,203"
DEVON X, F ,13,0,3,5,101,422,"1,121",77,55,35,482,"2,314"
, M ,10,0,1,9,280,433,"1,582",54,24,16,23,"2,432"
DEXTER, F ,0,0,1,5,31,76,259,36,33,36,432,909
, M ,0,0,3,8,83,387,"1,437",116,48,33,64,"2,179"
DEXTER X, F ,1,0,0,1,5,23,67,7,4,4,12,124
, M ,1,0,0,1,21,31,66,7,5,1,2,135
DUN GALLOWAY, F ,0,0,0,0,0,0,0,0,0,0,14,14
DUN GALLOWAY X, F ,0,0,0,0,0,0,0,0,0,0,1,1
FRIESIAN, F ,0,0,0,0,0,0,0,0,0,0,"59,238","59,238"
, M ,0,0,0,0,0,0,0,0,0,0,37,37
FRIESIAN X, F ,0,0,0,0,0,0,0,0,0,0,"1,348","1,348"
FRISONA ESPAGNOLA X, M ,0,0,0,0,0,0,2,0,0,0,0,2
GALLOWAY, F ,0,0,0,1,5,42,225,23,22,32,"1,084","1,434"
, M ,0,0,0,1,25,185,"1,304",83,64,32,81,"1,775"
GALLOWAY X, F ,0,0,0,0,10,49,188,21,5,5,549,827
, M ,0,0,0,0,38,146,355,14,4,10,12,579
GASCONNE, F ,0,0,0,0,0,7,13,0,0,0,8,28
, M ,0,0,0,0,0,15,9,0,0,0,3,27
GASCONNE X, F ,0,0,0,0,0,13,28,0,2,1,12,56
, M ,0,0,0,0,6,13,29,0,1,1,0,50
GELBVIEH, F ,0,0,0,0,12,57,55,1,4,1,67,197
, M ,2,0,0,3,51,55,65,3,0,0,6,185
GELBVIEH X, F ,0,0,0,12,64,189,330,32,18,16,100,761
, M ,1,0,0,36,147,183,478,17,7,1,1,871
GLOUCESTER, F ,0,0,0,0,0,3,20,4,9,3,63,102
, M ,0,0,3,2,11,16,71,5,7,2,2,119
GLOUCESTER X, F ,0,0,0,0,1,7,19,4,0,0,17,48
, M ,0,0,0,0,0,4,29,4,0,0,0,37
GRONINGER BLAARKOP, F ,0,0,0,0,0,3,1,0,0,0,0,4
, M ,0,0,0,0,2,2,3,0,0,0,0,7
GRONINGER BLAARKOP X, F ,0,0,0,0,2,6,8,0,0,1,3,20
, M ,0,0,0,0,9,6,11,0,0,0,0,26
GUERNSEY, F ,5,0,2,4,6,4,23,53,80,88,"1,330","1,595"
, M ,473,18,53,16,49,33,80,34,18,4,12,790
GUERNSEY X, F ,0,0,0,0,1,1,4,2,7,6,36,57
, M ,7,0,2,1,5,5,13,2,1,2,0,38
HEREFORD, F ,17,1,5,10,159,905,"1,674",192,147,135,"2,267","5,512"
, M ,5,0,4,25,866,"1,818","3,469",184,95,69,464,"6,999"
HEREFORD (BLACK), F ,0,0,0,0,0,0,0,0,0,0,53,53
HEREFORD (BLACK) X, F ,0,0,0,0,0,0,0,0,0,0,471,471
, M ,0,0,0,0,0,0,0,0,0,0,7,7
HEREFORD (BROWN), F ,0,0,0,0,0,0,0,0,0,0,1,1
HEREFORD (RED), F ,0,0,0,0,0,0,0,0,0,0,76,76
, M ,0,0,0,0,0,0,0,0,0,0,9,9
HEREFORD (RED) X, F ,0,0,0,0,0,0,0,0,0,0,234,234
, M ,0,0,0,0,0,0,0,0,0,0,5,5
HEREFORD X, F ,264,11,117,80,"1,241","7,030","13,068",993,699,497,"11,633","35,633"
, M ,67,13,132,211,"4,122","8,710","23,309","1,055",471,137,171,"38,398"
HIGHLAND, F ,0,0,0,0,4,43,303,55,44,58,985,"1,492"
, M ,0,2,2,3,40,168,"1,424",188,164,93,261,"2,345"
HIGHLAND X, F ,0,0,0,0,11,44,99,15,4,4,116,293
, M ,0,0,0,2,40,57,148,23,5,6,20,301
HOLSTEIN, F ,95,9,22,10,63,161,626,"1,035","1,398","1,553","16,420","21,392"
, M ,"2,916",149,39,252,"5,137","2,431","3,113",347,224,117,195,"14,920"
HOLSTEIN FRIESIAN, F ,772,64,96,81,392,917,"4,136","6,053","8,294","9,397","108,276","138,478"
, M ,"24,897",971,300,"1,381","39,371","19,484","35,543","2,741","1,550",599,512,"127,349"
HOLSTEIN FRIESIAN X, F ,49,1,6,8,49,86,273,278,504,513,"5,554","7,321"
, M ,"1,400",45,36,101,"3,057","1,544","2,643",211,133,52,33,"9,255"
HOLSTEIN X, F ,2,0,4,5,7,19,44,69,76,96,"1,296","1,618"
, M ,225,4,4,15,404,223,378,40,18,5,4,"1,320"
IRISH MOILED, F ,0,0,0,0,0,4,6,0,0,3,22,35
, M ,0,0,0,0,6,13,16,8,9,4,6,62
IRISH MOILED X, F ,0,0,0,0,0,5,11,0,1,1,6,24
, M ,0,0,0,0,3,4,16,1,4,0,1,29
JERSEY, F ,12,2,1,1,13,51,196,205,336,316,"3,540","4,673"
, M ,791,37,126,75,165,56,116,61,48,24,42,"1,541"
JERSEY X, F ,21,1,3,2,16,59,85,93,86,92,689,"1,147"
, M ,542,29,5,15,60,98,240,36,14,8,4,"1,051"
KERRY, F ,0,0,0,0,0,0,0,0,0,0,6,6
, M ,0,0,2,0,5,0,3,0,0,0,0,10
KERRY X, F ,0,0,0,0,0,0,2,0,0,0,3,5
, M ,0,0,0,0,0,1,2,0,0,0,2,5
LIMOUSIN, F ,38,2,21,116,"2,742","9,660","12,082",606,516,448,"7,570","33,801"
, M ,20,4,15,296,"8,284","10,261","17,482",508,275,177,"1,950","39,272"
LIMOUSIN (BLACK), F ,0,0,0,0,0,0,0,0,0,0,78,78
, M ,0,0,0,0,0,0,0,0,0,0,3,3
LIMOUSIN (BLACK) X, F ,0,0,0,0,0,0,0,0,0,0,702,702
, M ,0,0,0,0,0,0,0,0,0,0,3,3
LIMOUSIN (RED), F ,0,0,0,0,0,0,0,0,0,0,167,167
, M ,0,0,0,0,0,0,0,0,0,0,63,63
LIMOUSIN (RED) X, F ,0,0,0,0,0,0,0,0,0,0,363,363
, M ,0,0,0,0,0,0,0,0,0,0,8,8
LIMOUSIN X, F ,276,22,209,826,"26,302","92,362","97,899","3,866","2,376","1,788","35,230","261,156"
, M ,169,20,178,"1,809","51,157","84,398","142,717","2,997","1,250",517,551,"285,763"
LINCOLN RED, F ,0,0,0,1,12,36,75,7,5,11,190,337
, M ,0,0,0,3,159,213,131,13,3,4,11,537
LINCOLN RED X, F ,0,0,0,0,25,117,94,9,5,6,80,336
, M ,0,0,0,17,165,148,104,4,3,0,1,442
LONGHORN, F ,0,0,0,0,0,31,81,20,8,26,236,402
, M ,0,0,0,1,77,218,701,94,32,19,29,"1,171"
LONGHORN X, F ,0,0,0,1,29,165,213,19,9,4,107,547
, M ,0,0,0,1,121,144,276,5,6,1,0,554
LUING, F ,0,0,0,0,11,54,64,22,15,24,447,637
, M ,0,0,0,0,286,512,527,15,1,5,14,"1,360"
LUING X, F ,0,0,0,0,8,64,43,7,5,5,171,303
, M ,0,0,0,0,37,161,171,3,1,1,0,374
MAINE ANJOU, F ,0,0,0,0,0,0,2,0,0,0,9,11
, M ,0,0,0,0,0,0,9,0,0,1,1,11
MAINE ANJOU X, F ,0,0,0,0,0,17,36,0,0,1,38,92
, M ,0,0,0,0,11,36,93,0,0,1,1,142
MARCHIGIANA, F ,0,0,0,0,0,0,1,1,0,0,2,4
, M ,0,0,0,0,0,0,0,0,0,0,1,1
MARCHIGIANA X, F ,0,0,0,0,0,8,16,0,1,1,35,61
, M ,0,0,0,0,5,4,13,0,0,0,0,22
MEUSE RHINE ISSEL, F ,1,0,0,3,3,26,97,27,57,28,691,933
, M ,13,0,0,7,177,206,706,26,13,3,19,"1,170"
MEUSE RHINE ISSEL X, F ,0,0,1,2,14,53,151,37,66,82,"1,229","1,635"
, M ,18,2,3,9,378,355,"1,147",63,38,16,15,"2,044"
MONTBELIARDE, F ,0,0,0,1,3,14,56,21,31,24,294,444
, M ,1,0,1,4,314,141,312,8,11,11,9,812
MONTBELIARDE X, F ,1,1,0,0,14,59,173,44,40,47,306,685
, M ,20,9,3,21,684,627,"1,094",31,10,6,3,"2,508"
MURRAY GREY, F ,0,0,0,0,3,25,62,4,4,3,120,221
, M ,0,0,0,0,38,61,99,3,3,4,4,212
MURRAY GREY X, F ,0,0,0,2,7,49,89,4,3,2,65,221
, M ,0,0,0,0,36,53,132,9,3,0,1,234
NORMANDE, F ,0,0,0,0,3,5,16,4,0,0,17,45
, M ,0,0,0,0,7,25,28,1,2,1,1,65
NORMANDE X, F ,0,0,0,0,0,11,18,5,4,1,109,148
, M ,5,0,3,4,52,35,66,2,0,0,0,167
NORTH DEVON, F ,0,0,0,0,0,0,0,0,0,0,45,45
, M ,0,0,0,0,0,0,0,0,0,0,2,2
NORTH DEVON X, F ,0,0,0,0,0,0,0,0,0,0,16,16
NORWEGIAN RED, M ,3,0,0,0,2,1,1,0,0,0,0,7
NORWEGIAN RED X, F ,3,0,0,0,2,2,1,1,0,0,4,13
, M ,83,1,2,6,126,29,11,0,0,0,0,258
NOT SUPPLIED, F ,0,0,0,0,0,0,0,0,0,0,"2,595","2,595"
, M ,0,0,0,0,0,0,0,0,0,0,6,6
OLD ENGLISH, F ,0,0,0,0,0,0,0,0,0,0,3,3
OLD ENGLISH X, F ,0,0,0,0,1,1,2,0,0,0,1,5
, M ,0,0,0,0,0,1,1,0,0,0,0,2
OTHER BEEF, F ,0,0,0,0,0,0,0,0,0,0,81,81
OTHER BREEDS, F ,0,0,0,0,0,0,0,0,0,0,55,55
, M ,0,0,0,0,0,0,0,0,0,0,3,3
OTHER DAIRY, F ,0,0,0,0,0,0,0,0,0,0,14,14
, M ,0,0,1,1,0,0,0,0,0,0,0,2
PARTHENAIS, F ,0,0,0,0,6,11,17,1,0,0,6,41
, M ,0,0,0,0,11,7,11,1,0,1,4,35
PARTHENAIS X, F ,0,0,0,3,32,105,106,3,3,2,33,287
, M ,0,0,0,4,137,144,146,3,0,2,1,437
PIEMONTESE, F ,0,0,0,0,1,6,45,2,0,0,43,97
, M ,0,0,0,0,19,24,31,0,0,0,10,84
PIEMONTESE X, F ,0,0,1,1,88,271,370,26,12,7,133,909
, M ,0,0,0,4,161,259,398,19,6,9,5,861
PINZGAUER X, F ,0,0,0,0,0,0,0,0,0,0,1,1
, M ,0,0,0,0,0,0,1,0,0,0,0,1
RED & WHITE FRIESIAN, F ,0,0,0,0,0,0,0,0,0,0,23,23
, M ,4,0,0,0,5,0,0,0,0,0,0,9
RED POLL, F ,0,0,0,0,8,18,29,18,9,10,142,234
, M ,0,0,0,8,111,233,252,7,7,0,8,626
