Age at Death in Months,England,,Scotland,,Wales,,Totals
,F,M,F,M,F,M,0
178,551,2,410,1,88,1,"1,053"
179,446,3,297,0,63,0,809
180,329,1,203,0,82,0,615
181,224,2,184,2,52,0,464
182,271,1,141,1,59,1,474
183,235,0,170,1,57,2,465
184,267,1,171,1,44,1,485
185,233,2,146,0,44,0,425
186,194,1,111,0,25,0,331
187,219,1,171,1,43,0,435
188,233,2,126,0,48,0,409
189,243,4,189,1,38,0,475
190,305,2,234,0,45,1,587
191,284,0,190,0,22,0,496
192,273,1,190,0,42,0,506
193,176,1,118,0,30,0,325
194,191,2,126,0,39,0,358
195,154,2,97,0,32,0,285
196,187,0,156,0,34,0,377
197,125,0,98,0,17,0,240
198,132,0,87,0,20,0,239
199,147,0,102,0,42,0,291
200,149,0,82,0,24,0,255
201,172,1,128,1,26,0,328
202,213,3,154,0,25,0,395
203,181,0,124,1,26,0,332
204,78,0,77,1,19,0,175
205,73,1,49,0,11,0,134
206,68,1,43,0,19,0,131
207,59,0,42,0,12,0,113
208,80,0,47,0,12,0,139
209,72,0,32,0,8,0,112
210,53,0,35,0,6,0,94
211,65,0,49,0,9,0,123
212,62,0,27,0,14,0,103
213,67,0,42,0,10,0,119
214,85,0,53,1,9,0,148
215,78,1,41,0,8,0,128
216,51,0,36,0,7,0,94
217,44,0,30,0,7,0,81
218,53,0,34,0,10,0,97
219,43,1,25,0,8,0,77
220,33,1,31,0,6,0,71
221,39,0,27,0,3,0,69
222,36,0,16,0,4,0,56
223,32,1,20,0,9,0,62
224,25,1,21,0,3,0,50
225,33,1,18,0,5,0,57
226,46,1,25,0,5,0,77
227,39,0,14,0,5,0,58
228,31,0,10,0,3,0,44
229,20,1,14,0,3,0,38
230,18,0,15,0,1,0,34
231,20,0,6,0,2,0,28
232,25,0,13,0,6,0,44
233,12,0,10,0,5,0,27
234,18,0,8,0,2,0,28
235,9,0,5,0,3,0,17
236,13,0,2,0,1,0,16
237,13,0,4,0,3,0,20
238,22,0,7,0,0,0,29
239,15,1,8,0,2,0,26
240,15,0,10,0,2,0,27
Over 240,"26,357",75,"11,584",24,"4,663",15,"42,718"
Totals,"1,024,984","894,067","341,886","325,429","106,000","106,617","2,798,983"
