Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLONDE D'AQUITAINE,F,Birth Application,2
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,2
2015,January  ,Wales,Wales,Powys,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,1
2015,January  ,Wales,Wales,Gwent,Non Dairy,BLONDE D'AQUITAINE,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,2
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,4
2015,January  ,Wales,Wales,Gwent,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,15
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,16
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,11
2015,January  ,Wales,Wales,Powys,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,29
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,1
2015,January  ,Wales,Wales,Gwent,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,14
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,15
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,1
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,20
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,26
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,15
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,22
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BLUE GREY X,M,Birth Application,1
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BRITISH BLUE,F,Birth Application,1
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BRITISH BLUE,M,Birth Application,29
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BRITISH BLUE,M,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BRITISH BLUE,F,Birth Application,37
2015,January  ,Wales,Wales,Gwent,Non Dairy,BRITISH BLUE,M,Birth Application,2
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BRITISH BLUE,M,Birth Application,3
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BRITISH BLUE,M,Birth Application,50
2015,January  ,Wales,Wales,Gwent,Non Dairy,BRITISH BLUE,F,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BRITISH BLUE,F,Birth Application,14
2015,January  ,Wales,Wales,Powys,Non Dairy,BRITISH BLUE,F,Birth Application,2
2015,January  ,Wales,Wales,Powys,Non Dairy,BRITISH BLUE,M,Birth Application,2
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BRITISH BLUE,F,Birth Application,4
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BRITISH BLUE X,M,Birth Application,68
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BRITISH BLUE X,F,Birth Application,404
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BRITISH BLUE X,M,Birth Application,153
2015,January  ,Wales,Wales,Powys,Non Dairy,BRITISH BLUE X,M,Birth Application,117
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,BRITISH BLUE X,M,Birth Application,12
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,BRITISH BLUE X,F,Birth Application,58
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BRITISH BLUE X,M,Birth Application,22
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,BRITISH BLUE X,F,Birth Application,5
2015,January  ,Wales,Wales,Gwent,Non Dairy,BRITISH BLUE X,M,Birth Application,66
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BRITISH BLUE X,M,Birth Application,444
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,BRITISH BLUE X,M,Birth Application,8
2015,January  ,Wales,Wales,Powys,Non Dairy,BRITISH BLUE X,F,Birth Application,99
2015,January  ,Wales,Wales,Gwent,Non Dairy,BRITISH BLUE X,F,Birth Application,57
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,BRITISH BLUE X,F,Birth Application,9
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,BRITISH BLUE X,F,Birth Application,24
2015,January  ,Wales,Wales,Clwyd,Non Dairy,BRITISH BLUE X,F,Birth Application,136
2015,January  ,Wales,Wales,West Glamorgan,Dairy,BRITISH FRIESIAN,M,Birth Application,3
2015,January  ,Wales,Wales,Powys,Dairy,BRITISH FRIESIAN,M,Birth Application,23
2015,January  ,Wales,Wales,Clwyd,Dairy,BRITISH FRIESIAN,F,Birth Application,118
2015,January  ,Wales,Wales,South Glamorgan,Dairy,BRITISH FRIESIAN,M,Birth Application,4
2015,January  ,Wales,Wales,Powys,Dairy,BRITISH FRIESIAN,F,Birth Application,34
2015,January  ,Wales,Wales,Gwynedd,Dairy,BRITISH FRIESIAN,F,Birth Application,35
2015,January  ,Wales,Wales,Gwent,Dairy,BRITISH FRIESIAN,F,Birth Application,34
2015,January  ,Wales,Wales,South Glamorgan,Dairy,BRITISH FRIESIAN,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,BRITISH FRIESIAN,M,Birth Application,572
2015,January  ,Wales,Wales,Gwynedd,Dairy,BRITISH FRIESIAN,M,Birth Application,30
2015,January  ,Wales,Wales,Gwent,Dairy,BRITISH FRIESIAN,M,Birth Application,14
2015,January  ,Wales,Wales,Mid Glamorgan,Dairy,BRITISH FRIESIAN,M,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Dairy,BRITISH FRIESIAN,F,Birth Application,678
2015,January  ,Wales,Wales,Clwyd,Dairy,BRITISH FRIESIAN,M,Birth Application,133
2015,January  ,Wales,Wales,Gwent,Dairy,BRITISH FRIESIAN X,F,Birth Application,26
