Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip (specific),Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Samantha Ulyatt,03/09/18,2,London - Crewe,Mental Health First Aider Course,Rail,Standard,Y,,£446.20,
Samantha Ulyatt,17/09/18,2,London - Crewe,Senior Leadership Meeting with CEO / Supplier Mtgs / 1:1s,Rail,Standard,Y,,£339.95,
Samantha Ulyatt,19/09/18,2,London - Crewe,CCS / DFT Workshop / Singapore Visit,Rail,Standard,Y,,£696.90,
Samantha Ulyatt,24/09/18,1,London - Crewe,SLS Interviews,Rail,Standard,Y,,£180.90,
Samantha Ulyatt,26/09/18,2,London - Crewe,CCS / DEFRA Meeting,Rail,Standard,Y,,£302.50,
David Skinner,09/07/18,2,Liverpool - London,CCS Senior Leadership Meeting & Team Strategy Meeting,Rail,Standard,Y,,£182.40,
David Skinner,18/07/18,2,Manchester - London,Corporate Services Strategic Leadershp Mtg,Rail,Standard,Y,,£244.50,
David Skinner,29/08/18,2,Liverpool - London,Interviews / Corporate Team Mtg / 1:1s,Rail,Standard,Y,,£211.00,
David Skinner,24/09/18,2,Liverpool - London,CCS Senior Leadership Meeting with CEO,Rail,Standard,Y,,£172.50,
Kevin Cunnington,16/08/18,2,London _ Leeds,Leeds Academy visit + intern show and tell,Rail,Standard  ,Y,,£93.25,
Kevin Cunnington,24/09/18,2,London _ Swansea _ Cardiff _ London,Visit to DVLA Swansea & Transforming Together Cardiff attendance,Rail,Standard  ,Y,,£388.00,
Kevin Cunnington,27/09/18,1,London _ Birmingham,MoJ Conference attendance,Rail,Standard  ,Y,,£37.50,
Fiona Deans,24/09/18,2,London _ Cardiff,Transforming Together Cardiff attendance,Rail,Standard  ,Y,,£208.20,
Lesley Ann Nash,20/09/18,2,London - Redhill - Kings Lynn,HPDS Workshop,Rail,Standard,,,£57.40,
Elizabeth Ketch,09/09/18,5,Paddington - Oxford,Attendance at residential training,Rail,Standard,,,£32.50,
Tracey Waltho,19/07/18,2,London - Swindon,Attendace at Board Awayday,Rail,Standard,,,£98.20,
