Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,April    ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS,M,Birth Application,125
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS,M,Birth Application,193
2015,April    ,Scotland,Scotland,Nairn,Non Dairy,ABERDEEN ANGUS,F,Birth Application,9
2015,April    ,Scotland,Scotland,Dunbarton,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,April    ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS,F,Birth Application,56
2015,April    ,Scotland,Scotland,Dunbarton,Non Dairy,ABERDEEN ANGUS,M,Birth Application,4
2015,April    ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS,F,Birth Application,46
2015,April    ,Scotland,Scotland,Sutherland,Non Dairy,ABERDEEN ANGUS,M,Birth Application,16
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS,M,Birth Application,20
2015,April    ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS,M,Birth Application,52
2015,April    ,Scotland,Scotland,Peebles,Non Dairy,ABERDEEN ANGUS,F,Birth Application,3
2015,April    ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS,M,Birth Application,43
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS,M,Birth Application,7
2015,April    ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS,M,Birth Application,71
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,304
2015,April    ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,834
2015,April    ,Scotland,Scotland,West Lothian,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,64
2015,April    ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,5
2015,April    ,Scotland,Scotland,East Lothian,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,134
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,249
2015,April    ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,88
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,378
