ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,RESOURCES,PEOPLE ASSET MANAGEMENT LTD,27/12/2023,95.00 ,OCCUPATIONAL HEALTH,V002102378,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,YOUR CHAPTER LTD,22/12/2023,3258.90 ,FOSTER PARENTS BASIC ALLOWANCE,V002102546,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,ECONOMY DIRECTORATE,AEGIS SERVICES LTD,08/12/2023,344.70 ,CONSULTANTS FEES,V002103119,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,ECONOMY DIRECTORATE,AEGIS SERVICES LTD,08/12/2023,4732.30 ,CONSULTANTS FEES,V002103119,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,ROYAL MAIL GROUP LTD,19/12/2023,4.64 ,POSTAGE,V002112755,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,78.19 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114653,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,78.19 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114653,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,59.79 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114657,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,WHITEGATE NW LTD,22/12/2023,59.79 ,"CLOTHES, UNIFORM AND LAUNDRY",V002114657,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ECONOMY DIRECTORATE,E ON NEXT ENERGY LTD,22/12/2023,2685.76 ,ELECTRICITY,V002114840,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,THE BIG WORD,22/12/2023,2207.42 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,565.05 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,THE BIG WORD,22/12/2023,41.80 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE BIG WORD,22/12/2023,313.06 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,54.77 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,197.09 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,60.03 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE BIG WORD,22/12/2023,124.91 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,22/12/2023,371.35 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,THE BIG WORD,22/12/2023,23.00 ,TRANSLATION & INTERPRETATION,V002115085,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,11/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,FRANK KEY TOOL HIRE LTD,11/12/2023,250.00 ,BUILDING MATERIALS,V002115145,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,20/12/2023,PROPERTY AND HIGHWAYS,ROYAL MAIL GROUP LTD,20/12/2023,224.27 ,POSTAGE,V002115223,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,MANCHESTER CABINS LIMITED,13/12/2023,726.80 ,CONTRACTS,V002115253,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ECONOMY DIRECTORATE, WALKER SIME LTD,22/12/2023,12402.00 ,CONSULTANTS FEES,V002115282,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,05/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,LANCASHIRE LOCK AND SAFE COMPANY LIMITED,05/12/2023,10.00 ,BUILDING MATERIALS,V002115288,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,ADULT CARE LCO FUNCTIONS,ROYAL MAIL GROUP LTD,13/12/2023,92.48 ,POSTAGE,V002118619,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,DICKINSON ENVIRONMENTAL,22/12/2023,5.00 ,PROVISIONS,V002118632,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,DICKINSON ENVIRONMENTAL,22/12/2023,200.00 ,PROVISIONS,V002118632,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,DICKINSON ENVIRONMENTAL,22/12/2023,200.00 ,PROVISIONS,V002118632,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,EARLY HELP AND SCHOOLS,DICKINSON ENVIRONMENTAL,22/12/2023,5.00 ,PROVISIONS,V002118632,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,ECONOMY DIRECTORATE,WATER PLUS,21/12/2023,15.00 ,WATER CHARGES,V002118685,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,ECONOMY DIRECTORATE,WATER PLUS,21/12/2023,779.89 ,WATER CHARGES,V002118685,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,ECONOMY DIRECTORATE,WATER PLUS,21/12/2023,779.89 ,WATER CHARGES,V002118685,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,ECONOMY DIRECTORATE,WATER PLUS,21/12/2023,15.00 ,WATER CHARGES,V002118685,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,22/12/2023,420.00 ,PROFESSIONAL FEES,V002118809,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,253.12 ,DIRECT PAYMENTS,V002119905,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,-253.12 ,CLIENTS CONTRIBUTIONS COMMUNITY CARE,V002119906,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,MC AND MA STEWART HAULAGE LIMITED,22/12/2023,1417.10 ,EQUIPMENT - GENERAL,V002120176,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,MC AND MA STEWART HAULAGE LIMITED,22/12/2023,1417.10 ,EQUIPMENT - GENERAL,V002120176,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,CHILDREN’S SOCIAL CARE,ADVANCED CHILD CARE ASSESSMENTS LIMITED,21/12/2023,1605.00 ,MEDICAL FEES,V002120196,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,04/12/2023,RESOURCES,FIELDFISHER LLP,04/12/2023,448.50 ,CONSULTANT FEES,V002120207,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,M & S MERCANTILE EARLY YEARS RESOURCES,22/12/2023,100.94 ,PURCHASE OF FURNITURE AND EQUIPMENT,V002120302,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,12/12/2023,EARLY HELP AND SCHOOLS,KIDS,12/12/2023,4565.00 ,CONSULTANT FEES,V002120308,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,PROPERTY AND HIGHWAYS,W J NORTH LTD,01/12/2023,312.55 ,LEGAL SERVICES INTERNAL,V002120343,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,G A ELECTRICAL DISTRIBUTORS LIMITED,06/12/2023,43.38 ,PROPERTY - WORKS ELEMENT,V002120360,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,FORENSIC TESTING SERVICE LTD,22/12/2023,1161.20 ,MEDICAL FEES,V002120447,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ECONOMY DIRECTORATE,ZEN INTERNET LIMITED,22/12/2023,424.08 ,PROFESSIONAL FEES,V002120477,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,FORENSIC TESTING SERVICE LTD,22/12/2023,366.15 ,MEDICAL FEES,V002120786,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,12/12/2023,CHILDREN’S SOCIAL CARE,AQUACOOL LTD,12/12/2023,24.00 ,EQUIPMENT - GENERAL,V002120794,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,38.32 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,1189.56 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,385.50 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,826.48 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,397.10 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,215.57 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
