ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171361,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171361,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171362,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171362,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,166.76 ,FOSTER PARENTS BASIC ALLOWANCE,V002171363,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171364,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171364,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,199.00 ,BIRTHDAY ALLOWANCE,V002171364,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,199.00 ,BIRTHDAY ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,199.00 ,BIRTHDAY ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171365,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,302.12 ,SUBSIDISED ADOPTERS PMTS,V002171366,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171366,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171366,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,215.12 ,FOSTER PARENTS BASIC ALLOWANCE,V002171367,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,146.32 ,FOSTER PARENTS BASIC ALLOWANCE,V002171368,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171369,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171369,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,175.00 ,BIRTHDAY ALLOWANCE,V002171369,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171369,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171369,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171369,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171369,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171370,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171370,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171371,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171371,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171371,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171371,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171371,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171371,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,669.90 ,FOSTER PARENTS BASIC ALLOWANCE,V002171371,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,197.56 ,FOSTER PARENTS BASIC ALLOWANCE,V002171372,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171373,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171373,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,215.94 ,FOSTER PARENTS BASIC ALLOWANCE,V002171374,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171375,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,827.64 ,FOSTER PARENTS BASIC ALLOWANCE,V002171375,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171376,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171376,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171376,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,827.64 ,FOSTER PARENTS BASIC ALLOWANCE,V002171376,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171377,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171377,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,CHILDRENS SUBSISTENCE,V002171378,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,456.56 ,FOSTER PARENTS BASIC ALLOWANCE,V002171379,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171379,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171380,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171380,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,541.98 ,FOSTER PARENTS BASIC ALLOWANCE,V002171381,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,481.96 ,FOSTER PARENTS BASIC ALLOWANCE,V002171381,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,481.96 ,FOSTER PARENTS BASIC ALLOWANCE,V002171381,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,541.98 ,FOSTER PARENTS BASIC ALLOWANCE,V002171381,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,481.96 ,FOSTER PARENTS BASIC ALLOWANCE,V002171381,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,240.26 ,FOSTER PARENTS BASIC ALLOWANCE,V002171382,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,185.56 ,FOSTER PARENTS BASIC ALLOWANCE,V002171383,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171384,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171384,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171384,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171384,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,760.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171385,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,596.02 ,FOSTER PARENTS BASIC ALLOWANCE,V002171386,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,287.59 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,264.78 ,TRAVELLING GENERAL EXPENSES,V002171387,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,215.10 ,FOSTER PARENTS BASIC ALLOWANCE,V002171388,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,215.10 ,FOSTER PARENTS BASIC ALLOWANCE,V002171388,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,813.10 ,SUBSIDISED ADOPTERS PMTS,V002171389,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171390,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171390,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,196.98 ,FOSTER PARENTS BASIC ALLOWANCE,V002171391,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,241.48 ,FOSTER PARENTS BASIC ALLOWANCE,V002171392,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,257.68 ,FOSTER PARENTS BASIC ALLOWANCE,V002171392,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,209.68 ,FOSTER PARENTS BASIC ALLOWANCE,V002171392,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,246.38 ,FOSTER PARENTS BASIC ALLOWANCE,V002171393,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,670.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171394,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171395,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171395,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171395,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171395,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171395,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171395,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,159.00 ,CHRISTMAS/FESTIVAL ALLOWANCE,V002171395,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,253.10 ,FOSTER PARENTS BASIC ALLOWANCE,V002171396,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,398.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171397,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171397,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171397,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171397,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,187.32 ,FOSTER PARENTS BASIC ALLOWANCE,V002171398,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171399,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171399,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,350.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171399,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,320.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171399,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,23.70 ,FOSTER PARENTS BASIC ALLOWANCE,V002171400,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,182.50 ,FOSTER PARENTS BASIC ALLOWANCE,V002171401,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171402,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171402,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171402,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171402,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,240.66 ,TRAVELLING GENERAL EXPENSES,V002171402,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,752.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171403,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,204.06 ,FOSTER PARENTS BASIC ALLOWANCE,V002171404,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,739.14 ,FOSTER PARENTS BASIC ALLOWANCE,V002171405,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,1114.29 ,FOSTER PARENTS BASIC ALLOWANCE,V002171405,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,466.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171405,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171405,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,318.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171405,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,600.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171405,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,08/12/2023,100.00 ,FOSTER PARENTS BASIC ALLOWANCE,V002171405,,,,,,,,,
