Dam Breed Type,All Breeds,,,,,,,,,,,,
Dairy,"303,358",,,,,,,,,,,,
Non-Dairy,"582,306",,,,,,,,,,,,
Total,"885,664",,,,,,,,,,Dam Breed Type,Calf Breed Code,Sum of Number of Births
Non Dairy,0,7,7,,Non Dairy,N/A,87.50%,87.50%,,,Dairy,RG,20
Total,0,8,8,,,,,,,,Dairy,RGX,2
,BRB,BRBX,Total,,,BRB,BRBX,Total,,,Dairy,ROX,2
Dairy,N/A,32000,32000,,Dairy,N/A,56.78%,54.76%,,,Dairy,RP,6
Non Dairy,2086,24354,26440,,Non Dairy,100.00%,43.22%,45.24%,,,Dairy,RPX,40
Total,2086,56354,58440,,,,,,,,Dairy,SA,22
,BRO,BROX,Total,,,BRO,BROX,Total,,,Dairy,SAX,327
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Dairy,SB,2
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Dairy,SD,7
Total,0,0,0,,,,,,,,Dairy,SDX,253
,BS,BSX,Total,,,BS,BSX,Total,,,Dairy,SH,1
Dairy,617,990,1607,,Dairy,100.00%,90.33%,93.81%,,,Dairy,SHO,390
Non Dairy,N/A,106,106,,Non Dairy,N/A,9.67%,6.19%,,,Dairy,SHOX,679
Total,617,1096,1713,,,,,,,,Dairy,SHX,7
,BSH,BSHX,Total,,,BSH,BSHX,Total,,,Dairy,SM,420
Dairy,N/A,602,602,,Dairy,N/A,9.17%,5.82%,,,Dairy,SMX,8172
Non Dairy,3785,5964,9749,,Non Dairy,100.00%,90.83%,94.18%,,,Dairy,SPX,13
Total,3785,6566,10351,,,,,,,,Dairy,SR,143
,BU,BUX,Total,,,BU,BUX,Total,,,Dairy,SRP,2
Dairy,N/A,0,0,,Dairy,N/A,N/A,0.00%,,,Dairy,SRW,24
Non Dairy,102,0,102,,Non Dairy,100.00%,N/A,100.00%,,,Dairy,SRWX,200
Total,102,0,102,,,,,,,,Dairy,SRX,799
,BW,BWX,Total,,,BW,BWX,Total,,,Dairy,ST,1
Dairy,N/A,5,5,,Dairy,N/A,3.09%,0.88%,,,Dairy,STX,76
Non Dairy,408,157,565,,Non Dairy,100.00%,96.91%,99.12%,,,Dairy,SU,5
Total,408,162,570,,,,,,,,Dairy,SUX,158
,BWB,BWBX,Total,,,BWB,BWBX,Total,,,Dairy,WA,9
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,Dairy,WAX,404
Non Dairy,21,5,26,,Non Dairy,100.00%,100.00%,100.00%,,,Dairy,WB,46
Total,21,5,26,,,,,,,,Dairy,WBX,245
,CB,CBX,Total,,,CB,CBX,Total,,,Dairy,WG,3
Dairy,N/A,29,29,,Dairy,N/A,100.00%,23.20%,,,Dairy,WGX,2
Non Dairy,96,0,96,,Non Dairy,100.00%,0.00%,76.80%,,,Dairy,WSX,2
Total,96,29,125,,,,,,,,Dairy,YK,1
,CD,CDX,Total,,,CD,CDX,Total,,,Dairy,KIWIX,206
Dairy,389,0,389,,Dairy,100.00%,0.00%,97.49%,,,Dairy,KIWI,3
Non Dairy,N/A,10,10,,Non Dairy,N/A,100.00%,2.51%,,,Dairy,ABX,13
Total,389,10,399,,,,,,,,Dairy,ALLX,2
,CH,CHX,Total,,,CH,CHX,Total,,,Dairy,SG,1
Dairy,N/A,3537,3537,,Dairy,N/A,3.78%,3.48%,,,Dairy,YKX,1
Non Dairy,8230,89976,98206,,Non Dairy,100.00%,96.22%,96.52%,,,Dairy Total,,303358
Total,8230,93513,101743,,,,,,,,Non Dairy,AA,21318
,CHI,CHIX,Total,,,CHI,CHIX,Total,,,Non Dairy,AAX,65526
Dairy,N/A,1,1,,Dairy,N/A,6.25%,5.56%,,,Non Dairy,ALL,37
Non Dairy,2,15,17,,Non Dairy,100.00%,93.75%,94.44%,,,Non Dairy,AR,2
Total,2,16,18,,,,,,,,Non Dairy,ARX,1
,CHL,CHLX,Total,,,CHL,CHLX,Total,,,Non Dairy,AU,5
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,Non Dairy,AY,31
Non Dairy,0,1,1,,Non Dairy,N/A,100.00%,100.00%,,,Non Dairy,AYX,72
Total,0,1,1,,,,,,,,Non Dairy,BA,1659
,CW,CWX,Total,,,CW,CWX,Total,,,Non Dairy,BAL,2
Dairy,N/A,0,0,,Dairy,N/A,N/A,0.00%,,,Non Dairy,BALX,12
Non Dairy,3,0,3,,Non Dairy,100.00%,N/A,100.00%,,,Non Dairy,BAX,12877
Total,3,0,3,,,,,,,,Non Dairy,BAZ,114
,DEV,DEVX,Total,,,DEV,DEVX,Total,,,Non Dairy,BAZX,1073
Dairy,N/A,805,805,,Dairy,N/A,35.14%,12.83%,,,Non Dairy,BF,659
Non Dairy,3984,1486,5470,,Non Dairy,100.00%,64.86%,87.17%,,,Non Dairy,BFX,573
Total,3984,2291,6275,,,,,,,,Non Dairy,BG,1551
,DEX,DEXX,Total,,,DEX,DEXX,Total,,,Non Dairy,BGX,397
Dairy,N/A,4,4,,Dairy,N/A,2.03%,0.15%,,,Non Dairy,BI,27
Non Dairy,2514,193,2707,,Non Dairy,100.00%,97.97%,99.85%,,,Non Dairy,BLG,583
Total,2514,197,2711,,,,,,,,Non Dairy,BLGX,20
,DR,DRX,Total,,,DR,DRX,Total,,,Non Dairy,BRB,2086
Dairy,N/A,115,115,,Dairy,N/A,77.18%,53.49%,,,Non Dairy,BRBX,24354
Non Dairy,66,34,100,,Non Dairy,100.00%,22.82%,46.51%,,,Non Dairy,BRX,7
Total,66,149,215,,,,,,,,Non Dairy,BS,16
,DS,DSX,Total,,,DS,DSX,Total,,,Non Dairy,BSH,3785
Dairy,488,284,772,,Dairy,100.00%,60.04%,80.33%,,,Non Dairy,BSHX,5964
Non Dairy,N/A,189,189,,Non Dairy,N/A,39.96%,19.67%,,,Non Dairy,BSX,90
Total,488,473,961,,,,,,,,Non Dairy,BU,102
,DZE,DZEX,Total,,,DZE,DZEX,Total,,,Non Dairy,BW,408
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,BWB,21
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,BWBX,5
Total,0,0,0,,,,,,,,Non Dairy,BWX,157
,EFB,EFBX,Total,,,EFB,EFBX,Total,,,Non Dairy,CB,96
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,CD,10
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,CH,8230
Total,0,0,0,,,,,,,,Non Dairy,CHIX,15
,EP,EPX,Total,,,EP,EPX,Total,,,Non Dairy,CHLX,1
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,CHX,89976
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,DEV,3984
Total,0,0,0,,,,,,,,Non Dairy,DEVX,1486
,ER,ERX,Total,,,ER,ERX,Total,,,Non Dairy,DEX,2514
Dairy,0,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,DEXX,193
Non Dairy,N/A,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,DR,66
Total,0,0,0,,,,,,,,Non Dairy,DRX,34
,FE,FEX,Total,,,FE,FEX,Total,,,Non Dairy,DS,112
Dairy,0,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,DSX,77
Non Dairy,N/A,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,FKV,23
Total,0,0,0,,,,,,,,Non Dairy,FKVX,213
,FKV,FKVX,Total,,,FKV,FKVX,Total,,,Non Dairy,GA,1461
Dairy,126,1135,1261,,Dairy,100.00%,82.79%,84.24%,,,Non Dairy,GAS,38
Non Dairy,N/A,236,236,,Non Dairy,N/A,17.21%,15.76%,,,Non Dairy,GASX,9
Total,126,1371,1497,,,,,,,,Non Dairy,GAX,442
,GA,GAX,Total,,,GA,GAX,Total,,,Non Dairy,GE,55
Dairy,N/A,35,35,,Dairy,N/A,7.34%,1.81%,,,Non Dairy,GEX,164
Non Dairy,1461,442,1903,,Non Dairy,100.00%,92.66%,98.19%,,,Non Dairy,GL,99
Total,1461,477,1938,,,,,,,,Non Dairy,GLX,22
,GAS,GASX,Total,,,GAS,GASX,Total,,,Non Dairy,GU,1
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,Non Dairy,GUX,4
Non Dairy,38,9,47,,Non Dairy,100.00%,100.00%,100.00%,,,Non Dairy,HE,8070
Total,38,9,47,,,,,,,,Non Dairy,HEX,17253
,GAY,GAYX,Total,,,GAY,GAYX,Total,,,Non Dairy,HF,1107
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,HFX,731
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,HI,2634
Total,0,0,0,,,,,,,,Non Dairy,HIX,432
,GB,GBX,Total,,,GB,GBX,Total,,,Non Dairy,HO,133
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,HOX,232
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,IM,61
Total,0,0,0,,,,,,,,Non Dairy,IMX,10
,GE,GEX,Total,,,GE,GEX,Total,,,Non Dairy,JE,12
Dairy,N/A,69,69,,Dairy,N/A,29.61%,23.96%,,,Non Dairy,JEX,81
Non Dairy,55,164,219,,Non Dairy,100.00%,70.39%,76.04%,,,Non Dairy,KE,2
Total,55,233,288,,,,,,,,Non Dairy,KEX,1
,GL,GLX,Total,,,GL,GLX,Total,,,Non Dairy,LH,1967
Dairy,N/A,2,2,,Dairy,N/A,8.33%,1.63%,,,Non Dairy,LHX,385
Non Dairy,99,22,121,,Non Dairy,100.00%,91.67%,98.37%,,,Non Dairy,LIM,26334
Total,99,24,123,,,,,,,,Non Dairy,LIMX,154655
,GU,GUX,Total,,,GU,GUX,Total,,,Non Dairy,LR,931
Dairy,422,26,448,,Dairy,100.00%,83.87%,98.90%,,,Non Dairy,LRX,565
Non Dairy,N/A,5,5,,Non Dairy,N/A,16.13%,1.10%,,,Non Dairy,LU,2891
Total,422,31,453,,,,,,,,Non Dairy,LUX,1085
,HE,HEX,Total,,,HE,HEX,Total,,,Non Dairy,MARX,64
Dairy,N/A,17597,17597,,Dairy,N/A,50.49%,41.00%,,,Non Dairy,MAX,33
Non Dairy,8070,17253,25323,,Non Dairy,100.00%,49.51%,59.00%,,,Non Dairy,MG,147
Total,8070,34850,42920,,,,,,,,Non Dairy,MGX,64
,HF,HFX,Total,,,HF,HFX,Total,,,Non Dairy,MO,936
Dairy,110689,8707,119396,,Dairy,100.00%,82.57%,98.48%,,,Non Dairy,MOX,1213
Non Dairy,N/A,1838,1838,,Non Dairy,N/A,17.43%,1.52%,,,Non Dairy,MRI,223
Total,110689,10545,121234,,,,,,,,Non Dairy,MRIX,171
,HI,HIX,Total,,,HI,HIX,Total,,,Non Dairy,NDS,12
Dairy,N/A,10,10,,Dairy,N/A,2.26%,0.33%,,,Non Dairy,NO,38
Non Dairy,2634,432,3066,,Non Dairy,100.00%,97.74%,99.67%,,,Non Dairy,NOX,23
Total,2634,442,3076,,,,,,,,Non Dairy,NR,8
,HK,HKX,Total,,,HK,HKX,Total,,,Non Dairy,NRX,106
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,Non Dairy,PA,52
Non Dairy,0,2,2,,Non Dairy,N/A,100.00%,100.00%,,,Non Dairy,PAX,240
Total,0,2,2,,,,,,,,Non Dairy,PI,60
,HO,HOX,Total,,,HO,HOX,Total,,,Non Dairy,PIX,225
Dairy,19654,1799,21453,,Dairy,100.00%,83.13%,98.33%,,,Non Dairy,RG,39
Non Dairy,N/A,365,365,,Non Dairy,N/A,16.87%,1.67%,,,Non Dairy,RGX,19
Total,19654,2164,21818,,,,,,,,Non Dairy,RO,2
,HS,HSX,Total,,,HS,HSX,Total,,,Non Dairy,ROTX,5
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,Non Dairy,ROX,31
Non Dairy,0,1,1,,Non Dairy,N/A,100.00%,100.00%,,,Non Dairy,RP,1010
Total,0,1,1,,,,,,,,Non Dairy,RPX,238
,IM,IMX,Total,,,IM,IMX,Total,,,Non Dairy,SA,2797
Dairy,N/A,13,13,,Dairy,N/A,56.52%,15.48%,,,Non Dairy,SAX,7633
Non Dairy,61,10,71,,Non Dairy,100.00%,43.48%,84.52%,,,Non Dairy,SD,6710
Total,61,23,84,,,,,,,,Non Dairy,SDX,4539
,JE,JEX,Total,,,JE,JEX,Total,,,Non Dairy,SH,235
Dairy,2721,1571,4292,,Dairy,100.00%,94.41%,97.88%,,,Non Dairy,SHO,1191
Non Dairy,N/A,93,93,,Non Dairy,N/A,5.59%,2.12%,,,Non Dairy,SHOX,4908
Total,2721,1664,4385,,,,,,,,Non Dairy,SHX,78
,KE,KEX,Total,,,KE,KEX,Total,,,Non Dairy,SM,8050
Dairy,21,2,23,,Dairy,100.00%,40.00%,88.46%,,,Non Dairy,SMX,49150
Non Dairy,N/A,3,3,,Non Dairy,N/A,60.00%,11.54%,,,Non Dairy,SP,23
Total,21,5,26,,,,,,,,Non Dairy,SPX,78
,KIWI,KIWIX,Total,,,KIWI,KIWIX,Total,,,Non Dairy,SR,19
Dairy,3,206,209,,Dairy,100.00%,98.56%,98.58%,,,Non Dairy,SRW,79
