Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8163380,8163380,8163152,,,,Wheldrake with Thorganby CE Primary School,8163380,2023
8162014,8162014,,,,,Westfield Community Primary School,8162017,2023
8162013,8162013,8162017,8162000,8162386,8162007,Dringhouses Primary School,8162007,2023
8162024,8162024,,,,,Burton Green Primary School,8162024,2023
8162386,8162386,8162011,,,,Archbishop Of Yorks CE Junior,8163229,2023
8162014,8162014,,,,,Carr Junior School,8162002,2023
8162029,8162029,8162014,8162000,,,Poppleton Ousebank Primary School,8162029,2023
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2023
8162180,8162180,,,,,Yearsley Grove Primary School,8162015,2023
8162016,8162016,8163002,,,,Clifton Green Primary School,8162018,2023
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,8162430,2023
8162013,8162013,,,,,Copmanthorpe Primary School,8162013,2023
8162169,8162169,,,,,Skelton Primary School,8162169,2023
8162017,8162007,,,,,Woodthorpe Primary School,8162027,2023
8152301,8152301,,,,,Skelton Primary School,8162169,2023
8162007,8162007,8162027,8162011,8162028,,Hob Moor Community Primary School,8162028,2023
8163156,8163156,8163158,8162008,,,St Oswald's CE Primary School,8163156,2023
8162007,8162007,8162386,8162027,,,Hob Moor Community Primary School,8162028,2023
8162027,8162027,8162007,,,,Woodthorpe Primary School,8162027,2023
8162015,8162015,8163302,,,,Haxby Road Primary Academy,8162004,2023
8162429,8162429,8163302,,,,Tang Hall Primary School,8162429,2023
8162176,8162176,,,,,Tang Hall Primary School,8162429,2023
8163156,8163156,8163158,8162008,8162431,8163402,Fishergate Primary School,8162008,2023
8162176,8162176,,,,,Osbaldwick Primary School,8162176,2023
8162241,8162241,,,,,Headlands Primary School,8162241,2023
8162000,8162000,,,,,Acomb Primary School,8162000,2023
8162169,8162169,,,,,Skelton Primary School,8162169,2023
8162180,8162180,8162021,,,,Yearsley Grove Primary School,8162015,2023
8162058,8162058,8162241,8162240,,,Ralph Butterfield Primary School,8162058,2023
8162241,8162241,,,,,Ralph Butterfield Primary School,8162058,2023
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2023
8162241,8162241,,,,,Headlands Primary School,8162241,2023
8163156,8163158,8163156,8162431,8162008,8163402,St Oswald's CE Primary School,8163156,2023
8162020,8162020,,,,,St Lawrence's CE Primary School,8162020,2023
8162015,8162015,8162180,,,,Yearsley Grove Primary School,8162015,2023
8162001,8162001,8163302,8162429,,,Tang Hall Primary School,8162429,2023
8162001,8162001,8163302,8162227,8163158,,Hempland Primary School,8162001,2023
8162176,8162176,8162431,8163401,,,Osbaldwick Primary School,8162176,2023
8162001,8162001,8163403,8163302,,,Hempland Primary School,8162001,2023
8162003,8162003,,,,,Carr Infant School,8162003,2023
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2023
8162428,8162428,8162430,,,,Lakeside Primary School,8162428,2023
8162240,8162240,,,,,Wigginton Primary School,8162240,2023
8163158,8163158,8163156,8162011,8162431,8162008,Fishergate Primary School,8162008,2023
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2023
8162021,8162021,,,,,New Earswick Primary School,8162021,2023
8162169,8162169,8162430,8162014,8162018,8162024,Burton Green Primary School,8162024,2023
8162012,8162012,,,,,Park Grove Primary Academy,8162012,2023
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2023
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2023
8162024,8162024,,,,,Burton Green Primary School,8162024,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162014,8162014,8162000,8162011,8162349,8162027,Westfield Community Primary School,8162017,2023
8162016,8162016,8162011,8163403,8163003,8163402,Scarcroft Primary School,8162016,2023
8162013,8162013,8162386,8163222,,,Copmanthorpe Primary School,8162013,2023
8162014,8162003,,,,,Acomb Primary School,8162000,2023
8163403,8163403,8163401,8162020,,,St Lawrence's CE Primary School,8162020,2023
8162015,8162015,8162001,8163302,8162180,,Haxby Road Primary Academy,8162004,2023
8163904,8163904,8162000,,,,Acomb Primary School,8162000,2023
8163002,8162000,8163002,8163003,,,St Barnabas' CE Primary School,8163002,2023
8162014,8162014,,,,,Carr Infant School,8162003,2023
8162027,8162027,8162028,8162007,8162017,8162000,Woodthorpe Primary School,8162027,2023
8162003,8162003,8162014,8162029,,,Carr Junior School,8162002,2023
8162000,8162000,8162014,,,,Acomb Primary School,8162000,2023
8162003,8162003,,,,,Carr Infant School,8162003,2023
8162017,8162017,,,,,Scarcroft Primary School,8162016,2023
8162011,8162011,8162016,8163003,,,Knavesmire Primary School,8162011,2023
8162241,8162241,,,,,Headlands Primary School,8162241,2023
8162180,8162180,,,,,Huntington Primary Academy,8162180,2023
8162021,8162021,,,,,New Earswick Primary School,8162021,2023
8162013,8162013,,,,,Copmanthorpe Primary School,8162013,2023
8162024,8162024,,,,,Burton Green Primary School,8162024,2023
8162012,8162012,,,,,Park Grove Primary Academy,8162012,2023
8162013,8162013,8163222,8162386,,,Copmanthorpe Primary School,8162013,2023
8162000,8162000,,,,,Poppleton Road Primary School,8162014,2023
8162000,8162000,8162014,8162029,8163003,,Acomb Primary School,8162000,2023
8162430,8162430,8162029,,,,Clifton with Rawcliffe Primary School,8162430,2023
8163151,8163151,,,,,Dunnington CE Primary School,8163151,2023
8163156,8163156,,,,,St Oswald's CE Primary School,8163156,2023
8162027,8162027,8162007,8162017,8162013,,Woodthorpe Primary School,8162027,2023
8162431,8162431,8163403,8163158,,,Osbaldwick Primary School,8162176,2023
8162429,8162429,,,,,Tang Hall Primary School,8162429,2023
8162227,8162227,,,,,Stockton On The Forest Primary School,8162227,2023
8162018,8162018,,,,,Burton Green Primary School,8162024,2023
